Configuration	Term	J	g	Level (cm-1)
"2p6.3s2"	"1S"	"0"	1	" 0.00"	
"3s.3p"	"3P*"	"0"	1	" 37393.03"	
"3s.3p"	"3P*"	"1"	3	" 37453.91"	
"3s.3p"	"3P*"	"2"	5	" 37577.79"	
"3s.3p"	"1P*"	"1"	3	" 59852.02"	
"3p2"	"1D"	"2"	5	" 85481.35"	
"3s.4s"	"3S"	"1"	3	" 91274.50"	
"3p2"	"3P"	"0"	1	" 94084.96"	
"3p2"	"3P"	"1"	3	" 94147.46"	
"3p2"	"3P"	"2"	5	" 94268.68"	
"3s.4s"	"1S"	"0"	1	" 95350.60"	
"3s.3d"	"3D"	"3"	7	" 95549.42"	
"3s.3d"	"3D"	"2"	5	" 95550.51"	
"3s.3d"	"3D"	"1"	3	" 95551.44"	
"3s.4p"	"3P*"	"0"	1	" 105427.52"	
"3s.4p"	"3P*"	"1"	3	" 105441.50"	
"3s.4p"	"3P*"	"2"	5	" 105470.93"	
"3s.4p"	"1P*"	"1"	3	" 106920.56"	
"3s.3d"	"1D"	"2"	5	" 110089.83"	
"3p2"	"1S"	"0"	1	" 111637.33"	
"3s.5s"	"3S"	"1"	3	" 120092.919"	
"3s.5s"	"1S"	"0"	1	" 121366.725"	
"3s.4d"	"3D"	"3"	7	" 121483.50"	
"3s.4d"	"3D"	"2"	5	" 121483.92"	
"3s.4d"	"3D"	"1"	3	" 121484.252"	
"3s.4f"	"3F*"	"2"	5	" 123418.48"	
"3s.4f"	"3F*"	"3"	7	" 123420.45"	
"3s.4f"	"3F*"	"4"	9	" 123423.36"	
"3s.4f"	"1F*"	"3"	7	" 123470.5"	
"3s.4d"	"1D"	"2"	5	" 124794.13"	
"3s.5p"	"3P*"	"0"	1	" 125703.14"	
"3s.5p"	"3P*"	"1"	3	" 125708.828"	
"3s.5p"	"3P*"	"2"	5	" 125721.703"	
"3s.5p"	"1P*"	"1"	3	" 125869.015"	
"3s.6s"	"3S"	"1"	3	" 132215.517"	
"3s.6s"	"1S"	"0"	1	" 132778.633"	
"3s.5d"	"3D"	"2"	5	" 132822.80"	
"3s.5d"	"3D"	"3"	7	" 132822.89"	
"3s.5d"	"3D"	"1"	3	" 132822.95"	
"3s.5f"	"3F*"	"2"	5	" 133437.71"	
"3s.5f"	"3F*"	"3"	7	" 133443.08"	
"3s.5f"	"3F*"	"4"	9	" 133450.07"	
"3s.5f"	"1F*"	"3"	7	" 133681.78"	
"3s.5d"	"1D"	"2"	5	" 133916.368"	
"3s.5g"	"3G"	"3"	7	" 134183.7"	
"3s.5g"	"3G"	"5"	11	" 134183.7"	
"3s.5g"	"3G"	"4"	9	" 134183.7"	
"3s.5g"	"1G"	"4"	9	" 134183.7"	
"3s.6p"	"1P*"	"1"	3	" 134919.40"	
"3s.6p"	"3P*"	"0"	1	" 135012.285"	
"3s.6p"	"3P*"	"1"	3	" 135015.701"	
"3s.6p"	"3P*"	"2"	5	" 135022.127"	
"3s.7s"	"3S"	"1"	3	" 138499.89"	
"3s.6f"	"3F*"	"2"	5	" 138521.4"	
"3s.6f"	"3F*"	"3"	7	" 138538.9"	
"3s.6f"	"3F*"	"4"	9	" 138561.8"	
"3s.7s"	"1S"	"0"	1	" 138800.60"	
"3s.6d"	"3D"	"1"	3	" 138814.87"	
"3s.6d"	"3D"	"2"	5	" 138814.87"	
"3s.6d"	"3D"	"3"	7	" 138815.12"	
"3s.6f"	"1F*"	"3"	7	" 139245.343"	
"3s.6d"	"1D"	"2"	5	" 139289.15"	
"3s.6g"	"3G"	"3"	7	" 139591.1"	
"3s.6g"	"3G"	"4"	9	" 139591.1"	
