Configuration	Term	J	g	Level (cm-1)
"3s2.3p5"	"2P*"	"3/2"	4	" 0.0000"	
"3s2.3p5"	"2P*"	"1/2"	2	" 1431.5831"	
"3s.3p6"	"2S"	"1/2"	2	" 108721.537"	
"3s2.3p4.(3P).3d"	"4D"	"7/2"	8	" 132327.3616"	
"3s2.3p4.(3P).3d"	"4D"	"5/2"	6	" 132481.2068"	
"3s2.3p4.(3P).3d"	"4D"	"3/2"	4	" 132630.7277"	
"3s2.3p4.(3P).3d"	"4D"	"1/2"	2	" 132737.7039"	
"3s2.3p4.(3P).4s"	"4P"	"5/2"	6	" 134241.7389"	
"3s2.3p4.(3P).4s"	"4P"	"3/2"	4	" 135085.9958"	
"3s2.3p4.(3P).4s"	"4P"	"1/2"	2	" 135601.7336"	
"3s2.3p4.(3P).4s"	"2P"	"3/2"	4	" 138243.6444"	
"3s2.3p4.(3P).4s"	"2P"	"1/2"	2	" 139258.3389"	
"3s2.3p4.(3P).3d"	"4F"	"9/2"	10	" 142186.3153"	
"3s2.3p4.(3P).3d"	"4F"	"7/2"	8	" 142717.0965"	
"3s2.3p4.(3P).3d"	"4F"	"5/2"	6	" 143107.6801"	
"3s2.3p4.(3P).3d"	"4F"	"3/2"	4	" 143371.4364"	
"3s2.3p4.(3P).3d"	"2P"	"1/2"	2	" 144709.9818"	
"3s2.3p4.(3P).3d"	"2P"	"3/2"	4	" 145668.8845"	
"3s2.3p4.(3P).3d"	"4P"	"1/2"	2	" 147228.0521"	
"3s2.3p4.(3P).3d"	"4P"	"3/2"	4	" 147503.1134"	
"3s2.3p4.(3P).3d"	"4P"	"5/2"	6	" 147875.9477"	
"3s2.3p4.(1D).4s"	"2D"	"3/2"	4	" 148620.1414"	
"3s2.3p4.(1D).4s"	"2D"	"5/2"	6	" 148842.4674"	
"3s2.3p4.(3P).3d"	"2F"	"7/2"	8	" 149179.2444"	
"3s2.3p4.(3P).3d"	"2F"	"5/2"	6	" 150147.7021"	
"3s2.3p4.(3P).3d"	"2D"	"3/2"	4	" 150474.9903"	
"3s2.3p4.(3P).3d"	"2D"	"5/2"	6	" 151087.3128"	
"3s2.3p4.(1D).3d"	"2G"	"9/2"	10	" 154181.4942"	
"3s2.3p4.(1D).3d"	"2G"	"7/2"	8	" 154204.0240"	
"3s2.3p4.(3P).4p"	"4P*"	"5/2"	6	" 155043.1619"	
"3s2.3p4.(3P).4p"	"4P*"	"3/2"	4	" 155351.1206"	
"3s2.3p4.(3P).4p"	"4P*"	"1/2"	2	" 155708.1075"	
"3s2.3p4.(3P).4p"	"4D*"	"7/2"	8	" 157234.0196"	
"3s2.3p4.(3P).4p"	"4D*"	"5/2"	6	" 157673.4134"	
"3s2.3p4.(3P).4p"	"4D*"	"3/2"	4	" 158167.7999"	
"3s2.3p4.(3P).4p"	"4D*"	"1/2"	2	" 158428.1087"	
"3s2.3p4.(3P).4p"	"2D*"	"5/2"	6	" 158730.2995"	
"3s2.3p4.(3P).4p"	"2D*"	"3/2"	4	" 159393.3850"	
"3s2.3p4.(3P).4p"	"2P*"	"1/2"	2	" 159706.5337"	
"3s2.3p4.(3P).4p"	"2P*"	"3/2"	4	" 160239.4280"	
"3s2.3p4.(3P).4p"	"4S*"	"3/2"	4	" 161048.7411"	
"3s2.3p4.(3P).4p"	"2S*"	"1/2"	2	" 161089.3846"	
"3s2.3p4.(1D).3d"	"2F"	"5/2"	6	" 163299.5616"	
"3s2.3p4.(1D).3d"	"2F"	"7/2"	8	" 163506.5368"	
"3s2.3p4.(1S).4s"	"2S"	"1/2"	2	" 167307.9822"	
"3s2.3p4.(1D).4p"	"2F*"	"5/2"	6	" 170401.0170"	
"3s2.3p4.(1D).4p"	"2F*"	"7/2"	8	" 170530.4040"	
"3s2.3p4.(1D).4p"	"2P*"	"3/2"	4	" 172213.8798"	
"3s2.3p4.(1D).3d"	"2D"	"5/2"	6	" 172335.5985"	
"3s2.3p4.(1D).4p"	"2P*"	"1/2"	2	" 172816.2926"	
"3s2.3p4.(1D).3d"	"2D"	"3/2"	4	" 172829.6539"	
"3s2.3p4.(1D).4p"	"2D*"	"3/2"	4	" 173347.9158"	
"3s2.3p4.(1D).4p"	"2D*"	"5/2"	6	" 173393.4658"	
"3s2.3p4.(1D).3d"	"2P"	"3/2"	4	" 174409.8916"	
"3s2.3p4.(1D).3d"	"2P"	"1/2"	2	" 174821.0098"	
"3s2.3p4.(1S).3d"	"2D"	"5/2"	6	" 179592.2248"	
"3s2.3p4.(1S).3d"	"2D"	"3/2"	4	" 179931.8393"	
"3s2.3p4.(3P).5s"	"4P"	"5/2"	6	" 181594.1404"	
"3s2.3p4.(3P).5s"	"4P"	"3/2"	4	" 182222.1209"	
"3s2.3p4.(3P).5s"	"4P"	"1/2"	2	" 182951.2609"	
"3s2.3p4.(3P).5s"	"2P"	"3/2"	4	" 183090.8927"	
"3s2.3p4.(3P).4d"	"4D"	"7/2"	8	" 183675.6614"	
"3s2.3p4.(3P).4d"	"4D"	"5/2"	6	" 183797.4473"	
"3s2.3p4.(3P).5s"	"2P"	"1/2"	2	" 183914.6440"	
"3s2.3p4.(3P).4d"	"4D"	"3/2"	4	" 183986.0137"	
"3s2.3p4.(1D).3d"	"2S"	"1/2"	2	" 184093.1337"	
"3s2.3p4.(3P).4d"	"4D"	"1/2"	2	" 184191.7917"	
"3s2.3p4.(3P).4d"	"4F"	"9/2"	10	" 185093.3298"	
"3s2.3p4.(3P).4d"	"4F"	"7/2"	8	" 185624.8282"	
"3s2.3p4.(3P).4d"	"4F"	"5/2"	6	" 186074.4375"	
"3s2.3p4.(3P).4d"	"4P"	"1/2"	2	" 186171.3330"	
"3s2.3p4.(3P).4d"	"4F"	"3/2"	4	" 186340.5616"	
"3s2.3p4.(3P).4d"	"4P"	"3/2"	4	" 186470.3603"	
"3s2.3p4.(3P).4d"	"2F"	"7/2"	8	" 186816.0496"	
"3s2.3p4.(3P).4d"	"4P"	"5/2"	6	" 186891.0393"	
"3s2.3p4.(3P).4d"	"2F"	"5/2"	6	" 187589.3383"	
"3s2.3p4.(3P).5p"	"4P*"	"5/2"	6	" 188766.2129"	
"3s2.3p4.(3P).5p"	"4P*"	"3/2"	4	" 189040.9351"	
"3s2.3p4.(3P).5p"	"4D*"	"7/2"	8	" 189415.0280"	
"3s2.3p4.(3P).5p"	"4P*"	"1/2"	2	" 189437.7396"	
"3s2.3p4.(3P).5p"	"4D*"	"5/2"	6	" 189654.8487"	
"3s2.3p4.(3P).4d"	"2P"	"1/2"	2	" 189934.6322"	
"3s2.3p4.(3P).5p"	"4D*"	"3/2"	4	" 190106.3000"	
"3s2.3p4.(3P).5p"	"2P*"	"1/2"	2	" 190196.2066"	
"3s2.3p4.(3P).5p"	"2P*"	"3/2"	4	" 190507.4128"	
"3s2.3p4.(3P).5p"	"2D*"	"5/2"	6	" 190511.2674"	
"3s2.3p4.(3P).4d"	"2P"	"3/2"	4	" 190592.2306"	
"3s2.3p4.(3P).5p"	"4D*"	"1/2"	2	" 190733.0156"	
"3s2.3p4.(3P).5p"	"2S*"	"1/2"	2	" 190942.7220"	
"3s2.3p4.(3P).5p"	"2D*"	"3/2"	4	" 191012.4246"	
"3s2.3p4.(3P).5p"	"4S*"	"3/2"	4	" 191169.5946"	
"3s2.3p4.(1S).4p"	"2P*"	"3/2"	4	" 191974.5800"	
"3s2.3p4.(1S).4p"	"2P*"	"1/2"	2	" 192333.4986"	
"3s2.3p4.(3P).4d"	"2D"	"5/2"	6	" 192556.9179"	
"3s2.3p4.(3P).4d"	"2D"	"3/2"	4	" 192712.058"	
"3s2.3p4.(3P<2>).4f"	"2[4]*"	"9/2"	10	" 194800.2662"	
"3s2.3p4.(3P<2>).4f"	"2[4]*"	"7/2"	8	" 194822.1833"	
"3s2.3p4.(3P<2>).4f"	"2[3]*"	"5/2"	6	" 194861.3529"	
"3s2.3p4.(3P<2>).4f"	"2[3]*"	"7/2"	8	" 194883.0921"	
"3s2.3p4.(3P<2>).4f"	"2[2]*"	"3/2"	4	" 194996.5613"	
"3s2.3p4.(3P<2>).4f"	"2[2]*"	"5/2"	6	" 195031.2028"	
"3s2.3p4.(3P<2>).4f"	"2[5]*"	"11/2"	12	" 195123.6464"	
"3s2.3p4.(3P<2>).4f"	"2[5]*"	"9/2"	10	" 195128.3735"	
"3s2.3p4.(3P<2>).4f"	"2[1]*"	"1/2"	2	" 195281.4505"	
"3s2.3p4.(3P<2>).4f"	"2[1]*"	"3/2"	4	" 195297.6798"	
"3s2.3p4.(1D).5s"	"2D"	"5/2"	6	" 195864.7296"	
"3s2.3p4.(1D).5s"	"2D"	"3/2"	4	" 195866.8503"	
"3s2.3p4.(3P<1>).4f"	"2[2]*"	"3/2"	4	" 196076.4715"	
