Configuration	Term	J	g	Level (cm-1)
"4s2.4p2"	"3P"	"0"	1	" 0.00"	
"4s2.4p2"	"3P"	"1"	3	" 1063.49"	
"4s2.4p2"	"3P"	"2"	5	" 2541.35"	
"4s2.4p2"	"1D"	"2"	5	" 10095.82"	
"4s2.4p2"	"1S"	"0"	1	" 22598.6"	
"4s.4p3"	"5S*"	"2"	5	" 54817.08"	
"4s.4p3"	"3D*"	"1"	3	" 73749.89"	
"4s.4p3"	"3D*"	"2"	5	" 73862.33"	
"4s.4p3"	"3D*"	"3"	7	" 74244.42"	
"4s2.4p.(2P*<1/2>).5s"	"11*"	"0"	1	" 78730.893"	
"4s2.4p.(2P*<1/2>).5s"	"11*"	"1"	3	" 79128.33"	
"4s2.4p.(2P*<3/2>).5s"	"21*"	"2"	5	" 81508.925"	
"4s2.4p.(2P*<3/2>).5s"	"21*"	"1"	3	" 82819.214"	
"4s2.4p.(2P*).4d"	"1D*"	"2"	5	" 83100.804"	
"4s.4p3"	"3P*"	"1"	3	" 84636.186"	
"4s.4p3"	"3P*"	"0"	1	" 84648.426"	
"4s.4p3"	"3P*"	"2"	5	" 85105.86"	
"4s2.4p.(2P*).4d"	"3F*"	"2"	5	" 88829.143"	
"4s2.4p.(2P*).4d"	"3F*"	"3"	7	" 89549.654"	
"4s2.4p.(2P*).4d"	"3F*"	"4"	9	" 90927.421"	
"4s2.4p.(2P*<1/2>).5p"	"2[3/2]"	"1"	3	" 95330.583"	
"4s2.4p.(2P*<1/2>).5p"	"2[1/2]"	"1"	3	" 96915.177"	
"4s2.4p.(2P*<1/2>).5p"	"2[3/2]"	"2"	5	" 97115.136"	
"4s2.4p.(2P*<1/2>).5p"	"2[3/2]"	"0"	1	" 98238.420"	
"4s2.4p.(2P*).4d"	"3D*"	"1"	3	" 99066.007"	
"4s2.4p.(2P*<3/2>).5p"	"2[3/2]"	"1"	3	" 99181.115"	
"4s2.4p.(2P*<3/2>).5p"	"2[5/2]"	"3"	7	" 99199.000"	
"4s2.4p.(2P*).4d"	"3D*"	"2"	5	" 99548.817"	
"4s2.4p.(2P*<3/2>).5p"	"2[3/2]"	"2"	5	" 100261.130"	
"4s2.4p.(2P*).4d"	"3D*"	"3"	7	" 100391.099"	
