Configuration	Term	J	g	Level (cm-1)
"1s2.2s"	"2S"	"1/2"	2	" 0.000"	
"1s2.2p"	"2P*"	"1/2"	2	" 48358.335"	
"1s2.2p"	"2P*"	"3/2"	4	" 48392.435"	
"1s2.3s"	"2S"	"1/2"	2	" 180201.92"	
"1s2.3p"	"2P*"	"1/2"	2	" 192951.23"	
"1s2.3p"	"2P*"	"3/2"	4	" 192961.24"	
"1s2.3d"	"2D"	"3/2"	4	" 196068.75"	
"1s2.3d"	"2D"	"5/2"	6	" 196071.67"	
"1s2.4s"	"2S"	"1/2"	2	" 237698.27"	
"1s2.4p"	"2P*"	"1/2"	2	" 242829.74"	
"1s2.4p"	"2P*"	"3/2"	4	" 242833.65"	
"1s2.4d"	"2D"	"3/2"	4	" 244141.63"	
"1s2.4d"	"2D"	"5/2"	6	" 244142.86"	
"1s2.4f"	"2F*"	"5/2"	6	" 244199.12"	
"1s2.4f"	"2F*"	"7/2"	8	" 244199.74"	
"1s2.5s"	"2S"	"1/2"	2	" 263159.78"	
"1s2.5p"	"2P*"	"1/2"	2	" 265721.62"	
"1s2.5p"	"2P*"	"3/2"	4	" 265723.75"	
"1s2.5d"	"2D"	"3/2"	4	" 266391.36"	
"1s2.5d"	"2D"	"5/2"	6	" 266391.99"	
"1s2.5f"	"2F*"	"5/2"	6	" 266422.38"	
"1s2.5f"	"2F*"	"7/2"	8	" 266422.70"	
"1s2.5g"	"2G"	"7/2,9/2"	18	" 266426.94"	
"1s2.6s"	"2S"	"1/2"	2	"[276630.32]"	
"1s2.6p"	"2P*"	"1/2"	2	"[278090.15]"	
"1s2.6p"	"2P*"	"3/2"	4	"[278090.15]"	
"1s2.6d"	"2D"	"3/2"	4	"[278476.47]"	
"1s2.6d"	"2D"	"5/2"	6	"[278476.47]"	
"1s2.6f"	"2F*"	"5/2"	6	"[278495.15]"	
"1s2.6f"	"2F*"	"7/2"	8	"[278495.15]"	
"1s2.6g"	"2G"	"7/2,9/2"	18	"[278497.08]"	
"1s2.6h"	"2H*"	"9/2,11/2"	22	"[278497.56]"	
"1s2.7s"	"2S"	"1/2"	2	"[284609.86]"	
"1s2.7p"	"2P*"	"1/2"	2	"[285519.29]"	
"1s2.7p"	"2P*"	"3/2"	4	"[285519.29]"	
"1s2.7d"	"2D"	"3/2,5/2"	10	"[285762.20]"	
"1s2.7f"	"2F*"	"5/2"	6	"[285774.21]"	
"1s2.7f"	"2F*"	"7/2"	8	"[285774.21]"	
"1s2.7g"	"2G"	"7/2,9/2"	18	"[285775.45]"	
"1s2.7h"	"2H*"	"9/2,11/2"	22	"[285775.76]"	
"1s2.8s"	"2S"	"1/2"	2	"[289723.38]"	
"1s2.8p"	"2P*"	"1/2"	2	"[290327.86]"	
"1s2.8p"	"2P*"	"3/2"	4	"[290327.86]"	
"1s2.8d"	"2D"	"3/2,5/2"	10	"[290490.40]"	
"1s2.8f"	"2F*"	"5/2"	6	"[290498.54]"	
"1s2.8f"	"2F*"	"7/2"	8	"[290498.54]"	
"1s2.8g"	"2G"	"7/2,9/2"	18	"[290499.39]"	
"1s2.8h"	"2H*"	"9/2,11/2"	22	"[290499.60]"	
"1s2.9s"	"2S"	"1/2"	2	"[293195.66]"	
"1s2.9p"	"2P*"	"1/2"	2	"[293617.69]"	
"1s2.9p"	"2P*"	"3/2"	4	"[293617.69]"	
"1s2.9d"	"2D"	"3/2,5/2"	10	"[293731.73]"	
"1s2.9f"	"2F*"	"5/2"	6	"[293737.50]"	
"1s2.9f"	"2F*"	"7/2"	8	"[293737.50]"	
"1s2.9g"	"2G"	"7/2,9/2"	18	"[293738.10]"	
"1s2.9h"	"2H*"	"9/2,11/2"	22	"[293738.26]"	
"1s2.10d"	"2D"	"3/2,5/2"	10	"[296050.06]"	
"1s2.10f"	"2F*"	"5/2,7/2"	14	"[296054.29]"	
"1s2.10g"	"2G"	"7/2,9/2"	18	"[296054.73]"	
"1s2.10h"	"2H*"	"9/2,11/2"	22	"[296054.84]"	
"1s2.11d"	"2D"	"3/2,5/2"	10	"[297765.25]"	
"1s2.11f"	"2F*"	"5/2,7/2"	14	"[297768.44]"	
"B IV (1s2 1S<0>)"	"Limit"	"---"		" 305930.8"	
"1s.2s2"	"2S"	"1/2"	2	" 1554480"	
"1s.2s.2p"	"4P*"	"1/2,3/2,5/2"	12	" 1570850.0"	
"1s.(2S).2s.2p.(3P*)"	"2P*"	"1/2,3/2"	6	" 1606090"	
"1s.(2S).2s.2p.(1P*)"	"2P*"	"1/2,3/2"	6	" 1629050"	
