Configuration	Term	J	g	Level (cm-1)
"4s2.4p5"	"2P*"	"3/2"	4	" 0.00"	
"4s2.4p5"	"2P*"	"1/2"	2	" 3685.24"	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	6	" 63436.45"	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"3/2"	4	" 64907.19"	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	2	" 66883.87"	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"3/2"	4	" 67183.58"	
"4s2.4p4.(3P<0>).5s"	"2[0]"	"1/2"	2	" 68970.21"	
"4s2.4p4.(3P<2>).5p"	"2[2]*"	"5/2"	6	" 74672.32"	
"4s2.4p4.(3P<2>).5p"	"2[2]*"	"3/2"	4	" 75009.13"	
"4s2.4p4.(3P<2>).5p"	"2[3]*"	"7/2"	8	" 75521.50"	
"4s2.4p4.(3P<2>).5p"	"2[3]*"	"5/2"	6	" 75697.05"	
"4s2.4p4.(3P<2>).5p"	"2[1]*"	"1/2"	2	" 75814.00"	
"4s2.4p4.(1D<2>).5s"	"2[2]"	"5/2"	6	" 75890.33"	
"4s2.4p4.(1D<2>).5s"	"2[2]"	"3/2"	4	" 75908.53"	
"4s2.4p4.(3P<2>).5p"	"2[1]*"	"3/2"	4	" 76743.08"	
"4s2.4p4.(3P<1>).5p"	"2[0]*"	"1/2"	2	" 78076.00"	
"4s2.4p4.(3P<1>).5p"	"2[2]*"	"5/2"	6	" 78511.60"	
"4s2.4p4.(3P<1>).5p"	"2[2]*"	"3/2"	4	" 78676.65"	
"4s2.4p4.(3P<1>).5p"	"2[1]*"	"1/2"	2	" 78865.72"	
"4s2.4p4.(3P<2>).4d"	"2[3]"	"7/2"	8	" 79044.50"	
"4s2.4p4.(3P<1>).5p"	"2[1]*"	"3/2"	4	" 79178.33"	
"4s2.4p4.(3P<2>).4d"	"2[3]"	"5/2"	6	" 79260.91"	
"4s2.4p4.(3P<2>).4d"	"2[1]"	"3/2"	4	" 79630.67"	
"4s2.4p4.(3P<0>).5p"	"2[1]*"	"3/2"	4	" 79695.89"	
"4s2.4p4.(3P<0>).5p"	"2[1]*"	"1/2"	2	" 79868.03"	
"4s2.4p4.(3P<2>).4d"	"2[1]"	"1/2"	2	" 80026.40"	
"4s2.4p4.(3P<2>).4d"	"2[4]"	"9/2"	10	" 80587.61"	
"4s2.4p4.(3P<2>).4d"	"2[4]"	"7/2"	8	" 81081.10"	
"4s2.4p4.(3P<2>).4d"	"2[0]"	"1/2"	2	" 81429.97"	
"4s2.4p4.(3P<2>).4d"	"2[2]"	"5/2"	6	" 81672.28"	
"4s2.4p4.(3P<2>).4d"	"2[2]"	"3/2"	4	" 81842.02"	
"4s2.4p4.(3P<2>).6s"	"2[2]"	"5/2"	6	" 82236.17"	
"4s2.4p4.(3P<2>).6s"	"2[2]"	"3/2"	4	" 82661.57"	
"4s2.4p4.(3P<1>).4d"	"2[1]"	"1/2"	2	" 83101.09"	
"4s2.4p4.(3P<1>).4d"	"2[3]"	"7/2"	8	" 83358.84"	
"4s2.4p4.(3P<1>).4d"	"2[1]"	"3/2"	4	" 83578.50"	
"4s2.4p4.(3P<1>).4d"	"2[3]"	"5/2"	6	" 83723.08"	
"4s2.4p4.(3P<1>).4d"	"2[2]"	"3/2"	4	" 84077.52"	
"4s2.4p4.(3P<1>).4d"	"2[2]"	"5/2"	6	" 84305.76"	
"4s.4p6"	"2S"	"1/2"	2	" 84825.60"	
"4s2.4p4.(3P<0>).4d"	"2[2]"	"5/2"	6	" 84945.16"	
"4s2.4p4.(3P<0>).4d"	"2[2]"	"3/2"	4	" 85191.59"	
