Configuration	Term	J	g	Level (cm-1)
"4s2.4p4"	"3P"	"2"	5	" 0.0"	
"4s2.4p4"	"3P"	"1"	3	" 3136.4"	
"4s2.4p4"	"3P"	"0"	1	" 3837.5"	
"4s2.4p4"	"1D"	"2"	5	" 12089.1"	
"4s2.4p4"	"1S"	"0"	1	" 27867.1"	
"4s2.4p3.(4S*).5s"	"5S*"	"2"	5	" 93921.0"	
"4s.4p5"	"3P*"	"2"	5	" 96431.78"	
"4s2.4p3.(4S*).5s"	"3S*"	"1"	3	" 98468.6"	
"4s.4p5"	"3P*"	"1"	3	" 98799.20"	
"4s.4p5"	"3P*"	"0"	1	" 100234.4"	
"4s2.4p3.(4S*).4d"	"5D*"	"3"	7	" 104037.6"	
"4s2.4p3.(4S*).4d"	"5D*"	"2"	5	" 104077.7"	
"4s2.4p3.(4S*).4d"	"5D*"	"4"	9	" 104089.6"	
"4s2.4p3.(4S*).4d"	"5D*"	"1"	3	" 104143.2"	
"4s2.4p3.(4S*).4d"	"5D*"	"0"	1	" 104191.4"	
"4s2.4p3.(2D*).5s"	"3D*"	"1"	3	" 109430.0"	
"4s2.4p3.(2D*).5s"	"3D*"	"2"	5	" 109681.0"	
"4s2.4p3.(2D*).5s"	"3D*"	"3"	7	" 110376.0"	
"4s2.4p3.(4S*).4d"	"3D*"	"2"	5	" 111527.2"	
"4s2.4p3.(4S*).4d"	"3D*"	"1"	3	" 112387.0"	
"4s2.4p3.(4S*).4d"	"3D*"	"3"	7	" 112458.6"	
"4s2.4p3.(2D*).5s"	"1D*"	"2"	5	" 112934.5"	
"4s.4p5"	"1P*"	"1"	3	" 113339.1"	
"4s2.4p3.(4S*).5p"	"5P"	"1"	3	" 114673.5"	
"4s2.4p3.(4S*).5p"	"5P"	"2"	5	" 114809.8"	
"4s2.4p3.(4S*).5p"	"5P"	"3"	7	" 115167.6"	
"4s2.4p3.(4S*).5p"	"3P"	"1"	3	" 117552.9"	
"4s2.4p3.(2D*).4d"	"3F*"	"2"	5	" 117742.0"	
"4s2.4p3.(4S*).5p"	"3P"	"2"	5	" 117758.9"	
"4s2.4p3.(4S*).5p"	"3P"	"0"	1	" 117825.8"	
"4s2.4p3.(2D*).4d"	"3F*"	"3"	7	" 118507.1"	
"4s2.4p3.(2D*).4d"	"3F*"	"4"	9	" 119429.6"	
"4s2.4p3.(2P*).5s"	"3P*"	"0"	1	" 121151.4"	
"4s2.4p3.(2P*).5s"	"3P*"	"1"	3	" 121554.7"	
"4s2.4p3.(2D*).4d"	"1G*"	"4"	9	" 122189.4"	
"4s2.4p3.(2P*).5s"	"3P*"	"2"	5	" 122625.7"	
