Configuration	Term	J	g	Level (cm-1)
"2s2.2p2"	"3P"	"0"	1	" 0.0000000"	
"2s2.2p2"	"3P"	"1"	3	" 16.4167130"	
"2s2.2p2"	"3P"	"2"	5	" 43.4134567"	
"2s2.2p2"	"1D"	"2"	5	" 10192.657"	
"2s2.2p2"	"1S"	"0"	1	" 21648.030"	
"2s.2p3"	"5S*"	"2"	5	" 33735.121"	
"2s2.2p.3s"	"3P*"	"0"	1	" 60333.4476"	
"2s2.2p.3s"	"3P*"	"1"	3	" 60352.6584"	
"2s2.2p.3s"	"3P*"	"2"	5	" 60393.1693"	
"2s2.2p.3s"	"1P*"	"1"	3	" 61981.83211"	
"2s.2p3"	"3D*"	"3"	7	" 64086.96961"	
"2s.2p3"	"3D*"	"1"	3	" 64089.8990"	
"2s.2p3"	"3D*"	"2"	5	" 64090.99351"	
"2s2.2p.3p"	"1P"	"1"	3	" 68856.35208"	
"2s2.2p.3p"	"3D"	"1"	3	" 69689.49393"	
"2s2.2p.3p"	"3D"	"2"	5	" 69710.68728"	
"2s2.2p.3p"	"3D"	"3"	7	" 69744.05213"	
"2s2.2p.3p"	"3S"	"1"	3	" 70743.97227"	
"2s2.2p.3p"	"3P"	"0"	1	" 71352.54344"	
"2s2.2p.3p"	"3P"	"1"	3	" 71364.93596"	
"2s2.2p.3p"	"3P"	"2"	5	" 71385.40992"	
"2s2.2p.3p"	"1D"	"2"	5	" 72610.73530"	
"2s2.2p.3p"	"1S"	"0"	1	" 73975.92785"	
"2s.2p3"	"3P*"	"1"	3	" 75254.0017"	
"2s.2p3"	"3P*"	"2"	5	" 75255.29373"	
"2s.2p3"	"3P*"	"0"	1	" 75256.1696"	
"2s2.2p.3d"	"1D*"	"2"	5	" 77679.83311"	
"2s2.2p.4s"	"3P*"	"0"	1	" 78105.00058"	
"2s2.2p.4s"	"3P*"	"1"	3	" 78116.77336"	
"2s2.2p.4s"	"3P*"	"2"	5	" 78148.10824"	
"2s2.2p.3d"	"3F*"	"2"	5	" 78199.09144"	
"2s2.2p.3d"	"3F*"	"3"	7	" 78215.54012"	
"2s2.2p.3d"	"3F*"	"4"	9	" 78249.96676"	
"2s2.2p.3d"	"3D*"	"1"	3	" 78293.51263"	
"2s2.2p.3d"	"3D*"	"2"	5	" 78307.64625"	
