Configuration	Term	J	g	Level (cm-1)
"3s2.3p6"	"1S"	"0"	1	" 0.0"	
"3s2.3p5.3d"	"3P*"	"0"	1	" 203373.22"	
"3s2.3p5.3d"	"3P*"	"1"	3	" 203851.95"	
"3s2.3p5.3d"	"3P*"	"2"	5	" 204842.64"	
"3s2.3p5.3d"	"3F*"	"4"	9	" 212310.0"	
"3s2.3p5.3d"	"3F*"	"3"	7	" 213379.40"	
"3s2.3p5.3d"	"3F*"	"2"	5	" 214334.06"	
"3s2.3p5.3d"	"1D*"	"2"	5	" 225826.22"	
"3s2.3p5.3d"	"3D*"	"3"	7	" 226333.56"	
"3s2.3p5.3d"	"3D*"	"2"	5	" 227388.56"	
"3s2.3p5.3d"	"3D*"	"1"	3	" 227432.11"	
"3s2.3p5.3d"	"1F*"	"3"	7	" 228413.95"	
"3s2.3p5.4s"	"3P*"	"2"	5	" 242547.19"	
"3s2.3p5.4s"	"3P*"	"1"	3	" 243930.44"	
"3s2.3p5.4s"	"3P*"	"0"	1	" 245611.88"	
"3s2.3p5.4s"	"1P*"	"1"	3	" 247696.39"	
"3s2.3p5.4p"	"3S"	"1"	3	" 272188.70"	
"3s2.3p5.4p"	"3D"	"3"	7	" 277022.40"	
"3s2.3p5.4p"	"3D"	"2"	5	" 277380.86"	
"3s2.3p5.4p"	"3D"	"1"	3	" 278621.01"	
"3s2.3p5.3d"	"1P*"	"1"	3	" 279353.64"	
"3s2.3p5.4p"	"1D"	"2"	5	" 279741.80"	
"3s2.3p5.4p"	"1P"	"1"	3	" 281139.55"	
"3s2.3p5.4p"	"3P"	"2"	5	" 281882.24"	
"3s2.3p5.4p"	"3P"	"0"	1	" 282075.15"	
"3s2.3p5.4p"	"3P"	"1"	3	" 282571.43"	
"3s2.3p5.4p"	"1S"	"0"	1	" 290934.30"	
"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"	1	" 322663.28"	
"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	3	" 323003.56"	
"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"	5	" 323655.06"	
"3s2.3p5.(2P*<3/2>).4d"	"2[7/2]*"	"4"	9	" 324110.24"	
"3s2.3p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	7	" 324660.47"	
"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"	5	" 325467.67"	
"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"	7	" 326186.32"	
"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	" 327922.87"	
"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"	3	" 327962.11"	
"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	5	" 328090.99"	
"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	" 328582.45"	
"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"3"	7	" 328588.76"	
"3s2.3p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"	5	" 328606.78"	
"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	1	" 331048.86"	
"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	" 331403.20"	
"3s2.3p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"	3	" 336749.11"	
"3s2.3p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	3	" 339198.09"	
"3s2.3p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	7	" 340580.15"	
"3s2.3p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	5	" 340748.72"	
"3s2.3p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	3	" 341349.19"	
"3s2.3p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	5	" 341601.46"	
"3s2.3p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	1	" 343110.24"	
"3s2.3p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	3	" 343784.96"	
"3s2.3p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	5	" 344149.81"	
"3s2.3p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	3	" 344257.92"	
"3s2.3p5.(2P*<1/2>).5p"	"2[1/2]"	"0"	1	" 346692.34"	
"3s2.3p5.(2P*<3/2>).4f"	"2[3/2]"	"1"	3	" 346732.19"	
"3s2.3p5.(2P*<3/2>).4f"	"2[3/2]"	"2"	5	" 346896.26"	
"3s2.3p5.(2P*<3/2>).4f"	"2[9/2]"	"5"	11	" 347344.37"	
"3s2.3p5.(2P*<3/2>).4f"	"2[9/2]"	"4"	9	" 347383.51"	
"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"3"	7	" 347417.05"	
"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"2"	5	" 347758.22"	
"3s2.3p5.(2P*<3/2>).4f"	"2[7/2]"	"3"	7	" 348028.13"	
"3s2.3p5.(2P*<3/2>).4f"	"2[7/2]"	"4"	9	" 348051.86"	
"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"3"	7	" 350741.19"	
"3s2.3p5.(2P*<1/2>).4f"	"2[7/2]"	"3"	7	" 350779.47"	
"3s2.3p5.(2P*<1/2>).4f"	"2[7/2]"	"4"	9	" 350805.32"	
"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"2"	5	" 350900.04"	
"3s2.3p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	1	" 358940.91"	
"3s2.3p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	3	" 359156.83"	
"3s2.3p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	5	" 359520.60"	
