Configuration	Term	J	g	Level (cm-1)
"3s2.3p5"	"2P*"	"3/2"	4	" 0.0000"	
"3s2.3p5"	"2P*"	"1/2"	2	" 882.3515"	
"3s2.3p4.(3P).4s"	"4P"	"5/2"	6	" 71958.363"	
"3s2.3p4.(3P).4s"	"4P"	"3/2"	4	" 72488.568"	
"3s2.3p4.(3P).4s"	"4P"	"1/2"	2	" 72827.038"	
"3s2.3p4.(3P).4s"	"2P"	"3/2"	4	" 74225.846"	
"3s2.3p4.(3P).4s"	"2P"	"1/2"	2	" 74865.667"	
"3s2.3p4.(3P).4p"	"4P*"	"5/2"	6	" 82918.893"	
"3s2.3p4.(3P).4p"	"4P*"	"3/2"	4	" 83130.900"	
"3s2.3p4.(3P).4p"	"4P*"	"1/2"	2	" 83364.927"	
"3s2.3p4.(3P).4p"	"4D*"	"7/2"	8	" 83894.037"	
"3s2.3p4.(1D).4s"	"2D"	"5/2"	6	" 84120.263"	
"3s2.3p4.(1D).4s"	"2D"	"3/2"	4	" 84121.872"	
"3s2.3p4.(3P).4p"	"4D*"	"5/2"	6	" 84132.262"	
"3s2.3p4.(3P).4p"	"4D*"	"3/2"	4	" 84485.309"	
"3s2.3p4.(3P).4p"	"2D*"	"5/2"	6	" 84648.100"	
"3s2.3p4.(3P).4p"	"4D*"	"1/2"	2	" 84688.637"	
"3s2.3p4.(3P).4p"	"2D*"	"3/2"	4	" 84988.480"	
"3s2.3p4.(3P).4p"	"2P*"	"1/2"	2	" 85244.330"	
"3s2.3p4.(3P).4p"	"2P*"	"3/2"	4	" 85442.430"	
""	"z 2S"	"1/2"	2	" 85678.94"	
"3s2.3p4.(3P).4p"	"4S*"	"3/2"	4	" 85735.091"	
"3s2.3p4.(3P).4p"	"2S*"	"1/2"	2	" 85917.937"	
"3s2.3p4.(3P).3d"	"4D"	"7/2"	8	" 87979.490"	
"3s2.3p4.(3P).3d"	"4D"	"5/2"	6	" 88080.042"	
"3s2.3p4.(3P).3d"	"4D"	"3/2"	4	" 88188.55"	
"3s2.3p4.(3P).3d"	"4D"	"1/2"	2	" 88272.72"	
"3s2.3p4.(3P).3d"	"4F"	"9/2"	10	" 90193.64"	
"3s2.3p4.(3P).3d"	"4F"	"7/2"	8	" 90487.87"	
"3s2.3p4.(3P).3d"	"4F"	"5/2"	6	" 90749.36"	
"3s2.3p4.(3P).3d"	"4F"	"3/2"	4	" 90948.53"	
"3s2.3p4.(3P).3d"	"4P"	"1/2"	2	" 91069.02"	
"3s2.3p4.(3P).3d"	"2F"	"7/2"	8	" 91089.45"	
"3s2.3p4.(3P).3d"	"2D"	"5/2"	6	" 91127.03"	
"3s2.3p4.(3P).3d"	"2D"	"3/2"	4	" 91173.51"	
"3s2.3p4.(3P<2>).5s"	"2[2]"	"5/2"	6	" 91343.50"	
"3s2.3p4.(3P).3d"	"4P"	"3/2"	4	" 91538.50"	
"3s2.3p4.(3P).3d"	"2P"	"1/2"	2	" 91564.30"	
"3s2.3p4.(3P).3d"	"4P"	"5/2"	6	" 91660.58"	
"3s2.3p4.(3P<2>).5s"	"2[2]"	"3/2"	4	" 91680.99"	
"3s2.3p4.(3P).3d"	"2F"	"5/2"	6	" 91906.79"	
"3s2.3p4.(3P<1>).5s"	"2[1]"	"3/2"	4	" 92140.127"	
"3s2.3p4.(3P<1>).5s"	"2[1]"	"1/2"	2	" 92151.38"	
"3s2.3p4.(3P).3d"	"2P"	"3/2"	4	" 92194.19"	
"3s2.3p4.(3P<0>).5s"	"2[0]"	"1/2"	2	" 92602.70"	
"3s2.3p4.(1D).4p"	"2P*"	"3/2"	4	" 94314.206"	
"3s2.3p4.(1D).4p"	"2P*"	"1/2"	2	" 94468.857"	
"3s2.3p4.(3P).5p"	"4P*"	"5/2"	6	" 94482.236"	
"3s2.3p4.(3P).5p"	"4P*"	"3/2"	4	" 94663.670"	
"3s2.3p4.(3P).5p"	"4D*"	"7/2"	8	" 94732.30"	
"3s2.3p4.(3P).5p"	"2D*"	"5/2"	6	" 94827.150"	
"3s2.3p4.(3P).5p"	"4P*"	"1/2"	2	" 94973.683"	
"3s2.3p4.(1D).4p"	"2F*"	"5/2"	6	" 95144.623"	
"3s2.3p4.(1D).4p"	"2F*"	"7/2"	8	" 95180.419"	
"3s2.3p4.(3P).5p"	"4D*"	"3/2"	4	" 95313.749"	
"3s2.3p4.(3P).5p"	"4D*"	"5/2"	6	" 95400.731"	
"3s2.3p4.(3P).5p"	"2S*"	"1/2"	2	" 95534.923"	
"3s2.3p4.(3P).5p"	"4D*"	"1/2"	2	" 95597.593"	
"3s2.3p4.(3P).5p"	"4S*"	"3/2"	4	" 95612.357"	
"3s2.3p4.(3P<2>).4d"	"2[3]"	"7/2"	8	" 95700.874"	
"3s2.3p4.(3P).5p"	"2D*"	"3/2"	4	" 95706.534"	
"3s2.3p4.(3P<2>).4d"	"2[2]"	"5/2"	6	" 95786.752"	
"3s2.3p4.(3P<2>).4d"	"2[2]"	"3/2"	4	" 95897.565"	
"3s2.3p4.(3P<2>).4d"	"2[1]"	"1/2"	2	" 95995.561"	
"3s2.3p4.(3P).5p"	"2P*"	"3/2"	4	" 96313.330"	
"3s2.3p4.(1D).4p"	"2D*"	"5/2"	6	" 96482.889"	
"3s2.3p4.(1D).4p"	"2D*"	"3/2"	4	" 96486.198"	
"3s2.3p4.(3P<2>).4d"	"2[4]"	"9/2"	10	" 96494.722"	
"3s2.3p4.(3P).5p"	"2P*"	"1/2"	2	" 96594.096"	
"3s2.3p4.(3P<2>).4d"	"2[4]"	"7/2"	8	" 96731.172"	
"3s2.3p4.(3P<2>).4d"	"2[0]"	"1/2"	2	" 96930.181"	
"3s2.3p4.(3P<2>).4d"	"2[3]"	"5/2"	6	" 96945.536"	
"3s2.3p4.(3P<2>).4d"	"2[1]"	"3/2"	4	" 97004.081"	
"3s2.3p4.(3P<1>).4d"	"2[1]"	"1/2"	2	" 97149.323"	
"3s2.3p4.(3P<1>).4d"	"2[3]"	"7/2"	8	" 97184.277"	
"3s2.3p4.(3P<2>).6s"	"2[2]"	"5/2"	6	" 97237.723"	
"3s2.3p4.(3P<1>).4d"	"2[1]"	"3/2"	4	" 97259.811"	
"3s2.3p4.(3P<1>).4d"	"2[3]"	"5/2"	6	" 97338.887"	
"3s2.3p4.(3P<1>).4d"	"2[2]"	"3/2"	4	" 97354.057"	
"3s2.3p4.(3P<2>).6s"	"2[2]"	"3/2"	4	" 97480.664"	
"3s2.3p4.(3P<1>).4d"	"2[2]"	"5/2"	6	" 97534.130"	
"3s2.3p4.(3P<2>).4f"	"2[4]*"	"9/2"	10	" 97666.650"	
"3s2.3p4.(3P<2>).4f"	"2[4]*"	"7/2"	8	" 97667.396"	
"3s2.3p4.(3P<2>).4f"	"2[3]*"	"7/2"	8	" 97674.092"	
"3s2.3p4.(3P<2>).4f"	"2[3]*"	"5/2"	6	" 97674.33"	
"3s2.3p4.(3P<2>).4f"	"2[2]*"	"3/2"	4	" 97703.64"	
"3s2.3p4.(3P<2>).4f"	"2[2]*"	"5/2"	6	" 97703.941"	
"3s2.3p4.(3P<2>).4f"	"2[5]*"	"11/2"	12	" 97712.63"	
"3s2.3p4.(3P<2>).4f"	"2[5]*"	"9/2"	10	" 97712.66"	
"3s2.3p4.(3P<2>).4f"	"2[1]*"	"1/2"	2	" 97739.04"	
"3s2.3p4.(3P<2>).4f"	"2[1]*"	"3/2"	4	" 97739.32"	
"3s2.3p4.(3P<0>).4d"	"2[2]"	"5/2"	6	" 97807.723"	
"3s2.3p4.(3P<0>).4d"	"2[2]"	"3/2"	4	" 97842.783"	
"3s2.3p4.(3P<1>).6s"	"2[1]"	"3/2"	4	" 98044.980"	
"3s2.3p4.(3P<1>).6s"	"2[1]"	"1/2"	2	" 98100.340"	
"3s2.3p4.(3P<1>).4f"	"2[2]*"	"3/2"	4	" 98372.97"	
"3s2.3p4.(3P<1>).4f"	"2[2]*"	"5/2"	6	" 98373.43"	
"3s2.3p4.(3P<1>).4f"	"2[4]*"	"9/2"	10	" 98383.43"	
"3s2.3p4.(3P<1>).4f"	"2[4]*"	"7/2"	8	" 98383.72"	
"3s2.3p4.(3P<0>).6s"	"2[0]"	"1/2"	2	" 98390.74"	
"3s2.3p4.(3P<1>).4f"	"2[3]*"	"7/2"	8	" 98418.89"	
"3s2.3p4.(3P<1>).4f"	"2[3]*"	"5/2"	6	" 98419.10"	
"3s2.3p4.(3P<2>).6p"	"2[2]*"	"5/2"	6	" 98683.87"	
"3s2.3p4.(3P<0>).4f"	"2[3]*"	"7/2"	8	" 98693.013"	
"3s2.3p4.(3P<0>).4f"	"2[3]*"	"5/2"	6	" 98693.22"	
"3s2.3p4.(3P<2>).6p"	"2[1]*"	"3/2"	4	" 98778.39"	
"3s2.3p4.(3P<2>).6p"	"2[3]*"	"7/2"	8	" 98785.32"	
"3s2.3p4.(3P<2>).6p"	"2[3]*"	"5/2"	6	" 98833.20"	
"3s2.3p4.(3P<2>).6p"	"2[1]*"	"1/2"	2	" 98915.47"	
"3s2.3p4.(3P<2>).6p"	"2[2]*"	"3/2"	4	" 99019.44"	
"3s2.3p4.(3P<2>).5d"	"2[3]"	"7/2"	8	" 99200.382"	
"3s2.3p4.(3P<2>).5d"	"2[2]"	"5/2"	6	" 99269.121"	
"3s2.3p4.(3P<2>).5d"	"2[2]"	"3/2"	4	" 99354.670"	
"3s2.3p4.(3P<2>).5d"	"2[1]"	"1/2"	2	" 99407.907"	
"3s2.3p4.(3P<1>).6p"	"2[0]*"	"1/2"	2	" 99436.08"	
