Configuration	Term	J	g	Level (cm-1)
"3s2.3p4"	"3P"	"2"	5	" 0.00"	
"3s2.3p4"	"3P"	"1"	3	" 696.00"	
"3s2.3p4"	"3P"	"0"	1	" 996.47"	
"3s2.3p4"	"1D"	"2"	5	" 11653.58"	
"3s2.3p4"	"1S"	"0"	1	" 27878.02"	
"3s.3p5"	"3P*"	"2"	5	" 93367.56"	
"3s.3p5"	"3P*"	"1"	3	" 93999.88"	
"3s.3p5"	"3P*"	"0"	1	" 94333.84"	
"3s2.3p3.(4S*).4s"	"5S*"	"2"	5	" 107879.66"	
"3s2.3p3.(4S*).3d"	"5D*"	"4"	9	" 110296.84"	
"3s2.3p3.(4S*).3d"	"5D*"	"3"	7	" 110297.72"	
"3s2.3p3.(4S*).3d"	"5D*"	"2"	5	" 110300.56"	
"3s2.3p3.(4S*).3d"	"5D*"	"1"	3	" 110303.12"	
"3s2.3p3.(4S*).3d"	"5D*"	"0"	1	" 110304.52"	
"3s2.3p3.(4S*).4s"	"3S*"	"1"	3	" 112609.36"	
"3s2.3p3.(2D*).3d"	"1P*"	"1"	3	" 115657.77"	
"3s2.3p3.(4S*).3d"	"3D*"	"2"	5	" 119800.32"	
"3s2.3p3.(4S*).3d"	"3D*"	"3"	7	" 119811.22"	
"3s2.3p3.(4S*).3d"	"3D*"	"1"	3	" 119843.31"	
"3s2.3p3.(2D*).3d"	"1S*"	"0"	1	" 125245.89"	
"3s2.3p3.(2D*).3d"	"3F*"	"2"	5	" 126033.54"	
"3s2.3p3.(2D*).3d"	"3F*"	"3"	7	" 126220.74"	
"3s2.3p3.(2D*).3d"	"3F*"	"4"	9	" 126458.10"	
"3s2.3p3.(2D*).4s"	"3D*"	"1"	3	" 126726.70"	
"3s2.3p3.(2D*).4s"	"3D*"	"2"	5	" 126744.97"	
"3s2.3p3.(2D*).4s"	"3D*"	"3"	7	" 126784.37"	
"3s2.3p3.(4S*).4p"	"5P"	"1"	3	" 128622.99"	
"3s2.3p3.(4S*).4p"	"5P"	"2"	5	" 128663.57"	
"3s2.3p3.(4S*).4p"	"5P"	"3"	7	" 128730.82"	
"3s2.3p3.(2D*).4s"	"1D*"	"2"	5	" 129066.96"	
"3s2.3p3.(4S*).4p"	"3P"	"1"	3	" 131756.12"	
