Configuration	Term	J	g	Level (cm-1)
"3p6.3d7.4s2"	"a 4F"	"9/2"	10	" 0.00"	
"3p6.3d7.4s2"	"a 4F"	"7/2"	8	" 816.00"	
"3p6.3d7.4s2"	"a 4F"	"5/2"	6	" 1406.84"	
"3p6.3d7.4s2"	"a 4F"	"3/2"	4	" 1809.33"	
"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	10	" 3482.82"	
"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	8	" 4142.66"	
"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	6	" 4690.18"	
"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	4	" 5075.83"	
"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	8	" 7442.41"	
"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	6	" 8460.81"	
"3p6.3d7.4s2"	"a 4P"	"5/2"	6	" 13795.52"	
"3p6.3d7.4s2"	"a 4P"	"3/2"	4	" 14036.28"	
"3p6.3d7.4s2"	"a 4P"	"1/2"	2	" 14399.28"	
"3p6.3d8.(3P).4s"	"b 4P"	"5/2"	6	" 15184.04"	
"3p6.3d8.(3P).4s"	"b 4P"	"3/2"	4	" 15774.04"	
"3p6.3d8.(3P).4s"	"b 4P"	"1/2"	2	" 16195.68"	
"3p6.3d7.4s2"	"a 2G"	"9/2"	10	" 16467.90"	
"3p6.3d8.(1D).4s"	"a 2D"	"3/2"	4	" 16470.60"	
"3p6.3d8.(1D).4s"	"a 2D"	"5/2"	6	" 16778.16"	
"3p6.3d7.4s2"	"a 2G"	"7/2"	8	" 17233.68"	
"3p6.3d8.(3P).4s"	"a 2P"	"3/2"	4	" 18389.57"	
"3p6.3d8.(3P).4s"	"a 2P"	"1/2"	2	" 18775.01"	
"3p6.3d7.4s2"	"b 2P"	"3/2"	4	" 20500.71"	
"3p6.3d7.4s2"	"b 2P"	"1/2"	2	" 21215.90"	
"3p6.3d7.4s2"	"a 2H"	"11/2"	12	" 21780.47"	
"3p6.3d7.4s2"	"b 2D"	"5/2"	6	" 21920.09"	
"3p6.3d7.4s2"	"a 2H"	"9/2"	10	" 22475.36"	
"3p6.3d7.4s2"	"b 2D"	"3/2"	4	" 23152.57"	
"3p6.3d8.(1G).4s"	"b 2G"	"9/2"	10	" 23184.23"	
"3p6.3d8.(1G).4s"	"b 2G"	"7/2"	8	" 23207.76"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"11/2"	12	" 23611.78"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"9/2"	10	" 23855.62"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"7/2"	8	" 24326.11"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6D*"	"9/2"	10	" 24627.79"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"5/2"	6	" 24733.28"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"3/2"	4	" 25041.16"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6G*"	"13/2"	14	" 25138.88"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"1/2"	2	" 25232.79"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6D*"	"7/2"	8	" 25269.25"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6G*"	"11/2"	12	" 25568.68"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6D*"	"5/2"	6	" 25739.93"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6G*"	"9/2"	10	" 25937.59"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6D*"	"3/2"	4	" 26063.11"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6G*"	"7/2"	8	" 26232.05"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6D*"	"1/2"	2	" 26250.49"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6G*"	"5/2"	6	" 26450.02"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6G*"	"3/2"	4	" 26597.64"	
"3p6.3d9"	"c 2D"	"5/2"	6	" 27497.06"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"9/2"	10	" 28345.86"	
"3p6.3d9"	"c 2D"	"3/2"	4	" 28470.51"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"7/2"	8	" 28777.27"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"11/2"	12	" 28845.22"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"5/2"	6	" 29216.37"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"9/2"	10	" 29269.73"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"7/2"	8	" 29294.52"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"3/2"	4	" 29563.17"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"7/2"	8	" 29735.18"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"5/2"	6	" 29948.76"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"5/2"	6	" 30102.96"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"3/2"	4	" 30443.63"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"1/2"	2	" 30742.65"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"9/2"	10	" 31699.69"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"7/2"	8	" 31871.15"	
"3p6.3d8.(3F).4p"	"y 4D*"	"7/2"	8	" 32027.50"	
"3p6.3d8.(3F).4p"	"y 4G*"	"11/2"	12	" 32430.59"	
"3p6.3d8.(3F).4p"	"y 4G*"	"9/2"	10	" 32464.73"	
"3p6.3d8.(3F).4p"	"y 4D*"	"5/2"	6	" 32654.50"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"7/2"	8	" 32733.07"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"5/2"	6	" 32781.71"	
"3p6.3d8.(3F).4p"	"y 4F*"	"9/2"	10	" 32841.99"	
"3p6.3d8.(3F).4p"	"y 4D*"	"3/2"	4	" 33150.68"	
"3p6.3d8.(3F).4p"	"*"	"7/2"	8	" 33173.36"	
"3p6.3d8.(3F).4p"	"y 2G*"	"9/2"	10	" 33439.72"	
"3p6.3d8.(3F).4p"	"y 4D*"	"1/2"	2	" 33449.18"	
"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"5/2"	6	" 33462.83"	
"3p6.3d8.(3F).4p"	"*"	"7/2"	8	" 33466.87"	
"3p6.3d8.(3F).4p"	"y 4G*"	"5/2"	6	" 33674.38"	
"3p6.3d8.(3F).4p"	"*"	"5/2"	6	" 33945.90"	
