Configuration	Term	J	g	Level (cm-1)
"3d8"	"a 3F"	"4"	9	" 0.000"	
"3d8"	"a 3F"	"3"	7	" 950.324"	
"3d8"	"a 3F"	"2"	5	" 1597.197"	
"3d7.(4F).4s"	"a 5F"	"5"	11	" 3350.494"	
"3d7.(4F).4s"	"a 5F"	"4"	9	" 4028.988"	
"3d7.(4F).4s"	"a 5F"	"3"	7	" 4560.789"	
"3d7.(4F).4s"	"a 5F"	"2"	5	" 4950.062"	
"3d7.(4F).4s"	"a 5F"	"1"	3	" 5204.698"	
"3d7.(4F).4s"	"b 3F"	"4"	9	" 9812.860"	
"3d7.(4F).4s"	"b 3F"	"3"	7	" 10708.331"	
"3d7.(4F).4s"	"b 3F"	"2"	5	" 11321.860"	
"3d8"	"a 1D"	"2"	5	" 11651.277"	
"3d8"	"a 3P"	"2"	5	" 13260.688"	
"3d8"	"a 3P"	"1"	3	" 13404.321"	
"3d8"	"a 3P"	"0"	1	" 13593.288"	
"3d7.(4P).4s"	"a 5P"	"3"	7	" 17771.507"	
"3d7.(4P).4s"	"a 5P"	"2"	5	" 18031.427"	
"3d7.(4P).4s"	"a 5P"	"1"	3	" 18338.640"	
"3d8"	"a 1G"	"4"	9	" 18973.727"	
"3d7.(2G).4s"	"a 3G"	"5"	11	" 21624.528"	
"3d7.(2G).4s"	"a 3G"	"4"	9	" 22009.344"	
"3d7.(2G).4s"	"a 3G"	"3"	7	" 22414.431"	
"3d7.(4P).4s"	"b 3P"	"2"	5	" 24074.420"	
"3d7.(4P).4s"	"b 3P"	"1"	3	" 24267.382"	
"3d7.(4P).4s"	"b 3P"	"0"	1	" 24411.479"	
"3d7.(2P).4s"	"c 3P"	"2"	5	" 24886.400"	
"3d7.(2G).4s"	"b 1G"	"4"	9	" 25147.233"	
"3d7.(2P).4s"	"c 3P"	"1"	3	" 25317.517"	
"3d7.(2P).4s"	"c 3P"	"0"	1	" 25861.322"	
"3d7.(2H).4s"	"a 3H"	"6"	13	" 27105.744"	
"3d7.(2H).4s"	"a 3H"	"5"	11	" 27468.988"	
"3d7.(2D2).4s"	"a 3D"	"3"	7	" 27484.373"	
"3d7.(2P).4s"	"a 1P"	"1"	3	" 27585.138"	
"3d7.(2H).4s"	"a 3H"	"4"	9	" 27902.161"	
"3d7.(2D2).4s"	"a 3D"	"2"	5	" 28111.872"	
"3d7.(2D2).4s"	"a 3D"	"1"	3	" 29268.777"	
"3d7.(2H).4s"	"a 1H"	"5"	11	" 30567.173"	
"3d7.(2D2).4s"	"b 1D"	"2"	5	" 31199.412"	
"3d6.4s2"	"a 5D"	"4"	9	" 40695.028"	
"3d7.(2F).4s"	"c 3F"	"2"	5	" 40771.078"	
"3d7.(2F).4s"	"c 3F"	"3"	7	" 40879.567"	
"3d7.(2F).4s"	"c 3F"	"4"	9	" 41047.299"	
"3d6.4s2"	"a 5D"	"3"	7	" 41314.150"	
"3d6.4s2"	"a 5D"	"2"	5	" 41738.15"	
"3d6.4s2"	"a 5D"	"1"	3	" 42008.63"	
"3d6.4s2"	"a 5D"	"0"	1	"[42134]"	
"3d8"	"a 1S"	"0"	1	"[43000]"	
"3d7.(2F).4s"	"a 1F"	"3"	7	" 44090.77"	
"3d7.(4F).4p"	"z 5F*"	"5"	11	" 45197.711"	
"3d7.(4F).4p"	"z 5F*"	"4"	9	" 45378.754"	
"3d7.(4F).4p"	"z 5F*"	"3"	7	" 45972.036"	
"3d7.(4F).4p"	"z 5D*"	"4"	9	" 46320.832"	
"3d7.(4F).4p"	"z 5F*"	"2"	5	" 46452.700"	
"3d7.(4F).4p"	"z 5F*"	"1"	3	" 46786.409"	
"3d7.(4F).4p"	"z 5D*"	"3"	7	" 47039.105"	
"3d7.(4F).4p"	"z 5G*"	"6"	13	" 47078.494"	
"3d7.(4F).4p"	"z 5G*"	"5"	11	" 47345.845"	
"3d7.(4F).4p"	"z 5D*"	"2"	5	" 47537.365"	
"3d7.(4F).4p"	"z 5G*"	"4"	9	" 47807.493"	
