Configuration	Term	J	g	Level (cm-1)
"3d7"	"a 4F"	"9/2"	10	" 0.00"	
"3d7"	"a 4F"	"7/2"	8	" 841.36"	
"3d7"	"a 4F"	"5/2"	6	" 1451.33"	
"3d7"	"a 4F"	"3/2"	4	" 1867.50"	
"3d7"	"a 4P"	"5/2"	6	" 15202.56"	
"3d7"	"a 4P"	"3/2"	4	" 15428.57"	
"3d7"	"a 4P"	"1/2"	2	" 15812.37"	
"3d7"	"a 2G"	"9/2"	10	" 16979.56"	
"3d7"	"a 2G"	"7/2"	8	" 17768.87"	
"3d7"	"a 2P"	"3/2"	4	" 20197.35"	
"3d7"	"a 2P"	"1/2"	2	" 20921.30"	
"3d7"	"a 2H"	"11/2"	12	" 22721.42"	
"3d7"	"a 2D2"	"5/2"	6	" 23060.95"	
"3d7"	"a 2H"	"9/2"	10	" 23435.93"	
"3d7"	"a 2D2"	"3/2"	4	" 24238.81"	
"3d7"	"a 2F"	"5/2"	6	" 37022.42"	
"3d7"	"a 2F"	"7/2"	8	" 37317.85"	
"3d6.(5D).4s"	"a 6D"	"9/2"	10	" 46438.883"	
"3d6.(5D).4s"	"a 6D"	"7/2"	8	" 47003.724"	
"3d6.(5D).4s"	"a 6D"	"5/2"	6	" 47416.016"	
"3d6.(5D).4s"	"a 6D"	"3/2"	4	" 47699.261"	
"3d6.(5D).4s"	"a 6D"	"1/2"	2	" 47865.356"	
"3d6.(5D).4s"	"a 4D"	"7/2"	8	" 55729.463"	
"3d6.(5D).4s"	"a 4D"	"5/2"	6	" 56373.944"	
"3d6.(5D).4s"	"a 4D"	"3/2"	4	" 56794.941"	
"3d6.(5D).4s"	"a 4D"	"1/2"	2	" 57037.093"	
"3d7"	"b 2D1"	"3/2"	4	" 57225.6"	
"3d7"	"b 2D1"	"5/2"	6	" 57699.0"	
"3d6.(3P2).4s"	"b 4P"	"5/2"	6	" 70935.243"	
"3d6.(3H).4s"	"a 4H"	"13/2"	14	" 71624.293"	
"3d6.(3H).4s"	"a 4H"	"11/2"	12	" 71875.0920"	
"3d6.(3H).4s"	"a 4H"	"9/2"	10	" 72084.644"	
"3d6.(3H).4s"	"a 4H"	"7/2"	8	" 72271.872"	
"3d6.(3P2).4s"	"b 4P"	"3/2"	4	" 72343.066"	
"3d6.(3P2).4s"	"b 4P"	"1/2"	2	" 73216.056"	
"3d6.(3F2).4s"	"b 4F"	"9/2"	10	" 73287.242"	
"3d6.(3F2).4s"	"b 4F"	"7/2"	8	" 73541.580"	
"3d6.(3F2).4s"	"b 4F"	"5/2"	6	" 73727.954"	
"3d6.(3F2).4s"	"b 4F"	"3/2"	4	" 73863.028"	
"3d6.(3G).4s"	"a 4G"	"11/2"	12	" 76520.408"	
"3d6.(3P2).4s"	"b 2P"	"3/2"	4	" 76792.604"	
"3d6.(3G).4s"	"a 4G"	"9/2"	10	" 77122.520"	
"3d6.(3G).4s"	"a 4G"	"7/2"	8	" 77384.2947"	
"3d6.(3H).4s"	"b 2H"	"11/2"	12	" 77412.954"	
"3d6.(3G).4s"	"a 4G"	"5/2"	6	" 77473.535"	
"3d6.(3H).4s"	"b 2H"	"9/2"	10	" 77624.280"	
"3d6.(3P2).4s"	"b 2P"	"1/2"	2	" 78435.621"	
"3d6.(3F2).4s"	"b 2F"	"7/2"	8	" 78928.889"	
"3d6.(3F2).4s"	"b 2F"	"5/2"	6	" 79426.563"	
"3d6.(3G).4s"	"b 2G"	"9/2"	10	" 82364.601"	
"3d6.(3G).4s"	"b 2G"	"7/2"	8	" 82921.847"	
"3d6.(3D).4s"	"b 4D"	"3/2"	4	" 83775.456"	
"3d6.(3D).4s"	"b 4D"	"1/2"	2	" 83791.34"	
"3d6.(3D).4s"	"b 4D"	"5/2"	6	" 83801.320"	
"3d6.(3D).4s"	"b 4D"	"7/2"	8	" 83940.274"	
"3d6.(1I).4s"	"a 2I"	"13/2"	14	" 85475.591"	
"3d6.(1I).4s"	"a 2I"	"11/2"	12	" 85518.751"	
"3d6.(1G2).4s"	"c 2G"	"9/2"	10	" 86285.104"	
"3d6.(1G2).4s"	"c 2G"	"7/2"	8	" 86328.378"	
"3d6.(3D).4s"	"c 2D"	"3/2"	4	" 89288.021"	
"3d6.(3D).4s"	"c 2D"	"5/2"	6	" 89517.135"	
"3d6.(1S2).4s"	"a 2S"	"1/2"	2	" 90913.89"	
"3d6.(1D2).4s"	"d 2D"	"5/2"	6	" 91716.45"	
"3d6.(1D2).4s"	"d 2D"	"3/2"	4	" 91815.362"	
"3d6.(5D).4p"	"z 6D*"	"9/2"	10	" 98290.749"	
"3d6.(5D).4p"	"z 6D*"	"7/2"	8	" 98546.132"	
"3d6.(5D).4p"	"z 6D*"	"5/2"	6	" 98823.641"	
"3d6.(5D).4p"	"z 6D*"	"3/2"	4	" 99043.919"	
"3d6.(5D).4p"	"z 6D*"	"1/2"	2	" 99182.770"	
"3d6.(1F).4s"	"c 2F"	"7/2"	8	" 99636.25"	
"3d6.(1F).4s"	"c 2F"	"5/2"	6	" 99642.24"	
"3d6.(5D).4p"	"z 6F*"	"11/2"	12	" 103245.694"	
"3d6.(5D).4p"	"z 6F*"	"9/2"	10	" 103387.331"	
