Configuration	Term	J	g	Level (cm-1)
"3d4"	"5D"	"0"	1	" 0.00"	
"3d4"	"5D"	"1"	3	" 62.22"	
"3d4"	"5D"	"2"	5	" 183.16"	
"3d4"	"5D"	"3"	7	" 356.55"	
"3d4"	"5D"	"4"	9	" 576.08"	
"3d4"	"3P2"	"0"	1	" 16771.36"	
"3d4"	"3P2"	"1"	3	" 17168.56"	
"3d4"	"3H"	"4"	9	" 17273.70"	
"3d4"	"3H"	"5"	11	" 17396.92"	
"3d4"	"3H"	"6"	13	" 17530.65"	
"3d4"	"3P2"	"2"	5	" 17851.18"	
"3d4"	"3F2"	"2"	5	" 18451.84"	
"3d4"	"3F2"	"3"	7	" 18511.18"	
"3d4"	"3F2"	"4"	9	" 18583.39"	
"3d4"	"3G"	"3"	7	" 20703.64"	
"3d4"	"3G"	"4"	9	" 20852.95"	
"3d4"	"3G"	"5"	11	" 20996.04"	
"3d4"	"1G2"	"4"	9	" 25138.87"	
"3d4"	"3D"	"3"	7	" 25726.44"	
"3d4"	"3D"	"2"	5	" 25780.94"	
"3d4"	"3D"	"1"	3	" 25848.31"	
"3d4"	"1I"	"6"	13	" 26014.89"	
"3d4"	"1S2"	"0"	1	" 27372.32"	
"3d4"	"1D2"	"2"	5	" 32151.99"	
"3d4"	"1F"	"3"	7	" 37005.16"	
"3d4"	"3F1"	"4"	9	" 43286.71"	
"3d4"	"3F1"	"2"	5	" 43304.53"	
"3d4"	"3F1"	"3"	7	" 43322.17"	
"3d4"	"3P1"	"2"	5	" 43441.99"	
"3d4"	"3P1"	"1"	3	" 43916.59"	
"3d4"	"3P1"	"0"	1	" 44141.36"	
"3d3.(4F).4s"	"5F"	"1"	3	" 49492.46"	
"3d3.(4F).4s"	"5F"	"2"	5	" 49628.25"	
"3d4"	"1G1"	"4"	9	" 49768.65"	
"3d3.(4F).4s"	"5F"	"3"	7	" 49828.91"	
"3d3.(4F).4s"	"5F"	"4"	9	" 50091.17"	
"3d3.(4F).4s"	"5F"	"5"	11	" 50410.06"	
"3d3.(4F).4s"	"3F"	"2"	5	" 56651.37"	
"3d3.(4F).4s"	"3F"	"3"	7	" 56993.08"	
"3d3.(4F).4s"	"3F"	"4"	9	" 57423.40"	
"3d3.(4P).4s"	"5P"	"1"	3	" 63045.74"	
"3d3.(4P).4s"	"5P"	"2"	5	" 63174.30"	
"3d3.(4P).4s"	"5P"	"3"	7	" 63421.92"	
"3d4"	"1D1"	"2"	5	" 65763.21"	
"3d3.(2G).4s"	"3G"	"3"	7	" 65892.38"	
"3d3.(2G).4s"	"3G"	"4"	9	" 66030.01"	
"3d3.(2G).4s"	"3G"	"5"	11	" 66225.09"	
"3d3.(4P).4s"	"3P"	"0"	1	" 69601.50"	
"3d3.(2G).4s"	"1G"	"4"	9	" 69659.74"	
"3d3.(4P).4s"	"3P"	"1"	3	" 69781.89"	
"3d3.(2P).4s"	"3P"	"2"	5	" 70191.01"	
"3d3.(4P).4s"	"3P"	"2"	5	" 70292.86"	
"3d3.(2P).4s"	"3P"	"1"	3	" 70345.56"	
"3d3.(2P).4s"	"3P"	"0"	1	" 70487.01"	
"3d3.(2D2).4s"	"3D"	"1"	3	" 70981.26"	
"3d3.(2D2).4s"	"3D"	"3"	7	" 71323.06"	
"3d3.(2D2).4s"	"3D"	"2"	5	" 71323.27"	
"3d3.(2H).4s"	"3H"	"4"	9	" 71677.19"	
"3d3.(2H).4s"	"3H"	"5"	11	" 71737.56"	
"3d3.(2H).4s"	"3H"	"6"	13	" 71870.17"	
"3d3.(2P).4s"	"1P"	"1"	3	" 73881.54"	
"3d3.(2D2).4s"	"1D"	"2"	5	" 74788.88"	
"3d3.(2H).4s"	"1H"	"5"	11	" 75351.63"	
"3d3.(2F).4s"	"3F"	"4"	9	" 84374.12"	
"3d3.(2F).4s"	"3F"	"3"	7	" 84484.76"	
"3d3.(2F).4s"	"3F"	"2"	5	" 84572.53"	
"3d3.(2F).4s"	"1F"	"3"	7	" 87770.68"	
"3d3.(4F).4p"	"5G*"	"2"	5	" 93766.21"	
"3d3.(4F).4p"	"5G*"	"3"	7	" 94029.99"	
"3d3.(4F).4p"	"5G*"	"4"	9	" 94376.29"	
"3d3.(4F).4p"	"5G*"	"5"	11	" 94801.70"	
