Configuration	Term	J	g	Level (cm-1)
"5p6"	"1S"	"0"	1	" 0.0"	
"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	5	" 107401.5602"	
"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	1	" 107572.0610"	
"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	3	" 107914.1587"	
"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	3	" 110954.3607"	
"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	9	" 112245.5424"	
"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	5	" 112804.3010"	
"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	7	" 113725.7641"	
"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	5	" 115675.5328"	
"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	7	" 118274.5796"	
"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"0"	1	" 122374.8156"	
"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	3	" 122875.4487"	
"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"1"	3	" 123645.5813"	
"5p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	3	" 126527.5324"	
"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"	5	" 126697.9076"	
"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	5	" 128098.9117"	
"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"2"	5	" 128320.1051"	
"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	7	" 129116.7070"	
"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"3"	7	" 129420.3739"	
"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	3	" 129998.9106"	
"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	5	" 130775.1451"	
"5p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	1	" 133162.6932"	
"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"1"	3	" 139248.8879"	
"5p5.(2P*<1/2>).6p"	"2[3/2]"	"1"	3	" 141564.8730"	
