Configuration	Term	J	g	Level (cm-1)
"3p6.3d7"	"4F"	"9/2"	10	" 0.0"	
"3p6.3d7"	"4F"	"7/2"	8	" 1615.9"	
"3p6.3d7"	"4F"	"5/2"	6	" 2759.3"	
"3p6.3d7"	"4F"	"3/2"	4	" 3528.1"	
"3p6.3d7"	"4P"	"5/2"	6	" 20826.8"	
"3p6.3d7"	"4P"	"3/2"	4	" 21065.9"	
"3p6.3d7"	"4P"	"1/2"	2	" 21935.1"	
"3p6.3d7"	"2G"	"9/2"	10	" 22575.3"	
"3p6.3d7"	"2G"	"7/2"	8	" 24099.8"	
"3p6.3d7"	"2P"	"3/2"	4	" 27015.9"	
"3p6.3d7"	"2P"	"1/2"	2	" 28366.6"	
"3p6.3d7"	"2H"	"11/2"	12	" 30401.7"	
"3p6.3d7"	"2D2"	"5/2"	6	" 30966.0"	
"3p6.3d7"	"2H"	"9/2"	10	" 31823.4"	
"3p6.3d7"	"2D2"	"3/2"	4	" 33292.4"	
"3p6.3d7"	"2F"	"5/2"	6	" 49490.0"	
"3p6.3d7"	"2F"	"7/2"	8	" 50071.9"	
"3p6.3d7"	"2D1"	"3/2"	4	" 76838.2"	
"3p6.3d7"	"2D1"	"5/2"	6	" 77668.0"	
"3d6.(5D).4s"	"6D"	"9/2"	10	" 187779.4"	
"3d6.(5D).4s"	"6D"	"7/2"	8	" 188832.7"	
"3d6.(5D).4s"	"6D"	"5/2"	6	" 189586.9"	
"3d6.(5D).4s"	"6D"	"3/2"	4	" 190100.3"	
"3d6.(5D).4s"	"6D"	"1/2"	2	" 190400.3"	
"3d6.(5D).4s"	"4D"	"7/2"	8	" 199441.3"	
"3d6.(5D).4s"	"4D"	"5/2"	6	" 200648.2"	
"3d6.(5D).4s"	"4D"	"3/2"	4	" 201412.8"	
"3d6.(5D).4s"	"4D"	"1/2"	2	" 201849.7"	
"3d6.(3P2).4s"	"4P"	"5/2"	6	" 219203.4"	
"3d6.(3H).4s"	"4H"	"13/2"	14	" 220207.8"	
"3d6.(3H).4s"	"4H"	"11/2"	12	" 220622.8"	
"3d6.(3H).4s"	"4H"	"9/2"	10	" 220938.1"	
"3d6.(3H).4s"	"4H"	"7/2"	8	" 221271.9"	
"3d6.(3P2).4s"	"4P"	"3/2"	4	" 221664.1"	
"3d6.(3F2).4s"	"4F"	"9/2"	10	" 222401.3"	
"3d6.(3F2).4s"	"4F"	"7/2"	8	" 222885.7"	
"3d6.(3F2).4s"	"4F"	"5/2"	6	" 223214.2"	
"3d6.(3P2).4s"	"4P"	"1/2"	2	" 223375.5"	
"3d6.(3F2).4s"	"4F"	"3/2"	4	" 223476.5"	
