Configuration	Term	J	g	Level (cm-1)
"4f10.6s2"	"5I"	"8"	17	" 0.000"	
"4f10.6s2"	"5I"	"7"	15	" 4134.222"	
"4f10.6s2"	"5I"	"6"	13	" 7050.603"	
"4f9.(6H*).5d.6s2"	"7H*"	"8"	17	" 7565.610"	
"4f9.(6H*).5d.6s2"	"7H*"	"7"	15	" 8519.210"	
"4f10.6s2"	"5I"	"5"	11	" 9211.591"	
"4f9.(6H*).5d.6s2"	"7I*"	"9"	19	" 9990.974"	
"4f9.(6H*).5d.6s2"	"7H*"	"6"	13	" 10088.802"	
"4f10.6s2"	"5I"	"4"	9	" 10925.277"	
"4f9.(6H*).5d.6s2"	"7F*"	"6"	13	" 11673.49"	
"4f9.(6H*).5d.6s2"	"7I*"	"8"	17	" 12007.121"	
"4f9.(6H*).5d.6s2"	"7H*"	"5"	11	" 12298.551"	
"4f9.(6H*).5d.6s2"	"7G*"	"7"	15	" 12655.13"	
"4f9.(6H*).5d.6s2"	"7K*"	"10"	21	" 12892.76"	
"4f9.(6H*).5d.6s2"	"5K*"	"9"	19	" 13495.932"	
"4f9.(6H*).5d.6s2"	"7H*"	"4"	9	" 13952.001"	
"4f9.(6H*).5d.6s2"	"7F*"	"5"	11	" 14153.49"	
"4f9.(6H*).5d.6s2"	"7I*"	"7"	15	" 14367.806"	
"4f9.(6H*).5d.6s2"	"5I*"	"8"	17	" 14625.64"	
"4f9.(6H*).5d.6s2"	"7I*"	"6"	13	" 14970.701"	
"4f9.(6H*).5d.6s2"	"5H*"	"7"	15	" 15194.83"	
"4f9.(6H*).5d.6s2"	"7H*"	"3"	7	" 15254.936"	
"4f10.(5I<8>).6s.6p.(3P*<0>)"	"(8,0)*"	"8"	17	" 15567.38"	
"4f9.(6H*).5d.6s2"	"*"	"6"	13	" 15862.64"	
"4f10.(5I<8>).6s.6p.(3P*<1>)"	"(8,1)*"	"9"	19	" 15972.35"	
"4f9.(6F*).5d.6s2"	"7P*"	"4"	9	" 16069.98"	
"4f9.(6H*).5d.6s2"	"7K*"	"8"	17	" 16288.73"	
"4f9.(6F*).5d.6s2"	"*"	"4"	9	" 16412.80"	
"4f9.(6H*).5d.6s2"	"*"	"6"	13	" 16591.38"	
"4f9.(6H*).5d.6s2"	"7I*"	"5"	11	" 16684.731"	
"4f10.(5I<8>).6s.6p.(3P*<1>)"	"(8,1)*"	"7"	15	" 16693.87"	
"4f9.(6H*).5d.6s2"	"7K*"	"9"	19	" 16717.79"	
"4f10.(5I<8>).6s.6p.(3P*<1>)"	"(8,1)*"	"8"	17	" 16733.20"	
"4f9.(6F*).5d.6s2"	"*"	"5"	11	" 17502.89"	
"4f10.(5I<8>).6s.6p.(3P*<2>)"	"(8,2)*"	"10"	21	" 17513.33"	
"4f10.(5I<8>).5d.6s.(3D)"	"3[8]"	"9"	19	" 17514.50"	
"4f10.(5I<8>).5d.6s.(3D)"	"3[7]"	"8"	17	" 17613.36"	
"4f9.(6H*).5d.6s2"	"7K*"	"7"	15	" 17687.90"	
"4f10.(5I<8>).6s.6p.(3P*<2>)"	"(8,2)*"	"9"	19	" 17727.15"	
"4f9.(6H*).5d.6s2"	"5F*"	"5"	11	" 17804.24"	
"4f10.(5I<8>).6s.6p.(3P*<2>)"	"(8,2)*"	"8"	17	" 18021.89"	
"4f10.(5I<8>).5d.6s.(3D)"	"3[6]"	"7"	15	" 18094.52"	
"4f9.(6H*).5d.6s2"	"*"	"6"	13	" 18172.87"	
"4f9.(6H*).5d.6s2"	"5I*"	"7"	15	" 18339.80&dagger;"	
"4f10.(5I<8>).6s.6p.(3P*<2>)"	"(8,2)*"	"7"	15	" 18433.76&dagger;"	
"4f10.(5I<8>).5d.6s.(3D)"	"3[9]"	"10"	21	" 18462.65"	
"4f9.(6H*).5d2.(3F) (8G*).6s"	"9G*"	"8"	17	" 18472.71"	
"4f9.(6H*).5d2.(3F) (8G*).6s"	"*"	"7"	15	" 18528.55"	
"4f9.(6F*).5d.6s2"	"*"	"6"	13	" 18561.20"	
"4f10.(5I<8>).6s.6p.(3P*<2>)"	"(8,2)*"	"6"	13	" 18711.93"	
"4f9.(6F*).5d.6s2"	"*"	"7"	15	" 18857.04"	
"4f10.(5I<8>).5d.6s.(3D)"	"3[8]"	"8"	17	" 18903.21"	
