Configuration	Term	J	g	Level (cm-1)
"4f12.6s2"	"3H"	"6"	13	" 0.000"	
"4f12.6s2"	"3F"	"4"	9	" 5035.193"	
"4f12.6s2"	"3H"	"5"	11	" 6958.329"	
"4f11.(4I*<15/2>).5d<3/2>.6s2"	"(15/2,3/2)*"	"6"	13	" 7176.503"	
"4f11.(4I*<15/2>).5d<3/2>.6s2"	"(15/2,3/2)*"	"7"	15	" 7696.956"	
"4f11.(4I*<15/2>).5d<3/2>.6s2"	"(15/2,3/2)*"	"9"	19	" 8620.565"	
"4f11.(4I*<15/2>).5d<3/2>.6s2"	"(15/2,3/2)*"	"8"	17	" 9350.106"	
"4f11.(4I*<15/2>).5d<5/2>.6s2"	"(15/2,5/2)*"	"10"	21	" 9655.848"	
"4f11.(4I*<15/2>).5d<5/2>.6s2"	"(15/2,5/2)*"	"9"	19	" 10557.916"	
"4f12.6s2"	"3H"	"4"	9	" 10750.982"	
"4f11.(4I*<15/2>).5d<5/2>.6s2"	"(15/2,5/2)*"	"5"	11	" 11401.197"	
"4f11.(4I*<15/2>).5d<5/2>.6s2"	"(15/2,5/2)*"	"8"	17	" 11557.670"	
"4f11.(4I*<15/2>).5d<5/2>.6s2"	"(15/2,5/2)*"	"6"	13	" 11799.778"	
"4f11.(4I*<15/2>).5d<5/2>.6s2"	"(15/2,5/2)*"	"7"	15	" 11887.503"	
"4f12.6s2"	"3F"	"3"	7	" 12377.534"	
"4f12.6s2"	"3F"	"2"	5	" 13097.906"	
"4f11.(4I*<13/2>).5d<3/2>.6s2"	"(13/2,3/2)*"	"8"	17	" 15083.114"	
"4f11.(4I*<13/2>).5d<3/2>.6s2"	"(13/2,3/2)*"	"5"	11	" 15185.352"	
"4f11.(4I*<13/2>).5d<3/2>.6s2"	"(13/2,3/2)*"	"7"	15	" 15846.549"	
"4f11.(4I*<13/2>).5d<3/2>.6s2"	"(13/2,3/2)*"	"6"	13	" 16070.095"	
"4f12.(3H<6>).6s.6p.(3P*<0>)"	"(6,0)*"	"6"	13	" 16321.110"	
"4f11.(4I*<15/2>).6s2.6p<1/2>"	"(15/2,1/2)"	"7"	15	" 16464.934"	
"4f11.(4I*<13/2>).5d<5/2>.6s2"	"(13/2,5/2)*"	"4"	9	" 16472.783"	
"4f11.(4I*<13/2>).5d<5/2>.6s2"	"(13/2,5/2)*"	"9"	19	" 16501.416"	
"4f11.(4I*<15/2>).6s2.6p<1/2>"	"(15/2,1/2)"	"8"	17	" 16727.479"	
"4f11.(4I*<13/2>).5d<5/2>.6s2"	"(13/2,5/2)*"	"5"	11	" 17029.058"	
"4f12.(3H<6>).6s.6p.(3P*<1>)"	"(6,1)*"	"6"	13	" 17073.800"	
"4f12.(3H<6>).6s.6p.(3P*<1>)"	"(6,1)*"	"7"	15	" 17157.307"	
"4f11.(4I*<13/2>).5d<5/2>.6s2"	"(13/2,5/2)*"	"8"	17	" 17297.668"	
"4f12.(3H<6>).6s.6p.(3P*<1>)"	"(6,1)*"	"5"	11	" 17347.860"	
"4f11.(4I*<13/2>).5d<5/2>.6s2"	"(13/2,5/2)*"	"6"	13	" 17456.383"	
"4f11.(4I*<13/2>).5d<5/2>.6s2"	"(13/2,5/2)*"	"7"	15	" 17796.139"	
"4f12.(3H<6>).6s.6p.(3P*<2>)"	"(6,2)*"	"8"	17	" 18335.496"	
"4f11.(4I*<11/2>).5d<3/2>.6s2"	"(11/2,3/2)*"	"7"	15	" 18774.123"	
"4f12.(3H<6>).6s.6p.(3P*<2>)"	"(6,2)*"	"4"	9	" 18816.623"	
"4f11.(4I*<11/2>).5d<3/2>.6s2"	"(11/2,3/2)*"	"4"	9	" 19047.815"	
"4f12.(3H<6>).6s.6p.(3P*<2>)"	"(6,2)*"	"7"	15	" 19125.253"	
"4f12.(3H<6>).6s.6p.(3P*<2>)"	"(6,2)*"	"5"	11	" 19201.343"	
"4f11.(4I*<11/2>).5d<5/2>.6s2"	"(11/2,5/2)*"	"3"	7	" 19269.640"	
"4f12.(3H<6>).6s.6p.(3P*<2>)"	"(6,2)*"	"6"	13	" 19326.598"	
"4f11.(4I*<15/2>).6s2.6p<3/2>"	"(15/2,3/2)"	"9"	19	" 19355.149"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[4]"	"5"	11	" 19362.105"	
"4f11.(4I*<11/2>).5d<3/2>.6s2"	"(11/2,3/2)*"	"6"	13	" 19508.432"	
"4f11.(4I*<11/2>).5d<3/2>.6s2"	"(11/2,3/2)*"	"5"	11	" 19563.116"	
"4f11.(4I*<15/2>).6s2.6p<3/2>"	"(15/2,3/2)"	"8"	17	" 19723.271"	
"4f11.(4I*<15/2>).6s2.6p<3/2>"	"(15/2,3/2)"	"6"	13	" 19816.936"	
"4f11.(4I*<15/2>).6s2.6p<3/2>"	"(15/2,3/2)"	"7"	15	" 19915.789"	
"4f11.(4I*).5d2.(3F) (6F*).6s"	"7F*"	"6"	13	" 20166.130"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[4]"	"4"	9	" 20497.641"	
"4f11.(4I*<11/2>).5d<5/2>.6s2"	"(11/2,5/2)*"	"8"	17	" 20566.805"	
"4f11.(4I*<11/2>).5d<5/2>.6s2"	"(11/2,5/2)*"	"4"	9	" 20619.731"	
"4f11.(4I*).5d.6s2"	"*"	"6"	13	" 20737.723"	
"4f11.(4I*).5d.6s2"	"*"	"5"	11	" 20917.276"	
"4f11.(4I*).5d.6s2"	"*"	"4"	9	" 20929.873"	
"4f12.(3H<13/2>).5d.6s.(3D)"	"3[5]"	"6"	13	" 21035.201"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[8]"	"8"	17	" 21069.365"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[8]"	"7"	15	" 21101.510"	
"4f11.(4I*<11/2>).5d<5/2>.6s2"	"(11/2,5/2)*"	"7"	15	" 21168.430"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[8]"	"9"	19	" 21204.465"	
"4f11.(4I*<11/2>).5d<5/2>.6s2"	"(11/2,5/2)*"	"5"	11	" 21392.817"	
"4f12.(3F).6s.6p.(3P*)"	"*"	"4"	9	" 21551.919"	
"4f11.(4I*<11/2>).5d<5/2>.6s2"	"(11/2,5/2)*"	"6"	13	" 21701.885"	
"4f11.(4I*).5d2.(3F) (6G*).6s"	"7G*"	"7"	15	" 21787.932"	
"4f11.(4I*).5d2.(3F) (6I*).6s"	"*"	"8"	17	" 21979.181"	
"4f12.(3H<13/2>).5d.6s.(3D)"	"3[5]"	"5"	11	" 22056.785"	
"4f11.(4I*).5d2.(3F) (6I*).6s"	"7I*"	"9"	19	" 22102.844"	
"4f12.(3F).6s.6p.(3P*)"	"*"	"5"	11	" 22124.268"	
""	"*"	"3"	7	" 22269.457"	
""	"*"	"4"	9	" 22361.651"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[4]"	"3"	7	" 22391.431"	
"4f11.(4I*).5d2.(3F) (6F*).6s"	"*"	"5"	11	" 22450.111"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[6]"	"7"	15	" 22521.790"	
"4f11.(4F*).5d.6s2"	"*"	"6"	13	" 22583.504"	
"4f11.(4I*).5d.6s2"	"*"	"4"	9	" 22649.973"	
"4f11.(4I*).5d.6s2"	"*"	"5"	11	" 22672.766"	
"4f11.(4I*).5d2.(3F) (6K*).6s"	"7K*"	"10"	21	" 22673.147"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[7]"	"6"	13	" 22691.855"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[7]"	"8"	17	" 22810.531"	
"4f11.(4I*).5d.6s.6p"	""	"6"	13	" 22979.591"	
"4f11.(4I*).5d.6s2"	"*"	"7"	15	" 23080.952"	
"4f11.(4I*<13/2>).6s2.6p<1/2>"	"(13/2,1/2)"	"6"	13	" 23144.252"	
"4f11.(4I*<13/2>).6s2.6p<1/2>"	"(13/2,1/2)"	"7"	15	" 23223.335"	
"4f12.(3H<13/2>).5d.6s.(3D)"	"3[5]"	"4"	9	" 23300.042"	
"4f11.(4I*).5d2.(3F) (6H*).6s"	"*"	"6"	13	" 23311.577"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[6]"	"5"	11	" 23314.115"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[7]"	"7"	15	" 23336.111"	
"4f11.(4I*).5d2.(3F) (6G*).6s"	"*"	"7"	15	" 23364.853"	
"4f12.(3H<6>).5d.6s.(3D)"	"3[6]"	"6"	13	" 23432.428"	
"4f12.(3H).6s.6p"	"*"	"5"	11	" 23447.079"	
"4f11.(4I*).5d2.(3F) (6M*).6s"	"7M*"	"11"	23	" 23472.602"	
"4f11.(4I*).5d2.(3F) (6H*).6s"	"*"	"8"	17	" 23502.223"	
""	"*"	"9"	19	" 23619.088"	
"4f11.(4I*).5d.6s.6p"	""	"7"	15	" 23628.936"	
"4f11.(4I*).5d2.(3F) (4M*).6s"	"*"	"10"	21	" 23696.036"	
"4f11.(4I*).5d2.(3F) (6M*).6s"	"7M*"	"12"	25	" 23720.930"	
"4f12.(3F).6s.6p.(3P*)"	"*"	"6"	13	" 23831.359"	
"4f12.(3F).6s.6p.(3P*)"	"*"	"5"	11	" 23855.654"	
""	"*"	"4"	9	" 23883.631"	
"4f12.(3H).6s.6p"	"*"	"5"	11	" 23885.406"	
"4f12.(3H<6>).5d.6s.(1D)"	"1[4]"	"4"	9	" 24007.135"	
""	"*"	"3"	7	" 24068.358"	
"4f12.(3H).6s.6p"	"*"	"5"	11	" 24083.166"	
"4f12.(1G).6s.6p.(3P*)"	"*"	"2"	5	" 24089.615"	
"4f12.(3H<6>).5d.6s.(1D)"	"1[8]"	"8"	17	" 24105.439"	
""	"*"	"9"	19	" 24228.006"	
"4f12.(3H).6s.6p.(3P*)"	"*"	"6"	13	" 24246.146"	
"4f12.(3H).6s.6p"	"*"	"4"	9	" 24348.910"	
"4f11.(4I*).5d.6s2"	"*"	"6"	13	" 24457.139"	
"4f11.(4I*).5d.6s2"	"*"	"3"	7	" 24712.734"	
"4f11.(4I*).5d.6s.6p"	""	"8"	17	" 24721.193"	
"4f11.(4I*).5d2.(3F) (6L*).6s"	"7L*"	"11"	23	" 24754.413"	
""	"*"	"8"	17	" 24883.530"	
"4f12.(3H).6s.6p"	"*"	"7"	15	" 24943.272"	
"4f11.(4I*).5d.6s.6p"	""	"5"	11	" 24991.084"	
