Configuration	Term	J	g	Level (cm-1)
"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"13/2"	14	" 0.000"	
"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"11/2"	12	" 440.434"	
"4f12.(3F<4>).6s<1/2>"	"(4,1/2)"	"9/2"	10	" 5132.608"	
"4f12.(3F<4>).6s<1/2>"	"(4,1/2)"	"7/2"	8	" 5403.688"	
"4f11.6s2"	"4I*"	"15/2"	16	" 6824.774"	
"4f12.(3H<5>).6s<1/2>"	"(5,1/2)"	"11/2"	12	" 7149.630"	
"4f12.(3H<5>).6s<1/2>"	"(5,1/2)"	"9/2"	10	" 7195.355"	
"4f11.(4I*).5d.6s"	"*"	"13/2"	14	" 10667.186"	
"4f12.(3H<4>).6s<1/2>"	"(4,1/2)"	"7/2"	8	" 10893.936"	
"4f12.(3H<4>).6s<1/2>"	"(4,1/2)"	"9/2"	10	" 11042.640"	
"4f11.(4I*).5d.6s"	"*"	"15/2"	16	" 11309.180"	
"4f11.(4I*).5d.6s"	"*"	"11/2"	12	" 12388.090"	
"4f12.(3F<3>).6s<1/2>"	"(3,1/2)"	"7/2"	8	" 12587.998"	
"4f12.(3F<3>).6s<1/2>"	"(3,1/2)"	"5/2"	6	" 12600.093"	
"4f11.(4I*).5d.6s"	"*"	"19/2"	20	" 12815.068"	
"4f11.(4I*).5d.6s"	"*"	"17/2"	18	" 13027.927"	
"4f11.(4I*).5d.6s"	"*"	"13/2"	14	" 13060.715"	
"4f12.(3F<2>).6s<1/2>"	"(2,1/2)"	"3/2"	4	" 13188.467"	
"4f11.6s2"	"4I*"	"13/2"	14	" 13338.777"	
"4f12.(3F<2>).6s<1/2>"	"(2,1/2)"	"5/2"	6	" 13558.333"	
"4f11.(4I*).5d.6s"	"*"	"21/2"	22	" 13572.118"	
"4f11.(4I*).5d.6s"	"*"	"17/2"	18	" 13719.584"	
"4f11.(4I*).5d.6s"	"*"	"15/2"	16	" 14280.723"	
"4f11.(4I*).5d.6s"	"*"	"19/2"	20	" 14649.277"	
"4f11.(4I*).5d.6s"	"*"	"17/2"	18	" 15732.917"	
"4f11.(4I*).5d.6s"	"*"	"9/2"	10	" 16241.348"	
"4f11.(4I*).5d.6s"	"*"	"15/2"	16	" 16473.871"	
"4f11.(4I*).5d.6s"	"*"	"11/2"	12	" 16529.413"	
"4f12.(3H<6>).5d<3/2>"	"(6,3/2)"	"9/2"	10	" 16552.871"	
"4f11.(4I*).5d.6s"	"*"	"13/2"	14	" 16643.237"	
"4f11.(4I*).5d.6s"	"*"	"19/2"	20	" 16935.832"	
"4f11.6s2"	"4I*"	"11/2"	12	" 16948.197"	
"4f11.(4I*).5d.6s"	"*"	"11/2"	12	" 17063.735"	
"4f11.(4I*).5d.6s"	"*"	"13/2"	14	" 17378.917"	
"4f11.(4I*).5d.6s"	"*"	"17/2"	18	" 17842.682"	
"4f11.(4I*).5d.6s"	"*"	"15/2"	16	" 18463.347"	
"4f12.(3H<6>).5d<3/2>"	"(6,3/2)"	"15/2"	16	" 18617.495"	
"4f12.(3H<6>).5d<3/2>"	"(6,3/2)"	"11/2"	12	" 18889.101"	
"4f12.(3H<6>).5d<5/2>"	"(6,5/2)"	"17/2"	18	" 19302.832"	
"4f11.(4I*).5d.6s"	"*"	"15/2"	16	" 19375.584"	
"4f11.(4I*).5d.6s"	"*"	"17/2"	18	" 19606.715"	
"4f12.(3H<6>).5d<5/2>"	"(6,5/2)"	"7/2"	8	" 19903.107"	
"4f11.(4I*).5d.6s"	"*"	"9/2"	10	" 19920.613"	
"4f11.(4I*).5d.6s"	"*"	"11/2"	12	" 19992.895"	
"4f11.(4I*).5d.6s"	"*"	"13/2"	14	" 20319.934"	
"4f11.(4I*).5d.6s"	"*"	"15/2"	16	" 20517.717"	
"4f12.(3H<6>).5d<3/2>"	"(6,3/2)"	"13/2"	14	" 20728.050"	
