Configuration	Term	J	g	Level (cm-1)
"2s2.2p4"	"3P"	"2"	5	" 0.0"	
"2s2.2p4"	"3P"	"1"	3	" 341.0"	
"2s2.2p4"	"3P"	"0"	1	" 489.9"	
"2s2.2p4"	"1D"	"2"	5	" 20873.4"	
"2s2.2p4"	"1S"	"0"	1	" 44918.1"	
"2s.2p5"	"3P*"	"2"	5	" 164797.88"	
"2s.2p5"	"3P*"	"1"	3	" 165106.66"	
"2s.2p5"	"3P*"	"0"	1	" 165279.19"	
"2s2.2p3.(4S*).3s"	"5S*"	"2"	5	" 176493.93"	
"2s2.2p3.(4S*).3s"	"3S*"	"1"	3	" 182864.40"	
"2s2.2p3.(4S*).3p"	"5P"	"1"	3	" 202449.35"	
"2s2.2p3.(4S*).3p"	"5P"	"2"	5	" 202460.69"	
"2s2.2p3.(4S*).3p"	"5P"	"3"	7	" 202480.26"	
"2s2.2p3.(4S*).3p"	"3P"	"1"	3	" 207699.07"	
"2s2.2p3.(4S*).3p"	"3P"	"0"	1	" 207702.04"	
"2s2.2p3.(4S*).3p"	"3P"	"2"	5	" 207703.79"	
"2s2.2p3.(2D*).3s"	"3D*"	"3"	7	" 211866.13"	
"2s2.2p3.(2D*).3s"	"3D*"	"2"	5	" 211887.19"	
"2s2.2p3.(2D*).3s"	"3D*"	"1"	3	" 211900.26"	
"2s2.2p3.(2D*).3s"	"1D*"	"2"	5	" 215069.59"	
"2s2.2p3.(2P*).3s"	"1P*"	"1"	3	" 227228.42"	
"2s2.2p3.(2P*).3s"	"3P*"	"2"	5	" 229550.11"	
"2s2.2p3.(2P*).3s"	"3P*"	"1"	3	" 229551.79"	
"2s2.2p3.(2P*).3s"	"3P*"	"0"	1	" 229554.45"	
"2s2.2p3.(4S*).3d"	"5D*"	"4"	9	" 230997.66"	
"2s2.2p3.(4S*).3d"	"5D*"	"3"	7	" 230998.60"	
"2s2.2p3.(4S*).3d"	"5D*"	"2"	5	" 230999.78"	
"2s2.2p3.(4S*).3d"	"5D*"	"1"	3	" 231000.79"	
"2s2.2p3.(4S*).3d"	"5D*"	"0"	1	" 231001.27"	
"2s2.2p3.(4S*).3d"	"3D*"	"1"	3	" 232063.34"	
"2s2.2p3.(4S*).3d"	"3D*"	"2"	5	" 232064.16"	
"2s2.2p3.(4S*).3d"	"3D*"	"3"	7	" 232066.32"	
"2s2.2p3.(4S*).4s"	"5S*"	"2"	5	" 235150.58"	
"2s2.2p3.(2D*).3p"	"1P"	"1"	3	" 235642.48"	
"2s2.2p3.(2D*).3p"	"3D"	"1"	3	" 236169.93"	
"2s2.2p3.(2D*).3p"	"3D"	"2"	5	" 236172.61"	
"2s2.2p3.(2D*).3p"	"3D"	"3"	7	" 236195.14"	
"2s2.2p3.(4S*).4s"	"3S*"	"1"	3	" 236960.83"	
"2s2.2p3.(2D*).3p"	"3F"	"4"	9	" 237507.65"	
"2s2.2p3.(2D*).3p"	"3F"	"3"	7	" 237508.23"	
"2s2.2p3.(2D*).3p"	"3F"	"2"	5	" 237508.92"	
"2s2.2p3.(2D*).3p"	"1F"	"3"	7	" 238323.38"	
"2s.2p5"	"1P*"	"1"	3	" 239605.29"	
"2s2.2p3.(2D*).3p"	"3P"	"2"	5	" 240092.55"	
"2s2.2p3.(2D*).3p"	"3P"	"1"	3	" 240152.71"	
"2s2.2p3.(2D*).3p"	"3P"	"0"	1	" 240179.22"	
"2s2.2p3.(4S*).4p"	"5P"	"1"	3	" 243458.90"	
"2s2.2p3.(4S*).4p"	"5P"	"2"	5	" 243462.78"	
"2s2.2p3.(4S*).4p"	"5P"	"3"	7	" 243469.27"	
"2s2.2p3.(2D*).3p"	"1D"	"2"	5	" 246283.63"	
"2s2.2p3.(4S*).4p"	"3P"	"0"	1	" 246654.74"	
"2s2.2p3.(4S*).4p"	"3P"	"1"	3	" 246662.01"	
"2s2.2p3.(4S*).4p"	"3P"	"2"	5	" 246682.10"	
"2s2.2p3.(2P*).3p"	"3S"	"1"	3	" 253312.48"	
