Configuration	Term	J	g	Level (cm-1)
"2s2.2p3"	"4S*"	"3/2"	4	" 0.0"	
"2s2.2p3"	"2D*"	"5/2"	6	" 34087.4"	
"2s2.2p3"	"2D*"	"3/2"	4	" 34123.2"	
"2s2.2p3"	"2P*"	"1/2"	2	" 51560.6"	
"2s2.2p3"	"2P*"	"3/2"	4	" 51561.4"	
"2s.2p4"	"4P"	"5/2"	6	" 151899.7"	
"2s.2p4"	"4P"	"3/2"	4	" 152237.4"	
"2s.2p4"	"4P"	"1/2"	2	" 152410.9"	
"2s.2p4"	"2D"	"5/2"	6	" 210241.7"	
"2s.2p4"	"2D"	"3/2"	4	" 210256.3"	
"2s.2p4"	"2S"	"1/2"	2	" 248261.4"	
"2s.2p4"	"2P"	"3/2"	4	" 266561.85"	
"2s.2p4"	"2P"	"1/2"	2	" 266944.70"	
"2s2.2p2.(3P).3s"	"4P"	"1/2"	2	" 316709.81"	
"2s2.2p2.(3P).3s"	"4P"	"3/2"	4	" 316920.99"	
"2s2.2p2.(3P).3s"	"4P"	"5/2"	6	" 317239.97"	
"2s2.2p2.(3P).3s"	"2P"	"1/2"	2	" 324492.55"	
"2s2.2p2.(3P).3s"	"2P"	"3/2"	4	" 324876.72"	
"2s2.2p2.(1D).3s"	"2D"	"5/2"	6	" 344024.17"	
"2s2.2p2.(1D).3s"	"2D"	"3/2"	4	" 344027.58"	
"2s2.2p2.(3P).3p"	"2S*"	"1/2"	2	" 344436.96"	
"2s2.2p2.(3P).3p"	"4D*"	"1/2"	2	" 348702.80"	
"2s2.2p2.(3P).3p"	"4D*"	"3/2"	4	" 348817.60"	
"2s2.2p2.(3P).3p"	"4D*"	"5/2"	6	" 349007.25"	
"2s2.2p2.(3P).3p"	"4D*"	"7/2"	8	" 349266.20"	
"2s2.2p2.(3P).3p"	"4P*"	"1/2"	2	" 351236.35"	
"2s2.2p2.(3P).3p"	"4P*"	"3/2"	4	" 351330.80"	
"2s2.2p2.(3P).3p"	"4P*"	"5/2"	6	" 351519.42"	
"2s2.2p2.(3P).3p"	"2D*"	"3/2"	4	" 355981.90"	
"2s2.2p2.(3P).3p"	"2D*"	"5/2"	6	" 356371.82"	
"2s2.2p2.(3P).3p"	"4S*"	"3/2"	4	" 357479.35"	
"2s2.2p2.(3P).3p"	"2P*"	"1/2"	2	" 360348.28"	
"2s2.2p2.(3P).3p"	"2P*"	"3/2"	4	" 360435.08"	
"2s2.2p2.(1S).3s"	"2S"	"1/2"	2	" 372678.47"	
