Configuration	Term	J	g	Level (cm-1)
"3d6"	"5D"	"4"	9	" 0.00"	
"3d6"	"5D"	"3"	7	" 436.19"	
"3d6"	"5D"	"2"	5	" 738.87"	
"3d6"	"5D"	"1"	3	" 932.52"	
"3d6"	"5D"	"0"	1	" 1027.26"	
"3d6"	"a 3P"	"2"	5	" 19404.42"	
"3d6"	"3H"	"6"	13	" 20051.36"	
"3d6"	"3H"	"5"	11	" 20300.59"	
"3d6"	"3H"	"4"	9	" 20481.72"	
"3d6"	"a 3P"	"1"	3	" 20688.12"	
"3d6"	"a 3P"	"0"	1	" 21208.12"	
"3d6"	"a 3F"	"4"	9	" 21461.92"	
"3d6"	"a 3F"	"3"	7	" 21699.79"	
"3d6"	"a 3F"	"2"	5	" 21857.08"	
"3d6"	"3G"	"5"	11	" 24558.44"	
"3d6"	"3G"	"4"	9	" 24941.12"	
"3d6"	"3G"	"3"	7	" 25142.12"	
"3d5.(6S).4s"	"7S"	"3"	7	" 30089.69"	
"3d6"	"1I"	"6"	13	" 30355.88"	
"3d6"	"3D"	"2"	5	" 30715.98"	
"3d6"	"3D"	"1"	3	" 30725.46"	
"3d6"	"3D"	"3"	7	" 30857.69"	
"3d6"	"a 1G"	"4"	9	" 30886.19"	
"3d6"	"a 1S"	"0"	1	" 34811.9"	
"3d6"	"a 1D"	"2"	5	" 35803.01"	
"3d5.(6S).4s"	"5S"	"2"	5	" 41000.31"	
"3d6"	"1F"	"3"	7	" 42896.27"	
"3d6"	"b 3P"	"0"	1	" 49149.58"	
"3d6"	"b 3P"	"1"	3	" 49577.27"	
"3d6"	"b 3F"	"2"	5	" 50184.97"	
"3d6"	"b 3F"	"4"	9	" 50276.19"	
"3d6"	"b 3F"	"3"	7	" 50295.10"	
"3d6"	"b 3P"	"2"	5	" 50411.95"	
"3d6"	"b 1G"	"4"	9	" 57221.20"	
"3d5.(4G).4s"	"5G"	"6"	13	" 63425.74"	
"3d5.(4G).4s"	"5G"	"5"	11	" 63466.85"	
"3d5.(4G).4s"	"5G"	"4"	9	" 63487.32"	
"3d5.(4G).4s"	"5G"	"3"	7	" 63494.73"	
"3d5.(4G).4s"	"5G"	"2"	5	" 63495.00"	
"3d5.(4P).4s"	"5P"	"3"	7	" 66465.04"	
"3d5.(4P).4s"	"5P"	"2"	5	" 66523.30"	
"3d5.(4P).4s"	"5P"	"1"	3	" 66592.08"	
"3d5.(4D).4s"	"5D"	"4"	9	" 69696.16"	
"3d5.(4D).4s"	"5D"	"0"	1	" 69747.95"	
"3d5.(4D).4s"	"5D"	"1"	3	" 69788.52"	
"3d5.(4D).4s"	"5D"	"3"	7	" 69837.15"	
"3d5.(4D).4s"	"5D"	"2"	5	" 69838.15"	
"3d5.(4G).4s"	"3G"	"5"	11	" 70694.40"	
"3d5.(4G).4s"	"3G"	"3"	7	" 70725.46"	
"3d5.(4G).4s"	"3G"	"4"	9	" 70729.12"	
"3d5.(4P).4s"	"3P"	"2"	5	" 73728.05"	
"3d5.(4P).4s"	"3P"	"1"	3	" 73849.35"	
"3d5.(4P).4s"	"3P"	"0"	1	" 73936.34"	
"3d5.(4D).4s"	"3D"	"3"	7	" 76957.02"	
"3d6"	"b 1D"	"2"	5	" 77044.67"	
