Configuration	Term	J	g	Level (cm-1)
"3p6.3d2"	"3F"	"2"	5	" 0.0"	
"3p6.3d2"	"3F"	"3"	7	" 1051.5"	
"3p6.3d2"	"3F"	"4"	9	" 2331.5"	
"3p6.3d2"	"1D"	"2"	5	" 17475.5"	
"3p6.3d2"	"3P"	"0"	1	" 20040.3"	
"3p6.3d2"	"3P"	"1"	3	" 20430.1"	
"3p6.3d2"	"3P"	"2"	5	" 21278.6"	
"3p6.3d2"	"1G"	"4"	9	" 28927.3"	
"3p6.3d2"	"1S"	"0"	1	" 67078.3"	
"3p6.3d.4s"	"3D"	"1"	3	" 344463.3"	
"3p6.3d.4s"	"3D"	"2"	5	" 345028.7"	
"3p6.3d.4s"	"3D"	"3"	7	" 346262.2"	
"3p6.3d.4s"	"1D"	"2"	5	" 350332.6"	
"3p6.3d.4p"	"3D*"	"1"	3	" 425128.6"	
"3p6.3d.4p"	"1D*"	"2"	5	" 425386.1"	
"3p6.3d.4p"	"3D*"	"2"	5	" 427784.7"	
"3p6.3d.4p"	"3F*"	"2"	5	" 430213.4"	
"3p6.3d.4p"	"3D*"	"3"	7	" 430948.6"	
"3p6.3d.4p"	"3F*"	"3"	7	" 431609.5"	
"3p6.3d.4p"	"3F*"	"4"	9	" 433871.2"	
"3p6.3d.4p"	"3P*"	"1"	3	" 436952.2"	
"3p6.3d.4p"	"3P*"	"0"	1	" 437001.3"	
"3p6.3d.4p"	"3P*"	"2"	5	" 437558.0"	
"3p6.3d.4p"	"1F*"	"3"	7	" 439811.6"	
"3p6.3d.4p"	"1P*"	"1"	3	" 443447.0"	
"3p5.(2P*).3d3.(2G)"	"1H*"	"5"	11	" 464034"	
"3p5.(2P*).3d3.(2F)"	"3G*"	"5"	11	" 472559"	
"3p5.(2P*).3d3.(2F)"	"3G*"	"4"	9	" 472903"	
"3p5.(2P*).3d3.(2F)"	"3G*"	"3"	7	" 481435"	
"3p5.(2P*).3d3.(2F)"	"1G*"	"4"	9	" 496454"	
"3p5.(2P*).3d3.(2H)"	"3G*"	"3"	7	" 510086"	
"3p5.(2P*).3d3.(2H)"	"3G*"	"4"	9	" 510158"	
"3p5.(2P*).3d3.(2H)"	"3G*"	"5"	11	" 514133"	
"3p5.(2P*).3d3.(2D2)"	"1D*"	"2"	5	" 538290"	
"3p5.(2P*).3d3.(2F)"	"3D*"	"2"	5	" 548274"	
"3p5.(2P*).3d3.(2F)"	"3D*"	"3"	7	" 551568"	
"3p5.(2P*).3d3.(2F)"	"1D*"	"2"	5	" 553220"	
"3p5.(2P*).3d3.(2G)"	"1F*"	"3"	7	" 556422"	
"3p5.(2P*).3d3.(4P)"	"3P*"	"1"	3	" 561303"	
"3p5.(2P*).3d3.(4F)"	"3F*"	"2"	5	" 564425"	
"3p5.(2P*).3d3.(4P)"	"3P*"	"2"	5	" 565275"	
"3p5.(2P*).3d3.(4F)"	"3F*"	"3"	7	" 566256"	
"3p5.(2P*).3d3.(4F)"	"3F*"	"4"	9	" 568118"	
"3p5.(2P*).3d3.(2P)"	"1P*"	"1"	3	" 598638"	
"3p5.(2P*).3d3.(4F)"	"3D*"	"3"	7	" 603419"	
"3p5.(2P*).3d3.(4F)"	"3D*"	"2"	5	" 603757"	
"3p5.(2P*).3d3.(4F)"	"3D*"	"1"	3	" 604270"	
"3p5.(2P*).3d3.(2H)"	"1G*"	"4"	9	" 605489"	
"3p5.(2P*).3d3.(4P)"	"3S*"	"1"	3	" 623699"	
"3p5.(2P*).3d3.(2D1)"	"1P*"	"1"	3	" 630283"	
"3p6.3d.4f"	"1G*"	"4"	9	" 659917"	
"3p6.3d.4f"	"3F*"	"2"	5	" 660015"	
"3p6.3d.4f"	"3F*"	"3"	7	" 660358"	
"3p6.3d.4f"	"3F*"	"4"	9	" 661169"	
"3p6.3d.4f"	"3G*"	"3"	7	" 663097"	
"3p6.3d.4f"	"1D*"	"2"	5	" 663871"	
"3p6.3d.4f"	"3G*"	"4"	9	" 663950"	
"3p6.3d.4f"	"3G*"	"5"	11	" 664482"	
"3p6.3d.4f"	"1F*"	"3"	7	" 665417"	
