Configuration	Term	J	g	Level (cm-1)
"3d10"	"1S"	"0"	1	" 0.0"	
"3d9.4s"	"3D"	"3"	7	" 149512.1"	
"3d9.4s"	"3D"	"2"	5	" 150967.0"	
"3d9.4s"	"3D"	"1"	3	" 153085.9"	
"3d9.4s"	"1D"	"2"	5	" 156024.7"	
"3d9.4p"	"3P*"	"2"	5	" 224243.3"	
"3d9.4p"	"3P*"	"1"	3	" 227320.4"	
"3d9.4p"	"3F*"	"3"	7	" 227681.2"	
"3d9.4p"	"3F*"	"4"	9	" 228952.8"	
"3d9.4p"	"3P*"	"0"	1	" 229140.3"	
"3d9.4p"	"3F*"	"2"	5	" 230040.0"	
"3d9.4p"	"1F*"	"3"	7	" 233192.3"	
"3d9.4p"	"1D*"	"2"	5	" 233824.7"	
"3d9.4p"	"3D*"	"3"	7	" 234939.5"	
"3d9.4p"	"1P*"	"1"	3	" 236311.9"	
"3d9.4p"	"3D*"	"1"	3	" 236906.5"	
"3d9.4p"	"3D*"	"2"	5	" 237458.0"	
"3d9.4d"	"3S"	"1"	3	" 328763.7"	
"3d9.4d"	"3G"	"5"	11	" 332554.3"	
"3d9.4d"	"3G"	"4"	9	" 332730.5"	
"3d9.4d"	"3P"	"2"	5	" 332757.5"	
"3d9.4d"	"1P"	"1"	3	" 332826.8"	
"3d9.4d"	"3D"	"3"	7	" 333964.2"	
"3d9.4d"	"3P"	"0"	1	" 334403.3"	
"3d9.4d"	"1G"	"4"	9	" 334527.6"	
"3d9.4d"	"3G"	"3"	7	" 334532.0"	
"3d9.4d"	"3D"	"2"	5	" 334851.3"	
"3d9.4d"	"3P"	"1"	3	" 335199.3"	
"3d9.4d"	"1F"	"3"	7	" 336581.6"	
"3d9.4d"	"3F"	"4"	9	" 336790.0"	
"3d9.4d"	"3D"	"1"	3	" 336933.8"	
"3d9.4d"	"1D"	"2"	5	" 337833.8"	
"3d9.4d"	"3F"	"3"	7	" 338504.4"	
"3d9.4d"	"3F"	"2"	5	" 338719.6"	
"3d9.5s"	"3D"	"3"	7	" 343319.9"	
"3d9.5s"	"3D"	"2"	5	" 343912.7"	
"3d9.5s"	"3D"	"1"	3	" 346887.6"	
"3d9.5s"	"1D"	"2"	5	" 347402.8"	
"3d9.4d"	"1S"	"0"	1	" 355225.3?"	
"3d9.5p"	"3P*"	"2"	5	" 368684"	
"3d9.5p"	"3F*"	"3"	7	" 369718"	
"3d9.5p"	"3F*"	"4"	9	" 370123"	
"3d9.5p"	"3P*"	"1"	3	" 370458"	
"3d9.5p"	"1D*"	"2"	5	" 371295"	
"3d9.5p"	"3D*"	"3"	7	" 371636"	
"3d9.5p"	"3P*"	"0"	1	" 372649"	
"3d9.5p"	"3F*"	"2"	5	" 373171"	
"3d9.5p"	"1P*"	"1"	3	" 373824"	
"3d9.5p"	"1F*"	"3"	7	" 374167"	
"3d9.5p"	"3D*"	"1"	3	" 374883"	
"3d9.5p"	"3D*"	"2"	5	" 375134"	
"3d9.4f"	"(5/2,5/2)*"	"0"	1	" 397883.9"	
