Configuration	Term	J	g	Level (cm-1)
"3d8"	"3F"	"4"	9	" 0.0"	
"3d8"	"3F"	"3"	7	" 3193.3"	
"3d8"	"3F"	"2"	5	" 5164.0"	
"3d8"	"1D"	"2"	5	" 20531.6"	
"3d8"	"3P"	"2"	5	" 25683.2"	
"3d8"	"3P"	"1"	3	" 26123.7"	
"3d8"	"3P"	"0"	1	" 26607.4"	
"3d8"	"1G"	"4"	9	" 34249.4"	
"3d8"	"1S"	"0"	1	" 78106.2"	
"3d7.(4F).4s"	"5F"	"5"	11	" 290618.2"	
"3d7.(4F).4s"	"5F"	"4"	9	" 292766.3"	
"3d7.(4F).4s"	"5F"	"3"	7	" 294471.9"	
"3d7.(4F).4s"	"5F"	"2"	5	" 295691.7"	
"3d7.(4F).4s"	"5F"	"1"	3	" 296472.6"	
"3d7.(4F).4s"	"3F"	"4"	9	" 301417.4"	
"3d7.(4F).4s"	"3F"	"3"	7	" 304315.6"	
"3d7.(4F).4s"	"3F"	"2"	5	" 306203.6"	
"3d7.(4P).4s"	"5P"	"3"	7	" 315882.7"	
"3d7.(4P).4s"	"5P"	"2"	5	" 316294.3"	
"3d7.(4P).4s"	"5P"	"1"	3	" 317488.8"	
"3d7.(2G).4s"	"3G"	"5"	11	" 320898.8"	
"3d7.(2G).4s"	"3G"	"4"	9	" 321960.7"	
"3d7.(2G).4s"	"3G"	"3"	7	" 323491.8"	
"3d7.(2P).4s"	"3P"	"2"	5	" 325408.1"	
"3d7.(4P).4s"	"3P"	"1"	3	" 325534.2"	
"3d7.(2P).4s"	"3P"	"0"	1	" 326334.7"	
"3d7.(2G).4s"	"1G"	"4"	9	" 327159.5"	
"3d7.(4P).4s"	"3P"	"2"	5	" 327438.9"	
"3d7.(2P).4s"	"3P"	"1"	3	" 328609.6"	
"3d7.(2H).4s"	"3H"	"6"	13	" 330355.3"	
"3d7.(4P).4s"	"3P"	"0"	1	" 330724.3"	
"3d7.(2D2).4s"	"3D"	"3"	7	" 331283.5"	
"3d7.(2H).4s"	"3H"	"5"	11	" 331468.2"	
"3d7.(2P).4s"	"1P"	"1"	3	" 331810.7"	
"3d7.(2D2).4s"	"3D"	"2"	5	" 333121.7"	
"3d7.(2H).4s"	"3H"	"4"	9	" 333146.0"	
"3d7.(2H).4s"	"1H"	"5"	11	" 336722.0"	
"3d7.(2D2).4s"	"3D"	"1"	3	" 336737.8"	
"3d7.(2D2).4s"	"1D"	"2"	5	" 338579.5"	
"3d7.(2F).4s"	"3F"	"2"	5	" 353118.1"	
"3d7.(2F).4s"	"3F"	"3"	7	" 353484.3"	
