Configuration	Term	J	g	Level (cm-1)
"4f7.(8S*).5d (9D*).6s"	"10D*"	"5/2"	6	" 0.000"	
"4f7.(8S*).5d (9D*).6s"	"10D*"	"7/2"	8	" 261.841"	
"4f7.(8S*).5d (9D*).6s"	"10D*"	"9/2"	10	" 633.273"	
"4f7.(8S*).5d (9D*).6s"	"10D*"	"11/2"	12	" 1158.943"	
"4f7.(8S*).5d (9D*).6s"	"10D*"	"13/2"	14	" 1935.310"	
"4f7.(8S*).5d (9D*).6s"	"8D*"	"3/2"	4	" 2856.678"	
"4f7.(8S*).5d (9D*).6s"	"8D*"	"5/2"	6	" 3082.011"	
"4f7.(8S*).5d (9D*).6s"	"8D*"	"7/2"	8	" 3427.274"	
"4f7.(8S*).6s2"	"8S*"	"7/2"	8	" 3444.235"	
"4f7.(8S*).5d (9D*).6s"	"8D*"	"9/2"	10	" 3972.167"	
"4f7.(8S*).5d2.(3F)"	"10F*"	"3/2"	4	" 4027.161"	
"4f7.(8S*).5d2.(3F)"	"10F*"	"5/2"	6	" 4212.756"	
"4f7.(8S*).5d2.(3F)"	"10F*"	"7/2"	8	" 4483.854"	
"4f7.(8S*).5d (9D*).6s"	"8D*"	"11/2"	12	" 4841.106"	
"4f7.(8S*).5d2.(3F)"	"10F*"	"9/2"	10	" 4852.304"	
"4f7.(8S*).5d2.(3F)"	"10F*"	"11/2"	12	" 5339.477"	
"4f7.(8S*).5d2.(3F)"	"10F*"	"13/2"	14	" 5897.264"	
"4f7.(8S*).5d2.(3F)"	"10F*"	"15/2"	16	" 6605.154"	
"4f8.(7F).6s"	"8F"	"13/2"	14	" 7992.268"	
"4f7.(8S*).5d (7D*).6s"	"8D*"	"11/2"	12	" 8551.049"	
"4f7.(8S*).5d (7D*).6s"	"8D*"	"9/2"	10	" 8884.809"	
"4f8.(7F).6s"	"8F"	"11/2"	12	" 9092.491"	
"4f7.(8S*).5d (7D*).6s"	"8D*"	"7/2"	8	" 9142.904"	
"4f7.(8S*).5d (7D*).6s"	"8D*"	"5/2"	6	" 9328.864"	
"4f7.(8S*).5d (7D*).6s"	"8D*"	"3/2"	4	" 9451.697"	
"4f8.(7F).6s"	"6F"	"11/2"	12	" 9943.779"	
"4f7.(8S*).5d (7D*).6s"	"6D*"	"9/2"	10	" 10091.567"	
"4f8.(7F).6s"	"8F"	"9/2"	10	" 10292.567"	
"4f7.(8S*).5d (7D*).6s"	"6D*"	"7/2"	8	" 10391.789"	
"4f7.(8S*).5d2.(3P)"	"10P*"	"7/2"	8	" 10599.743"	
"4f7.(8S*).5d (7D*).6s"	"6D*"	"5/2"	6	" 10633.083"	
"4f7.(8S*).5d (7D*).6s"	"6D*"	"3/2"	4	" 10802.621"	
