Configuration	Term	J	g	Level (cm-1)
"4s2.4p"	"2P*"	"1/2"	2	" 0.000"	
"4s2.4p"	"2P*"	"3/2"	4	" 1767.357"	
"4s.4p2"	"4P"	"1/2"	2	" 51575.885"	
"4s.4p2"	"4P"	"3/2"	4	" 52290.942"	
"4s.4p2"	"4P"	"5/2"	6	" 53366.738"	
"4s2.5s"	"2S"	"1/2"	2	" 62403.028"	
"4s.4p2"	"2D"	"3/2"	4	" 65015.672"	
"4s.4p2"	"2D"	"5/2"	6	" 65184.738"	
"4s2.5p"	"2P*"	"1/2"	2	" 79006.853"	
"4s2.5p"	"2P*"	"3/2"	4	" 79366.494"	
"4s2.4d"	"2D"	"3/2"	4	" 80836.880"	
"4s2.4d"	"2D"	"5/2"	6	" 81012.598"	
"4s.4p2"	"2S"	"1/2"	2	" 85890.55"	
"4s.4p2"	"2P"	"1/2"	2	" 91016.2"	
"4s.4p2"	"2P"	"3/2"	4	" 92122.7"	
"4s2.6s"	"2S"	"1/2"	2	" 94784.381"	
"4s2.5d"	"2D"	"3/2"	4	" 100089.970"	
"4s2.5d"	"2D"	"5/2"	6	" 100130.812"	
"4s2.4f"	"2F*"	"7/2"	8	" 100317.283"	
"4s2.4f"	"2F*"	"5/2"	6	" 100317.976"	
"4s2.6p"	"2P*"	"1/2"	2	" 101098.446"	
"4s2.6p"	"2P*"	"3/2"	4	" 101244.635"	
"4s2.7s"	"2S"	"1/2"	2	" 107936.16"	
"4s2.6d"	"2D"	"3/2"	4	" 110378.07"	
"4s2.6d"	"2D"	"5/2"	6	" 110397.63"	
"4s2.5f"	"2F*"	"7/2"	8	" 110504.58"	
"4s2.5f"	"2F*"	"5/2"	6	" 110505.22"	
"4s2.5g"	"2G"	"7/2"	8	" 110868.453"	
"4s2.5g"	"2G"	"9/2"	10	" 110868.486"	
"4s2.7p"	"2P*"	"1/2"	2	" 111016.30"	
"4s2.7p"	"2P*"	"3/2"	4	" 111091.55"	
"4s2.8s"	"2S"	"1/2"	2	" 114638.47"	
"4s2.7d"	"2D"	"3/2"	4	" 115977.80"	
"4s2.7d"	"2D"	"5/2"	6	" 115988.77"	
"4s2.6f"	"2F*"	"7/2"	8	" 116041.231"	
"4s2.6f"	"2F*"	"5/2"	6	" 116041.81"	
"4s2.6g"	"2G"	"7/2"	8	" 116266.75"	
