Configuration	Term	J	g	Level (cm-1)
"5d10.6s"	"2S"	"1/2"	2	" 0.000"	
"5d9.6s2"	"2D"	"5/2"	6	" 35514.624"	
"5d9.6s2"	"2D"	"3/2"	4	" 50555.567"	
"5d10.6p"	"2P*"	"1/2"	2	" 51486.070"	
"5d10.6p"	"2P*"	"3/2"	4	" 60608.362"	
"5d9.6s.6p"	"(2D<5/2>,3P<0>)*"	"5/2"	6	" 79705.262"	
"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"7/2"	8	" 84212.404"	
"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"5/2"	6	" 84836.143"	
"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"3/2"	4	" 86178.478"	
"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"9/2"	10	" 91139.508"	
"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"3/2"	4	" 94092.834"	
"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"7/2"	8	" 95187.361"	
"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	6	" 95304.138"	
"5d10.7s"	"2S"	"1/2"	2	" 95714.406"	
"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"1/2"	2	" 96187.932"	
"5d9.6s.6p"	"(2D<3/2>,3P<0>)*"	"3/2"	4	" 97095.774"	
"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"5/2"	6	" 100861.369"	
"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"3/2"	4	" 103183.874"	
"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"1/2"	2	" 103873.302"	
"5d10.6d"	"2D"	"3/2"	4	" 104984.138"	
"5d10.6d"	"2D"	"5/2"	6	" 105544.042"	
"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"3/2"	4	" 106086.013"	
"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	8	" 106215.059"	
"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"1/2"	2	" 106299.401"	
"5d10.7p"	"2P*"	"1/2"	2	" 108298.183"	
"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"5/2"	6	" 108975.732"	
"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"3/2"	4	" 109191.648"	
"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"7/2"	8	" 110604.447"	
"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"5/2"	6	" 111174.092"	
"5d10.7p"	"2P*"	"3/2"	4	" 111971.464"	
"5d10.8s"	"2S"	"1/2"	2	" 121416.626"	
"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"1/2"	2	" 121753.739"	
"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"5/2"	6	" 121960.399"	
"5d10.5f"	"2F*"	"7/2"	8	" 123153.775"	
"5d10.5f"	"2F*"	"5/2"	6	" 123411.351"	
"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"3/2"	4	" 124614.794"	
