Configuration	Term	J	g	Level (cm-1)
"5d10"	"1S"	"0"	1	" 0.0"	
"5d9.6s"	"(5/2,1/2)"	"3"	7	" 42850.3"	
"5d9.6s"	"(5/2,1/2)"	"2"	5	" 46029.5"	
"5d9.6s"	"(3/2,1/2)"	"1"	3	" 58405.8"	
"5d9.6s"	"(3/2,1/2)"	"2"	5	" 61085.7"	
"5d8.6s2"	"(5/2,5/2)"	"4"	9	" 97893.8"	
"5d9.6p"	"(5/2,1/2)*"	"2"	5	" 103549.4"	
"5d9.6p"	"(5/2,1/2)*"	"3"	7	" 105627.8"	
"5d8.6s2"	"(5/2,5/2)"	"2"	5	" 106027.5"	
"5d8.6s2"	"(5/2,3/2)"	"3"	7	" 112226.0"	
"5d9.6p"	"(5/2,3/2)*"	"4"	9	" 117994.5"	
"5d9.6p"	"(5/2,3/2)*"	"2"	5	" 118548.0"	
"5d9.6p"	"(3/2,1/2)*"	"1"	3	" 118607.4"	
"5d8.6s2"	"(5/2,3/2)"	"2"	5	" 118926.5"	
"5d9.6p"	"(3/2,1/2)*"	"2"	5	" 120927.8"	
"5d9.6p"	"(5/2,3/2)*"	"3"	7	" 121602.0"	
"5d8.6s2"	"(5/2,5/2)"	"0"	1	" 122661.0"	
"5d8.6s2"	"(5/2,3/2)"	"1"	3	" 122734.9"	
"5d8.6s2"	"(5/2,3/2)"	"4"	9	" 126468.3"	
"5d9.6p"	"(5/2,3/2)*"	"1"	3	" 126556.3"	
"5d9.6p"	"(3/2,3/2)*"	"0"	1	" 130702.4"	
"5d8.6s2"	"(3/2,3/2)"	"2"	5	" 133731.5"	
"5d9.6p"	"(3/2,3/2)*"	"3"	7	" 134588.0"	
"5d9.6p"	"(3/2,3/2)*"	"1"	3	" 134998.7"	
"5d9.6p"	"(3/2,3/2)*"	"2"	5	" 136479.0"	
"5d8.6s.6p"	"47*"	"1"	3	" 147142.4"	
"5d8.6s.6p"	"48*"	"3"	7	" 148426.0"	
"5d8.6s.6p"	"13*"	"3"	7	" 149717.3"	
"5d8.6s.6p"	"14*"	"4"	9	" 150276.0?"	
"5d8.6s.6p"	"15*"	"1"	3	" 150278.7"	
"5d8.6s.6p"	"16*"	"1"	3	" 150857.0"	
"5d8.6s.6p"	"17*"	"1"	3	" 151997.5"	
"5d8.6s.6p"	"18*"	"2"	5	" 153254.6?"	
