Configuration	Term	J	g	Level (cm-1)
"5s2.5p5"	"2P*"	"3/2"	4	" 0.000"	
"5s2.5p5"	"2P*"	"1/2"	2	" 7602.970"	
"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	6	" 54633.460"	
"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	4	" 56092.881"	
"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	2	" 60896.243"	
"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	4	" 61819.779"	
"5s2.5p4.(3P<1>).6s"	"2[1]"	"1/2"	2	" 63186.758"	
"5s2.5p4.(3P<2>).6p"	"2[2]*"	"5/2"	6	" 64906.290"	
"5s2.5p4.(3P<2>).6p"	"2[2]*"	"3/2"	4	" 64989.994"	
"5s2.5p4.(3P<2>).6p"	"2[3]*"	"5/2"	6	" 65644.476"	
"5s2.5p4.(3P<2>).6p"	"2[3]*"	"7/2"	8	" 65669.988"	
"5s2.5p4.(3P<2>).6p"	"2[1]*"	"1/2"	2	" 65856.960"	
"5s2.5p4.(3P<2>).5d"	"2[3]"	"7/2"	8	" 66015.023"	
"5s2.5p4.(3P<2>).5d"	"2[3]"	"5/2"	6	" 66020.469"	
"5s2.5p4.(3P<2>).5d"	"2[1]"	"3/2"	4	" 66355.093"	
"5s2.5p4.(3P<2>).6p"	"2[1]*"	"3/2"	4	" 67062.130"	
"5s2.5p4.(3P<2>).5d"	"2[1]"	"1/2"	2	" 67298.328"	
"5s2.5p4.(3P<2>).5d"	"2[4]"	"9/2"	10	" 67726.415"	
"5s2.5p4.(1D<2>).6s"	"2[2]"	"3/2"	4	" 68549.743"	
"5s2.5p4.(3P<2>).5d"	"2[4]"	"7/2"	8	" 68559.540"	
"5s2.5p4.(1D<2>).6s"	"2[2]"	"5/2"	6	" 68587.859"	
"5s2.5p4.(3P<2>).5d"	"2[0]"	"1/2"	2	" 68615.734"	
"5s2.5p4.(3P<2>).5d"	"2[2]"	"5/2"	6	" 70151.201"	
"5s2.5p4.(3P<2>).5d"	"2[2]"	"3/2"	4	" 70354.834"	
"5s2.5p4.(3P<1>).6p"	"2[0]*"	"1/2"	2	" 71501.480"	
"5s2.5p4.(3P<0>).6p"	"2[1]*"	"1/2"	2	" 71813.958"	
"5s2.5p4.(3P<2>).7s"	"2[2]"	"5/2"	6	" 71903.736"	
"5s2.5p4.(3P<0>).6p"	"2[1]*"	"3/2"	4	" 71976.775"	
"5s2.5p4.(3P<2>).7s"	"2[2]"	"3/2"	4	" 72294.881"	
"5s2.5p4.(3P<1>).6p"	"2[2]*"	"5/2"	6	" 72529.182"	
"5s2.5p4.(3P<1>).6p"	"2[2]*"	"3/2"	4	" 72807.164"	
"5s2.5p4.(3P<1>).6p"	"2[1]*"	"3/2"	4	" 73054.598"	
"5s2.5p4.(3P<1>).5d"	"2[1]"	"1/2"	2	" 73114.807"	
"5s2.5p4.(3P<1>).6p"	"2[1]*"	"1/2"	2	" 73387.184"	
"5s2.5p4.(1D<2>).5d"	"2[0]"	"1/2"	2	" 73477.834"	
"5s2.5p4.(3P<0>).5d"	"2[2]"	"3/2"	4	" 73639.300"	
"5s2.5p4.(3P<0>).5d"	"2[2]"	"5/2"	6	" 73795.327"	
"5s2.5p4.(3P<1>).5d"	"2[3]"	"7/2"	8	" 73977.715"	
"5s2.5p4.(3P<1>).5d"	"2[1]"	"3/2"	4	" 74587.415"	
"5s2.5p4.(3P<2>).7p"	"2[2]*"	"5/2"	6	" 74965.635"	
"5s2.5p4.(3P<2>).7p"	"2[2]*"	"3/2"	4	" 75049.514"	
"5s2.5p4.(3P<1>).5d"	"2[3]"	"5/2"	6	" 75177.235"	
"5s2.5p4.(3P<2>).7p"	"2[3]*"	"5/2"	6	" 75191.337"	
"5s2.5p4.(3P<2>).7p"	"2[3]*"	"7/2"	8	" 75194.056"	
"5s2.5p4.(3P<2>).7p"	"2[1]*"	"1/2"	2	" 75303.065"	
"5s2.5p4.(3P<2>).6d"	"2[3]"	"7/2"	8	" 75511.130"	
"5s2.5p4.(3P<2>).7p"	"2[1]*"	"3/2"	4	" 75621.427"	
"5s2.5p4.(3P<2>).6d"	"2[4]"	"9/2"	10	" 75704.140"	
"5s2.5p4.(3P<2>).6d"	"2[0]"	"1/2"	2	" 75714.423"	
