Configuration	Term	J	g	Level (cm-1)
"5s2.5p4"	"3P"	"2"	5	" 0.0"	
"5s2.5p4"	"3P"	"0"	1	" 6447.9"	
"5s2.5p4"	"3P"	"1"	3	" 7086.888"	
"5s2.5p4"	"1D"	"2"	5	" 13727.2"	
"5s2.5p4"	"1S"	"0"	1	" 29501.3"	
"5s2.5p3.(4S*).6s"	"5S*"	"2"	5	" 81032.70"	
"5s.5p5"	"3P*"	"2"	5	" 81907.83"	
"5s.5p5"	"3P*"	"1"	3	" 84222.19"	
"5s2.5p3.(4S*).6s"	"3S*"	"1"	3	" 84842.87"	
"5s2.5p3.(4S*).5d"	"5D*"	"0"	1	" 85384.15"	
"5s2.5p3.(4S*).5d"	"5D*"	"3"	7	" 85727.98"	
"5s2.5p3.(4S*).5d"	"5D*"	"4"	9	" 86036.32"	
"5s2.5p3.(4S*).5d"	"5D*"	"2"	5	" 86164.86"	
"5s2.5p3.(4S*).5d"	"5D*"	"1"	3	" 87734.06"	
"5s.5p5"	"3P*"	"0"	1	" 90404.95"	
"5s2.5p3.(4S*).5d"	"3D*"	"2"	5	" 90498.31"	
"5s2.5p3.(4S*).5d"	"3D*"	"1"	3	" 92132.61"	
"5s2.5p3.(4S*).5d"	"3D*"	"3"	7	" 93005.95"	
"5s2.5p3.(2D*).6s"	"3D*"	"2"	5	" 93691.35"	
"5s2.5p3.(2D*).6s"	"3D*"	"1"	3	" 94825.33"	
"5s.5p5"	"1P*"	"1"	3	" 95955.85"	
"5s2.5p3.(2D*).6s"	"3D*"	"3"	7	" 96650.55"	
"5s2.5p3.(2D*).5d"	"3D*"	"2"	5	" 97083.30"	
"5s2.5p3.(2D*).6s"	"1D*"	"2"	5	" 97700.81"	
"5s2.5p3.(2D*).5d"	"3P*"	"0"	1	" 97894.42"	
"5s2.5p3.(2D*).5d"	"3D*"	"3"	7	" 98175.75"	
"5s2.5p3.(4S*).6p"	"5P"	"1"	3	" 99219.61"	
"5s2.5p3.(4S*).6p"	"5P"	"2"	5	" 99327.14"	
"5s2.5p3.(2D*).5d"	"3F*"	"4"	9	" 99377.47"	
"5s2.5p3.(2D*).5d"	"3F*"	"3"	7	" 99943.10"	
"5s2.5p3.(4S*).6p"	"5P"	"3"	7	" 100402.68"	
"5s2.5p3.(2D*).5d"	"3G*"	"4"	9	" 101157.79"	
"5s2.5p3.(4S*).6p"	"3P"	"1"	3	" 101644.21"	
"5s2.5p3.(4S*).6p"	"3P"	"2"	5	" 102613.52"	
"5s2.5p3.(4S*).6p"	"3P"	"0"	1	" 103004.04"	
"5s2.5p3.(2D*).5d"	"1G*"	"4"	9	" 103101.57"	
"5s2.5p3.(2D*).5d"	"3D*"	"1"	3	" 104546.19"	
"5s2.5p3.(2P*).6s"	"3P*"	"0"	1	" 105200.97"	
"5s2.5p3.(2P*).6s"	"3P*"	"1"	3	" 106103.28"	
"5s2.5p3.(2D*).5d"	"3F*"	"2"	5	" 107511.77"	
