Configuration	Term	J	g	Level (cm-1)
"5s2.5p"	"2P*"	"1/2"	2	" 0.000"	
"5s2.5p"	"2P*"	"3/2"	4	" 2212.599"	
"5s2.6s"	"2S"	"1/2"	2	" 24372.957"	
"5s2.6p"	"2P*"	"1/2"	2	" 31816.982"	
"5s2.6p"	"2P*"	"3/2"	4	" 32115.251"	
"5s2.5d"	"2D"	"3/2"	4	" 32892.230"	
"5s2.5d"	"2D"	"5/2"	6	" 32915.539"	
"5s.5p2"	"4P"	"1/2"	2	" 34977.678"	
"5s.5p2"	"4P"	"3/2"	4	" 36020.780"	
"5s2.7s"	"2S"	"1/2"	2	" 36301.864"	
"5s.5p2"	"4P"	"5/2"	6	" 37451.962"	
"5s2.7p"	"2P*"	"1/2"	2	" 38861.43"	
"5s2.7p"	"2P*"	"3/2"	4	" 38972.90"	
"5s2.6d"	"2D"	"3/2"	4	" 39048.53"	
"5s2.6d"	"2D"	"5/2"	6	" 39098.38"	
"5s2.4f"	"2F*"	"7/2"	8	" 39707.59"	
"5s2.4f"	"2F*"	"5/2"	6	" 39707.59"	
"5s2.8s"	"2S"	"1/2"	2	" 40636.98"	
"5s2.8p"	"2P*"	"1/2"	2	" 41827.10"	
"5s2.7d"	"2D"	"3/2"	4	" 41836.41"	
"5s2.7d"	"2D"	"5/2"	6	" 41861.96"	
"5s2.8p"	"2P*"	"3/2"	4	" 41881.44"	
"5s2.5f"	"2F*"	"5/2,7/2"	14	" 42220.25"	
"5s2.9s"	"2S"	"1/2"	2	" 42719.02"	
"5s2.8d"	"2D"	"3/2"	4	" 43335.93"	
"5s2.8d"	"2D"	"5/2"	6	" 43355.08"	
"5s2.9p"	"2P*"	"1/2"	2	" 43369.09"	
"5s2.9p"	"2P*"	"3/2"	4	" 43399.53"	
"5s2.6f"	"2F*"	"5/2,7/2"	14	" 43584.66"	
"5s2.10s"	"2S"	"1/2"	2	" 43881.26"	
"5s2.9d"	"2D"	"3/2"	4	" 44234.70"	
"5s2.9d"	"2D"	"5/2"	6	" 44249.77"	
"5s2.10p"	"2P*"	"1/2"	2	" 44275.17"	
"5s2.10p"	"2P*"	"3/2"	4	" 44294.13"	
"5s2.7f"	"2F*"	"7/2"	8	" 44406.31"	
"5s2.7f"	"2F*"	"5/2"	6	" 44406.31"	
"5s2.11s"	"2S"	"1/2"	2	" 44595.86"	
"5s2.10d"	"2D"	"3/2"	4	" 44815.06"	
