Configuration	Term	J	g	Level (cm-1)
"5d7.6s2"	"a 4F"	"9/2"	10	" 0.00"	
"5d8.(3F).6s"	"b 4F"	"9/2"	10	" 2834.98"	
"5d7.6s2"	"a 4F"	"3/2"	4	" 4078.94"	
"5d7.6s2"	"a 4F"	"5/2"	6	" 5784.62"	
"5d7.6s2"	"a 4F"	"7/2"	8	" 6323.91"	
"5d8.(3F).6s"	"b 4F"	"7/2"	8	" 7106.61"	
"5d8.(3F).6s"	"b 4F"	"5/2"	6	" 9877.54"	
"5d8.(3P).6s"	"a 2P"	"3/2"	4	" 10578.68"	
"5d8.(3F).6s"	"b 4F"	"3/2"	4	" 11831.09"	
"5d8.(3F).6s"	"a 2F"	"5/2"	6	" 12218.47"	
"5d8.(3P).6s"	"a 2P"	"1/2"	2	" 12505.68"	
"5d8.(3P).6s"	"a 4P"	"5/2"	6	" 12951.67"	
"5d8.(3F).6s"	"a 2F"	"7/2"	8	" 13087.90"	
"5d7.6s2"	"a 2G"	"9/2"	10	" 13939.80"	
"5d7.6s2"	"b 4P"	"5/2"	6	" 16103.32"	
"5d8.(3P).6s"	"a 4P"	"3/2"	4	" 16565.35"	
"5d8.(3P).6s"	"a 4P"	"1/2"	2	" 16681.20"	
"5d7.6s2"	"a 2G"	"7/2"	8	" 17779.24"	
"5d7.6s2"	"b 4P"	"3/2"	4	" 18547.04"	
"5d8.(1D).6s"	"a 2D"	"5/2"	6	" 19060.62"	
"5d7.6s2"	"a 2H"	"11/2"	12	" 19593.25"	
"5d7.6s2"	"b 4P"	"1/2"	2	" 20236.70"	
"5d8.(1D).6s"	"a 2D"	"3/2"	4	" 22110.24"	
"5d7.6s2"	"b 2D"	"5/2"	6	" 23310.36"	
"5d7.6s2"	"a 2H"	"9/2"	10	" 23505.91"	
"5d7.6s2"	"b 2D"	"3/2"	4	" 26229.48"	
"5d7.6s.(5F).6p"	"z 6D*"	"9/2"	10	" 26307.50"	
"5d8.(1G).6s"	"b 2G"	"7/2"	8	" 26365.16"	
"5d9"	"c 2D"	"5/2"	6	" 26404.17"	
"5d8.(1G).6s"	"b 2G"	"9/2"	10	" 27913.84"	
"5d9"	"c 2D"	"3/2"	4	" 27970.05"	
"5d7.6s.(5F).6p"	"z 6F*"	"11/2"	12	" 28452.32"	
"5d7.6s.(5F).6p"	"z 6D*"	"7/2"	8	" 30529.66"	
"5d7.6s.(5F).6p"	"z 6D*"	"3/2"	4	" 32463.58"	
"5d7.6s.(5F).6p"	"z 6F*"	"9/2"	10	" 32513.43"	
