Configuration	Term	J	g	Level (cm-1)
"5d6"	"5D"	"4"	9	" 0.00"	
"5d6"	"5D"	"2"	5	" 5178.26"	
"5d6"	"5D"	"3"	7	" 5824.11"	
"5d6"	"5D"	"1"	3	" 8526.56"	
"5d6"	"5D"	"0"	1	" 8687.1"	
"5d6"	"3H"	"4"	9	" 14546.32"	
"5d6"	"3G"	"5"	11	" 18463.42"	
"5d6"	"3H"	"6"	13	" 19096.89"	
"5d6"	"3P2"	"2"	5	" 19128.73"	
"5d6"	"3F2"	"3"	7	" 21190.03"	
"5d6"	"3F2"	"2"	5	" 22138.98"	
"5d6"	"3F2"	"4"	9	" 25969.65"	
"5d6"	"3D"	"1"	3	" 26238.3"	
"5d6"	"3D"	"2"	5	" 27670.52"	
"5d6"	"3G"	"4"	9	" 27940.65"	
"5d6"	"3H"	"5"	11	" 28652.05"	
"5d6"	"3D"	"3"	7	" 28959.73"	
"5d6"	"3G"	"3"	7	" 30693.33"	
"5d5.(6S).6s"	"7S"	"3"	7	" 31975.85"	
"5d6"	"1I"	"6"	13	" 33303.7"	
"5d6"	"3P2"	"1"	3	" 34466.5"	
"5d6"	"1F"	"3"	7	" 35440.07"	
"5d6"	"1G2"	"4"	9	" 37387.8"	
"5d6"	"1D2"	"2"	5	" 39120.5"	
"5d6"	"3P1"	"1"	3	" 42519.6"	
"5d6"	"3F1"	"4"	9	" 46354.20"	
"5d6"	"3F1"	"2"	5	" 46564.6"	
"5d5.(6S).6s"	"5S"	"2"	5	" 50417.92"	
"5d6"	"3F1"	"3"	7	" 52259.88"	
"5d6"	"3P1"	"2"	5	" 52858.41"	
"5d6"	"1G1"	"4"	9	" 53982.0"	
"5d5.6s"	"54464"	"3"	7	" 54464.11"	
"5d5.(4G).6s"	"5G"	"2"	5	" 55627.70"	
"5d5.(4G).6s"	"5G"	"4"	9	" 58041.98"	
"5d5.(4G).6s"	"5G"	"6"	13	" 58740.09"	
"5d5.(4D).6s"	"5D"	"2"	5	" 59206.99"	
"5d5.(4G).6s"	"5G"	"5"	11	" 59210.11"	
"5d5.(4G).6s"	"5G"	"3"	7	" 59232.65"	
"5d5.(4D).6s"	"5D"	"1"	3	" 60272.97"	
"5d5.(4D).6s"	"5D"	"4"	9	" 63912.64"	
"5d5.(4D).6s"	"5D"	"0"	1	" 65108.69"	
"5d5.(4D).6s"	"5D"	"3"	7	" 66110.16"	
"5d5.(4P).6s"	"5P"	"1"	3	" 67091.9"	
"5d5.(4P).6s"	"5P"	"2"	5	" 68255.33"	
"5d5.(4G).6s"	"3G"	"5"	11	" 69158.48"	
"5d5.(4G).6s"	"3G"	"3"	7	" 69741.38"	
"5d5.(2D3).6s"	"3D"	"2"	5	" 70298.76"	
"5d5.(4G).6s"	"3G"	"4"	9	" 71191.62"	
"5d5.(4F).6s"	"5F"	"1"	3	" 71884.65"	
"5d5.(2I).6s"	"3I"	"6"	13	" 72737.30"	
"5d5.(4F).6s"	"5F"	"5"	11	" 73067.88"	
"5d5.(4F).6s"	"5F"	"4"	9	" 74057.35"	
"5d5.(4F).6s"	"5F"	"3"	7	" 74545.24"	
"5d5.(4F).6s"	"5F"	"2"	5	" 75164.22"	
"5d5.(2I).6s"	"3I"	"7"	15	" 75494.15"	
"5d5.(2I).6s"	"3I"	"5"	11	" 76295.33"	
"5d5.(4D).6s"	"3D"	"3"	7	" 76493.69"	
"5d5.6s"	"79208"	"3"	7	" 79208.51"	
"5d5.6s"	"79502"	"4"	9	" 79502.00"	
"5d5.(2I).6s"	"1I"	"6"	13	" 80577.63"	
"5d5.(2F2).6s"	"3F"	"2"	5	" 81351.39"	
"5d5.(2G2).6s"	"3G"	"5"	11	" 81605.68"	
"5d5.(2G2).6s"	"3G"	"3"	7	" 82458.31"	
"5d5.6s"	"84005"	"4"	9	" 84005.15"	
"5d5.(2H).6s"	"3H"	"4"	9	" 84734.80"	
"5d5.(2F2).6s"	"3F"	"3"	7	" 85249.67"	
"5d5.6s"	"87782"	"4"	9	" 87782.64"	
"5d5.(2F2).6s"	"1F"	"3"	7	" 88009.29"	
"5d5.(2H).6s"	"3H"	"5"	11	" 90123.22"	
"5d5.6s"	"90497"	"4"	9	" 90497.75"	
"5d5.(4F).6s"	"3F"	"2"	5	" 91225.6"	
"5d5.(2H).6s"	"3H"	"6"	13	" 91240.96"	
"5d5.(2H).6s"	"1H"	"5"	11	" 95628.69"	
"5d5.(6S).6p"	"7P*"	"2"	5	" 98528.3"	
"5d5.(6S).6p"	"7P*"	"3"	7	" 100573.47"	
"5d5.(6S).6p"	"7P*"	"4"	9	" 113462.4"	
"5d5.6p"	"113807*"	"2"	5	" 113807.41"	
"5d5.6p"	"115636*"	"3"	7	" 115636.19"	
"5d5.6p"	"118330*"	"3"	7	" 118330.45"	
"5d5.(6S).6p"	"5P*"	"2"	5	" 118527.90"	
"5d5.(6S).6p"	"5P*"	"1"	3	" 118786.27"	
"5d5.6p"	"120722*"	"4"	9	" 120722.59"	
"5d5.6p"	"120891*"	"2"	5	" 120891.70"	
"5d5.6p"	"121359*"	"1"	3	" 121359.77"	
"5d5.6p"	"121902*"	"3"	7	" 121902.29"	
"5d5.6p"	"122338*"	"5"	11	" 122338.65"	
"5d5.6p"	"122611*"	"6"	13	" 122611.21"	
"5d5.6p"	"122746*"	"2"	5	" 122746.29"	
"5d5.6p"	"123202*"	"3"	7	" 123202.06"	
"5d5.6p"	"125224*"	"4"	9	" 125224.81"	
"5d5.6p"	"125982*"	"5"	11	" 125982.14"	
"5d5.6p"	"127824*"	"1"	3	" 127824.31"	
"5d5.6p"	"128493*"	"4"	9	" 128493.21"	
"5d5.6p"	"129069*"	"3"	7	" 129069.98"	
"5d5.6p"	"129741*"	"3"	7	" 129741.29"	
"5d5.6p"	"130875*"	"2"	5	" 130875.24"	
"5d5.6p"	"132088*"	"4"	9	" 132088.18"	
"5d5.6p"	"132468*"	"2"	5	" 132468.31"	
"5d5.6p"	"133037*"	"3"	7	" 133037.83"	
"5d5.6p"	"133204*"	"2"	5	" 133204.10"	
"5d5.6p"	"133412*"	"5"	11	" 133412.78"	
"5d5.(2I).6p"	"3K*"	"6"	13	" 133911.73"	
"5d5.6p"	"134025*"	"4"	9	" 134025.31"	
"5d5.6p"	"134707*"	"2"	5	" 134707.64"	
"5d5.6p"	"135420*"	"3"	7	" 135420.03"	
"5d5.6p"	"135484*"	"1"	3	" 135484.56"	
"5d5.6p"	"135595*"	"4"	9	" 135595.44"	
"5d5.6p"	"135950*"	"1"	3	" 135950.44"	
"5d5.6p"	"136429*"	"5"	11	" 136429.29"	
"5d5.6p"	"137142*"	"1"	3	" 137142.67"	
"5d5.(4G).6p"	"5H*"	"7"	15	" 137224.74"	
"5d5.6p"	"137229*"	"2"	5	" 137229.06"	
"5d5.6p"	"137277*"	"4"	9	" 137277.36"	
"5d5.6p"	"137685*"	"5"	11	" 137685.88"	
"5d5.6p"	"137700*"	"3"	7	" 137700.64"	
"5d5.6p"	"138121*"	"6"	13	" 138121.21"	
"5d5.(2I).6p"	"3K*"	"7"	15	" 138463.86"	
"5d5.6p"	"138529*"	"3"	7	" 138529.81"	
"5d5.6p"	"138612*"	"2"	5	" 138612.56"	
"5d5.(4G).6p"	"5H*"	"6"	13	" 139094.74"	
"5d5.6p"	"139739*"	"5"	11	" 139739.81"	
"5d5.6p"	"139998*"	"4"	9	" 139998.38"	
"5d5.6p"	"140054*"	"3"	7	" 140054.55"	
"5d5.6p"	"140473*"	"2"	5	" 140473.23"	
"5d5.6p"	"140526*"	"3"	7	" 140526.92"	
"5d5.(4D).6p"	"5P*"	"1"	3	" 140678.86"	
"5d5.6p"	"141141*"	"4"	9	" 141141.16"	
"5d5.6p"	"141214*"	"3"	7	" 141214.36"	
"5d5.6p"	"141466*"	"2"	5	" 141466.8"	
