Configuration	Term	J	g	Level (cm-1)
"3p6.4s"	"2S"	"1/2"	2	" 0.0000"	
"3p6.4p"	"2P*"	"1/2"	2	" 12985.185724"	
"3p6.4p"	"2P*"	"3/2"	4	" 13042.896027"	
"3p6.5s"	"2S"	"1/2"	2	" 21026.551"	
"3p6.3d"	"2D"	"5/2"	6	" 21534.680"	
"3p6.3d"	"2D"	"3/2"	4	" 21536.988"	
"3p6.5p"	"2P*"	"1/2"	2	" 24701.382"	
"3p6.5p"	"2P*"	"3/2"	4	" 24720.139"	
"3p6.4d"	"2D"	"5/2"	6	" 27397.077"	
"3p6.4d"	"2D"	"3/2"	4	" 27398.147"	
"3p6.6s"	"2S"	"1/2"	2	" 27450.7104"	
"3p6.4f"	"2F*"	"5/2"	6	" 28127.85"	
"3p6.4f"	"2F*"	"7/2"	8	" 28127.85"	
"3p6.6p"	"2P*"	"1/2"	2	" 28999.27"	
"3p6.6p"	"2P*"	"3/2"	4	" 29007.71"	
"3p6.5d"	"2D"	"5/2"	6	" 30185.2439"	
"3p6.5d"	"2D"	"3/2"	4	" 30185.7476"	
"3p6.7s"	"2S"	"1/2"	2	" 30274.2487"	
"3p6.5f"	"2F*"	"5/2"	6	" 30606.73"	
"3p6.5f"	"2F*"	"7/2"	8	" 30606.73"	
"3p6.5g"	"2G"	"7/2"	8	" 30617.31"	
"3p6.5g"	"2G"	"9/2"	10	" 30617.31"	
"3p6.7p"	"2P*"	"1/2"	2	" 31069.90"	
"3p6.7p"	"2P*"	"3/2"	4	" 31074.40"	
"3p6.6d"	"2D"	"5/2"	6	" 31695.9005"	
"3p6.6d"	"2D"	"3/2"	4	" 31696.1661"	
"3p6.8s"	"2S"	"1/2"	2	" 31765.3767"	
"3p6.6f"	"2F*"	"5/2"	6	" 31953.17"	
"3p6.6f"	"2F*"	"7/2"	8	" 31953.17"	
"3p6.8p"	"2P*"	"1/2"	2	" 32227.44"	
"3p6.8p"	"2P*"	"3/2"	4	" 32230.11"	
"3p6.7d"	"2D"	"5/2"	6	" 32598.2881"	
"3p6.7d"	"2D"	"3/2"	4	" 32598.4437"	
"3p6.9s"	"2S"	"1/2"	2	" 32648.3511"	
"3p6.7f"	"2F*"	"5/2"	6	" 32764.80"	
"3p6.7f"	"2F*"	"7/2"	8	" 32764.80"	
"3p6.9p"	"2P*"	"1/2"	2	" 32940.2030"	
"3p6.9p"	"2P*"	"3/2"	4	" 32941.9262"	
"3p6.8d"	"2D"	"5/2"	6	" 33178.1339"	
"3p6.8d"	"2D"	"3/2"	4	" 33178.2324"	
"3p6.10s"	"2S"	"1/2"	2	" 33214.2267"	
"3p6.8f"	"2F*"	"5/2"	6	" 33291.40"	
"3p6.8f"	"2F*"	"7/2"	8	" 33291.40"	
"3p6.10p"	"2P*"	"1/2"	2	" 33410.2306"	
"3p6.10p"	"2P*"	"3/2"	4	" 33411.3986"	
"3p6.9d"	"2D"	"5/2"	6	" 33572.0592"	
"3p6.9d"	"2D"	"3/2"	4	" 33572.1249"	
"3p6.11s"	"2S"	"1/2"	2	" 33598.5597"	
"3p6.9f"	"2F*"	"5/2"	6	" 33652.32"	
"3p6.9f"	"2F*"	"7/2"	8	" 33652.32"	
"3p6.11p"	"2P*"	"1/2"	2	" 33736.4979"	
"3p6.11p"	"2P*"	"3/2"	4	" 33737.3284"	
"3p6.10d"	"2D"	"5/2"	6	" 33851.5956"	
"3p6.10d"	"2D"	"3/2"	4	" 33851.6418"	
"3p6.12s"	"2S"	"1/2"	2	" 33871.4788"	
"3p6.10f"	"2F*"	"5/2"	6	" 33910.42"	
"3p6.10f"	"2F*"	"7/2"	8	" 33910.42"	
"3p6.12p"	"2P*"	"1/2"	2	" 33972.2064"	
"3p6.12p"	"2P*"	"3/2"	4	" 33972.8148"	
"3p6.11d"	"2D"	"5/2"	6	" 34057.0051"	
"3p6.11d"	"2D"	"3/2"	4	" 34057.0385"	
"3p6.13s"	"2S"	"1/2"	2	" 34072.2393"	
"3p6.11f"	"2F*"	"5/2"	6	" 34101.36"	
"3p6.11f"	"2F*"	"7/2"	8	" 34101.36"	
"3p6.13p"	"2P*"	"1/2"	2	" 34148.0284"	
"3p6.13p"	"2P*"	"3/2"	4	" 34148.4861"	
"3p6.12d"	"2D"	"5/2"	6	" 34212.3139"	
"3p6.12d"	"2D"	"3/2"	4	" 34212.3393"	
"3p6.14s"	"2S"	"1/2"	2	" 34224.2113"	
"3p6.12f"	"2F*"	"5/2"	6	" 34246.37"	
"3p6.12f"	"2F*"	"7/2"	8	" 34246.37"	
"3p6.14p"	"2P*"	"1/2"	2	" 34282.6573"	
"3p6.14p"	"2P*"	"3/2"	4	" 34283.0181"	
"3p6.13d"	"2D"	"5/2"	6	" 34332.5627"	
"3p6.13d"	"2D"	"3/2"	4	" 34332.5823"	
"3p6.15s"	"2S"	"1/2"	2	" 34342.0150"	
"3p6.13f"	"2F*"	"5/2"	6	" 34359.36"	
"3p6.13f"	"2F*"	"7/2"	8	" 34359.36"	
"3p6.15p"	"2P*"	"1/2"	2	" 34388.0315"	
"3p6.15p"	"2P*"	"3/2"	4	" 34388.3148"	
"3p6.14d"	"2D"	"5/2"	6	" 34427.5513"	
"3p6.14d"	"2D"	"3/2"	4	" 34427.5667"	
"3p6.16s"	"2S"	"1/2"	2	" 34435.1762"	
"3p6.14f"	"2F*"	"5/2"	6	" 34448.98"	
"3p6.14f"	"2F*"	"7/2"	8	" 34448.98"	
"3p6.16p"	"2P*"	"1/2"	2	" 34472.0505"	
"3p6.16p"	"2P*"	"3/2"	4	" 34472.2798"	
"3p6.15d"	"2D"	"5/2"	6	" 34503.8844"	
"3p6.15d"	"2D"	"3/2"	4	" 34503.8967"	
"3p6.17s"	"2S"	"1/2"	2	" 34510.1190"	
"3p6.17p"	"2P*"	"1/2"	2	" 34540.1250"	
"3p6.17p"	"2P*"	"3/2"	4	" 34540.3088"	
"3p6.16d"	"2D"	"5/2"	6	" 34566.1420"	
"3p6.16d"	"2D"	"3/2"	4	" 34566.1522"	
"3p6.18s"	"2S"	"1/2"	2	" 34571.3017"	
"3p6.18p"	"2P*"	"1/2"	2	" 34596.0448"	
"3p6.18p"	"2P*"	"3/2"	4	" 34596.1996"	
"3p6.17d"	"2D"	"5/2"	6	" 34617.5815"	
"3p6.17d"	"2D"	"3/2"	4	" 34617.5899"	
"3p6.19s"	"2S"	"1/2"	2	" 34621.8976"	
"3p6.19p"	"2P*"	"3/2"	4	" 34642.6698"	
"3p6.18d"	"2D"	"5/2"	6	" 34660.5702"	
"3p6.18d"	"2D"	"3/2"	4	" 34660.5772"	
"3p6.20s"	"2S"	"1/2"	2	" 34664.2161"	
"3p6.20p"	"2P*"	"3/2"	4	" 34681.7220"	
"3p6.19d"	"2D"	"5/2"	6	" 34696.8629"	
"3p6.19d"	"2D"	"3/2"	4	" 34696.8689"	
"3p6.21s"	"2S"	"1/2"	2	" 34699.9692"	
"3p6.21p"	"2P*"	"3/2"	4	" 34714.8646"	
"3p6.20d"	"2D"	"5/2"	6	" 34727.7798"	
"3p6.20d"	"2D"	"3/2"	4	" 34727.7849"	
"3p6.22s"	"2S"	"1/2"	2	" 34730.4476"	
"3p6.21d"	"2D"	"5/2"	6	" 34754.3327"	
"3p6.21d"	"2D"	"3/2"	4	" 34754.3371"	
"3p6.23s"	"2S"	"1/2"	2	" 34756.6407"	
"3p6.22d"	"2D"	"5/2"	6	" 34777.3058"	
"3p6.22d"	"2D"	"3/2"	4	" 34777.3096"	
"3p6.24s"	"2S"	"1/2"	2	" 34779.3147"	
"3p6.23d"	"2D"	"5/2"	6	" 34797.3141"	
"3p6.23d"	"2D"	"3/2"	4	" 34797.3174"	
"3p6.25s"	"2S"	"1/2"	2	" 34799.0740"	
"3p6.24d"	"2D"	"5/2"	6	" 34814.8472"	
"3p6.24d"	"2D"	"3/2"	4	" 34814.8502"	
"3p6.26s"	"2S"	"1/2"	2	" 34816.3971"	
"3p6.25d"	"2D"	"5/2"	6	" 34830.2969"	
"3p6.25d"	"2D"	"3/2"	4	" 34830.2994"	
"3p6.27s"	"2S"	"1/2"	2	" 34831.6690"	
"3p6.26d"	"2D"	"5/2"	6	" 34843.9804"	
"3p6.26d"	"2D"	"3/2"	4	" 34843.9827"	
"3p6.28s"	"2S"	"1/2"	2	" 34845.2004"	
"3p6.27d"	"2D"	"5/2"	6	" 34856.1570"	
"3p6.27d"	"2D"	"3/2"	4	" 34856.1590"	
"3p6.29s"	"2S"	"1/2"	2	" 34857.2470"	
"3p6.28d"	"2D"	"5/2"	6	" 34867.0404"	
"3p6.28d"	"2D"	"3/2"	4	" 34867.0423"	
"3p6.30s"	"2S"	"1/2"	2	" 34868.0180"	
"3p6.29d"	"2D"	"5/2"	6	"[34876.8070]"	
"3p6.29d"	"2D"	"3/2"	4	"[34876.8087]"	
"3p6.31s"	"2S"	"1/2"	2	"[34877.6871]"	
"3p6.30d"	"2D"	"5/2"	6	" 34885.6048"	
"3p6.30d"	"2D"	"3/2"	4	" 34885.6062"	
"3p6.32s"	"2S"	"1/2"	2	" 34886.3999"	
"3p6.31d"	"2D"	"5/2"	6	"[34893.5578]"	
"3p6.31d"	"2D"	"3/2"	4	"[34893.5591]"	
"3p6.33s"	"2S"	"1/2"	2	"[34894.2785]"	
"3p6.32d"	"2D"	"5/2"	6	" 34900.7707"	
"3p6.32d"	"2D"	"3/2"	4	" 34900.7719"	
"3p6.34s"	"2S"	"1/2"	2	" 34901.4264"	
"3p6.33d"	"2D"	"5/2"	6	"[34907.3326]"	
"3p6.33d"	"2D"	"3/2"	4	"[34907.3337]"	
"3p6.35s"	"2S"	"1/2"	2	"[34907.9301]"	
"3p6.34d"	"2D"	"5/2"	6	" 34913.3194"	
"3p6.34d"	"2D"	"3/2"	4	" 34913.3204"	
"3p6.36s"	"2S"	"1/2"	2	" 34913.8657"	
"3p6.35d"	"2D"	"5/2"	6	"[34918.7968]"	
"3p6.35d"	"2D"	"3/2"	4	"[34918.7976]"	
"3p6.37s"	"2S"	"1/2"	2	"[34919.2976]"	
"3p6.36d"	"2D"	"5/2"	6	" 34923.8203"	
"3p6.36d"	"2D"	"3/2"	4	" 34923.8212"	
"3p6.38s"	"2S"	"1/2"	2	" 34924.2808"	
"3p6.37d"	"2D"	"5/2"	6	"[34928.4396]"	
"3p6.37d"	"2D"	"3/2"	4	"[34928.4403]"	
"3p6.39s"	"2S"	"1/2"	2	"[34928.8634]"	
"3p6.38d"	"2D"	"5/2"	6	" 34932.6961"	
"3p6.38d"	"2D"	"3/2"	4	" 34932.6969"	
"3p6.40s"	"2S"	"1/2"	2	" 34933.0874"	
"3p6.39d"	"2D"	"5/2"	6	"[34936.6273]"	
"3p6.39d"	"2D"	"3/2"	4	"[34936.6279]"	
"3p6.41s"	"2S"	"1/2"	2	"[34936.9892]"	
"3p6.40d"	"2D"	"5/2"	6	" 34940.2653"	
"3p6.40d"	"2D"	"3/2"	4	" 34940.2660"	
"3p6.42s"	"2S"	"1/2"	2	" 34940.6009"	
"3p6.41d"	"2D"	"5/2"	6	"[34943.6386]"	
"3p6.41d"	"2D"	"3/2"	4	"[34943.6393]"	
"3p6.43s"	"2S"	"1/2"	2	"[34943.9500]"	
"3p6.42d"	"2D"	"5/2"	6	" 34946.7726"	
"3p6.42d"	"2D"	"3/2"	4	"[34946.7730]"	
"3p6.44s"	"2S"	"1/2"	2	" 34947.0620"	
"3p6.43d"	"2D"	"5/2"	6	"[34949.6886]"	
"3p6.43d"	"2D"	"3/2"	4	"[34949.6892]"	
"3p6.45s"	"2S"	"1/2"	2	"[34949.9585]"	
"3p6.44d"	"2D"	"5/2"	6	"[34952.4071]"	
"3p6.44d"	"2D"	"3/2"	4	"[34952.4077]"	
"3p6.46s"	"2S"	"1/2"	2	" 34952.6589"	
"3p6.45d"	"2D"	"5/2"	6	"[34954.9453]"	
"3p6.45d"	"2D"	"3/2"	4	"[34954.9458]"	
"3p6.46d"	"2D"	"5/2"	6	" 34957.3187"	
"3p6.46d"	"2D"	"3/2"	4	"[34957.3193]"	
"K II (3p6 1S<0>)"	"Limit"	"---"		" 35009.8140"	
"3p5.4s2"	"2P*"	"3/2"	4	" 151008"	
"3p5.4s2"	"2P*"	"1/2"	2	" 153085"	
"3p5.3d.(3P*).4s"	"4P*"	"1/2"	2	" 159367"	
"3p5.3d.(3P*).4s"	"4P*"	"3/2"	4	" 159678"	
"3p5.3d.(3P*).4s"	"4P*"	"5/2"	6	" 160245"	
"3p5.(2P*).4s.4p.(3P*)"	"4S"	"3/2"	4	" 161473"	
