Configuration	Term	J	g	Level (cm-1)
"3p6"	"1S"	"0"	1	" 0.0"	
"3p5.4s"	"3P*"	"2"	5	" 162502.7"	
"3p5.4s"	"3P*"	"1"	3	" 163232.2"	
"3p5.3d"	"3P*"	"0"	1	" 163432.1"	
"3p5.3d"	"3P*"	"1"	3	" 164492.0"	
"3p5.3d"	"3P*"	"2"	5	" 164927.9"	
"3p5.4s"	"3P*"	"0"	1	" 165145.4"	
"3p5.4s"	"1P*"	"1"	3	" 166457.3"	
"3p5.3d"	"3F*"	"4"	9	" 170049.2"	
"3p5.3d"	"3F*"	"3"	7	" 170831.1"	
"3p5.3d"	"3F*"	"2"	5	" 171522.6"	
"3p5.3d"	"1D*"	"2"	5	" 179349.2"	
"3p5.3d"	"3D*"	"3"	7	" 179395.8"	
"3p5.3d"	"3D*"	"2"	5	" 180392.7"	
"3p5.3d"	"3D*"	"1"	3	" 180448.9"	
"3p5.3d"	"1F*"	"3"	7	" 180618.7"	
"3p5.4p"	"3S"	"1"	3	" 183204.1"	
"3p5.4p"	"3D"	"3"	7	" 186383.8"	
"3p5.4p"	"3D"	"2"	5	" 186681.4"	
"3p5.4p"	"3D"	"1"	3	" 187527.0"	
"3p5.4p"	"1D"	"2"	5	" 188150.3"	
"3p5.4p"	"1P"	"1"	3	" 189239.5"	
"3p5.4p"	"3P"	"2"	5	" 189657.4"	
"3p5.4p"	"3P"	"0"	1	" 189768.0"	
"3p5.4p"	"3P"	"1"	3	" 190130.7"	
"3p5.4p"	"1S"	"0"	1	" 194772.2"	
"3p5.3d"	"1P*"	"1"	3	" 201957.6"	
"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	" 212571.2"	
"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	" 212988.6"	
"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	1	" 214722.7"	
"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	" 215014.6"	
"3p5.4d"	"3P*"	"0"	1	"(215121)"	
"3p5.4d"	"3P*"	"1"	3	" 215400.9"	
