Configuration	Term	J	g	Level (cm-1)
"4s2.4p6"	"1S"	"0"	1	" 0.0000"	
"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	" 79971.7417"	
"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	" 80916.7680"	
"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	1	" 85191.6166"	
"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	" 85846.7046"	
"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	3	" 91168.5150"	
"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	7	" 92294.4012"	
"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	5	" 92307.3786"	
"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	3	" 92964.3943"	
"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	5	" 93123.3409"	
"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	1	" 94092.8626"	
"4s2.4p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"	1	" 96771.494"	
"4s2.4p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	3	" 97085.193"	
"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	3	" 97595.9153"	
"4s2.4p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"	5	" 97687.779"	
"4s2.4p5.(2P*<3/2>).4d"	"2[7/2]*"	"4"	9	" 97797.287"	
"4s2.4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	3	" 97919.1468"	
"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	5	" 97945.1664"	
"4s2.4p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	7	" 98226.268"	
"4s2.4p5.(2P*<1/2>).5p"	"2[1/2]"	"0"	1	" 98855.0698"	
"4s2.4p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"	5	" 98867.429"	
"4s2.4p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"	7	" 99079.367"	
"4s2.4p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	5	" 99626.882"	
"4s2.4p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"	3	" 99646.212"	
"4s2.4p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	3	" 99894.0485"	
"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	3	" 102887.1936"	
"4s2.4p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	7	" 103115.6343"	
"4s2.4p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	5	" 103121.1419"	
"4s2.4p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"	5	" 103266.339"	
"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	3	" 103313.4726"	
"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	5	" 103362.6124"	
"4s2.4p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	5	" 103442.690"	
"4s2.4p5.(2P*<1/2>).4d"	"2[5/2]*"	"3"	7	" 103701.439"	
"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	1	" 103761.6336"	
"4s2.4p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	3	" 103801.7929"	
"4s2.4p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	1	" 104073.471"	
"4s2.4p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	9	" 104630.57"	
"4s2.4p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"	3	" 104887.315"	
"4s2.4p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	7	" 104916.4792"	
"4s2.4p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	5	" 105007.245"	
"4s2.4p5.(2P*<1/2>).6s"	"2[1/2]*"	"0"	1	" 105091.35"	
"4s2.4p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	3	" 105146.33"	
"4s2.4p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	5	" 105163.499"	
"4s2.4p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	7	" 105208.476"	
