Configuration	Term	J	g	Level (cm-1)
"4s2.4p4"	"3P"	"2"	5	" 0.0"	
"4s2.4p4"	"3P"	"1"	3	" 4548.4"	
"4s2.4p4"	"3P"	"0"	1	" 5312.9"	
"4s2.4p4"	"1D"	"2"	5	" 14644.3"	
"4s2.4p4"	"1S"	"0"	1	" 33079.6"	
"4s.4p5"	"3P*"	"2"	5	" 115930.93"	
"4s.4p5"	"3P*"	"1"	3	" 119380.23"	
"4s.4p5"	"3P*"	"0"	1	" 121542.96"	
"4s2.4p3.(4S*).4d"	"5D*"	"0"	1	" 138446.69"	
"4s2.4p3.(4S*).4d"	"5D*"	"1"	3	" 138470.97"	
"4s2.4p3.(4S*).4d"	"5D*"	"2"	5	" 138480.60"	
"4s2.4p3.(4S*).4d"	"5D*"	"3"	7	" 138492.55"	
"4s2.4p3.(4S*).4d"	"5D*"	"4"	9	" 138649.15"	
"4s.4p5"	"1P*"	"1"	3	" 141876.16"	
"4s2.4p3.(4S*).5s"	"5S*"	"2"	5	" 145718.87"	
"4s2.4p3.(4S*).4d"	"3D*"	"2"	5	" 147804.55"	
"4s2.4p3.(4S*).4d"	"3D*"	"3"	7	" 148735.32"	
"4s2.4p3.(4S*).4d"	"3D*"	"1"	3	" 149071.85"	
"4s2.4p3.(4S*).5s"	"3S*"	"1"	3	" 151580.19"	
"4s2.4p3.(2D*).4d"	"3F*"	"2"	5	" 153563.20"	
"4s2.4p3.(2D*).4d"	"1S*"	"0"	1	" 154399.71"	
"4s2.4p3.(2D*).4d"	"3F*"	"3"	7	" 154699.86"	
"4s2.4p3.(2D*).4d"	"3F*"	"4"	9	" 156081.96"	
"4s2.4p3.(2D*).4d"	"3G*"	"3"	7	" 159996.43"	
"4s2.4p3.(2D*).4d"	"3G*"	"4"	9	" 160414.86"	
"4s2.4p3.(2D*).4d"	"3G*"	"5"	11	" 161108.61"	
"4s2.4p3.(2D*).4d"	"1G*"	"4"	9	" 162841.05"	
"4s2.4p3.(2D*).5s"	"3D*"	"1"	3	" 163268.92"	
"4s2.4p3.(2D*).5s"	"3D*"	"2"	5	" 163635.84"	
"4s2.4p3.(2D*).5s"	"3D*"	"3"	7	" 165053.45"	
