Configuration	Term	J	g	Level (cm-1)
"4s2.4p3"	"4S*"	"3/2"	4	" 0.0"	
"4s2.4p3"	"2D*"	"3/2"	4	" 17037.6"	
"4s2.4p3"	"2D*"	"5/2"	6	" 18700.3"	
"4s2.4p3"	"2P*"	"1/2"	2	" 31056.4"	
"4s2.4p3"	"2P*"	"3/2"	4	" 33405.6"	
"4s.4p4"	"4P"	"5/2"	6	" 118761.5"	
"4s.4p4"	"4P"	"3/2"	4	" 122426.5"	
"4s.4p4"	"4P"	"1/2"	2	" 124109.7"	
"4s.4p4"	"2D"	"3/2"	4	" 145772.8"	
"4s.4p4"	"2D"	"5/2"	6	" 146644.7"	
"4s2.4p2.(3P).4d"	"2P"	"3/2"	4	" 163445.1"	
"4s.4p4"	"2P"	"1/2"	2	" 166160.9"	
"4s2.4p2.(3P).4d"	"4F"	"3/2"	4	" 172724.0"	
"4s.4p4"	"2S"	"1/2"	2	" 173952.1"	
"4s2.4p2.(3P).4d"	"4F"	"5/2"	6	" 174105.7"	
"4s2.4p2.(3P).4d"	"4F"	"7/2"	8	" 176231.0"	
"4s2.4p2.(3P).4d"	"4F"	"9/2"	10	" 178877.0"	
"4s2.4p2.(1D).4d"	"2F"	"5/2"	6	" 179228.3"	
"4s2.4p2.(3P).4d"	"4D"	"1/2"	2	" 180686.7"	
"4s2.4p2.(3P).4d"	"4D"	"7/2"	8	" 180764.4"	
"4s2.4p2.(3P).4d"	"4D"	"3/2"	4	" 181000.5"	
"4s2.4p2.(3P).4d"	"4D"	"5/2"	6	" 182668.4"	
"4s2.4p2.(1D).4d"	"2F"	"7/2"	8	" 186565.6"	
"4s2.4p2.(3P).4d"	"4P"	"5/2"	6	" 201424.2"	
"4s2.4p2.(3P).5s"	"4P"	"1/2"	2	" 202373.3"	
"4s2.4p2.(3P).4d"	"4P"	"1/2"	2	" 204735.4"	
"4s2.4p2.(3P).5s"	"4P"	"3/2"	4	" 205214.5"	
"4s.4p4"	"2P"	"3/2"	4	" 205399.6"	
"4s2.4p2.(3P).4d"	"2D"	"3/2"	4	" 207595.4"	
"4s2.4p2.(3P).5s"	"4P"	"5/2"	6	" 208064.1"	
"4s2.4p2.(3P).5s"	"2P"	"1/2"	2	" 208920."	
"4s2.4p2.(1D).4d"	"2P"	"1/2"	2	" 210347.7"	
"4s2.4p2.(3P).5s"	"2P"	"3/2"	4	" 211685.5"	
