Configuration	Term	J	g	Level (cm-1)
"5d.6s2"	"2D"	"3/2"	4	" 0.000"	
"5d.6s2"	"2D"	"5/2"	6	" 1053.164"	
"5d2.(3F).6s"	"4F"	"3/2"	4	" 2668.188"	
"5d2.(3F).6s"	"4F"	"5/2"	6	" 3010.002"	
"5d2.(3F).6s"	"4F"	"7/2"	8	" 3494.526"	
"5d2.(3F).6s"	"4F"	"9/2"	10	" 4121.572"	
"5d2.(3F).6s"	"2F"	"5/2"	6	" 7011.909"	
"5d2.(3P).6s"	"4P"	"1/2"	2	" 7231.407"	
"5d2.(3P).6s"	"4P"	"3/2"	4	" 7490.521"	
"5d2.(3P).6s"	"4P"	"5/2"	6	" 7679.939"	
"5d2.(3F).6s"	"2F"	"7/2"	8	" 8052.162"	
"5d2.(1D).6s"	"2D"	"3/2"	4	" 8446.044"	
"5d2.(3P).6s"	"2P"	"1/2"	2	" 9044.214"	
"5d2.(1D).6s"	"2D"	"5/2"	6	" 9183.797"	
"5d2.(3P).6s"	"2P"	"3/2"	4	" 9719.439"	
"5d2.(1G).6s"	"2G"	"9/2"	10	" 9919.821"	
"5d2.(1G).6s"	"2G"	"7/2"	8	" 9960.904"	
"5d3"	"4F"	"3/2"	4	" 12430.609"	
"5d3"	"4F"	"5/2"	6	" 12787.404"	
"5d3"	"4F"	"7/2"	8	" 13238.323"	
"5d.6s.(3D).6p"	"4F*"	"3/2"	4	" 13260.38"	
"5d.6s.(3D).6p"	"*"	"5/2"	6	" 13631.04"	
"5d3"	"4F"	"9/2"	10	" 13747.276"	
"5d.6s.(3D).6p"	"4D*"	"1/2"	2	" 14095.69"	
"5d.6s.(3D).6p"	"4D*"	"3/2"	4	" 14708.92"	
"5d.6s.(3D).6p"	"4F*"	"5/2"	6	" 14804.08"	
"5d.6s.(3D).6p"	"4F*"	"7/2"	8	" 15019.51"	
"5d.6s.(3D).6p"	"*"	"3/2"	4	" 15031.64"	
"4f.6s2"	"2F*"	"5/2"	6	" 15196.83"	
"5d.6s.(3D).6p"	"*"	"1/2"	2	" 15219.89"	
"5d.6s.(3D).6p"	"4D*"	"5/2"	6	" 15503.64"	
"5d.6s.(3D).6p"	"4D*"	"7/2"	8	" 16099.29"	
"5d.6s.(3D).6p"	"4F*"	"9/2"	10	" 16243.17"	
"6s2.6p"	"*"	"3/2"	4	" 16280.26"	
"4f.6s2"	"2F*"	"7/2"	8	" 16538.39"	
"5d3"	"4P"	"1/2"	2	" 16617.30"	
"5d3"	"4P"	"3/2"	4	" 16735.14"	
"5d2.(3F).6p"	"*"	"5/2"	6	" 16856.80"	
"5d2.(1S).6s"	"2S"	"1/2"	2	" 16991.42"	
"5d3"	"2G"	"7/2"	8	" 17023.36"	
"5d3"	"4P"	"5/2"	6	" 17099.38"	
"5d3"	"2G"	"9/2"	10	" 17140.90"	
"5d.6s.(3D).6p"	"4P*"	"1/2"	2	" 17567.49"	
"5d.6s.(3D).6p"	"4P*"	"3/2"	4	" 17797.29"	
"5d2.(3F).6p"	"*"	"7/2"	8	" 17910.17"	
"5d2.(3F).6p"	"4G*"	"5/2"	6	" 17947.13"	
"5d3"	"2D2"	"3/2"	4	" 18037.64"	
"5d.6s.(3D).6p"	"4P*"	"5/2"	6	" 18156.97"	
"5d2.(3F).6p"	"2D*"	"3/2"	4	" 18172.35"	
"5d3"	"2H"	"11/2"	12	" 18310.92"	
"5d3"	"2H"	"9/2"	10	" 18315.88"	
"5d2.(3F).6p"	"4G*"	"7/2"	8	" 18603.92"	
"5d3"	"2D2"	"5/2"	6	" 18776.62"	
"5d2.(3F).6p"	"4G*"	"9/2"	10	" 19129.31"	
"5d2.(3F).6p"	"2D*"	"5/2"	6	" 19379.40"	
"5d.6s.(1D).6p"	"*"	"3/2"	4	" 20018.99"	
"5d2.(3F).6p"	"4F*"	"3/2"	4	" 20082.98"	
"5d2.(3F).6p"	"4G*"	"11/2"	12	" 20117.38"	
"5d.6s.(1D).6p"	"*"	"1/2"	2	" 20197.34"	
"5d2.(3F).6p"	"4F*"	"5/2"	6	" 20338.25"	
"5d3"	"2P"	"1/2"	2	" 20392.60"	
"5d2.(3F).6p"	"4F*"	"7/2"	8	" 20763.21"	
"5d2.(3F).6p"	"*"	"5/2"	6	" 20972.17"	
"5d3"	"2P"	"3/2"	4	" 21037.30"	
"5d2.(3F).6p"	"4F*"	"9/2"	10	" 21384.00"	
