Configuration	Term	J	g	Level (cm-1)
"4s2.4p4"	"3P"	"2"	5	" 0.0"	
"4s2.4p4"	"3P"	"0"	1	" 16588.8"	
"4s2.4p4"	"3P"	"1"	3	" 20576.3"	
"4s2.4p4"	"1D"	"2"	5	" 35674.5"	
"4s2.4p4"	"1S"	"0"	1	" 72884.6"	
"4s.4p5"	"3P*"	"2"	5	" 233122.9"	
"4s.4p5"	"3P*"	"1"	3	" 246113.0"	
"4s.4p5"	"3P*"	"0"	1	" 256536.7"	
"4s.4p5"	"1P*"	"1"	3	" 295624.1"	
"4s2.4p3.(2D*).4d"	"3D*"	"1"	3	" 347777"	
"4s2.4p3.(2D*).4d"	"3F*"	"2"	5	" 350444"	
"4s2.4p3.(2D*).4d"	"3F*"	"3"	7	" 353696"	
"4s2.4p3.(2D*).4d"	"3G*"	"3"	7	" 362277"	
"4s2.4p3.(2P*).4d"	"3D*"	"1"	3	" 380383"	
"4s2.4p3.(2P*).4d"	"1D*"	"2"	5	" 381528"	
"4s2.4p3.(2P*).4d"	"3P*"	"1"	3	" 388801"	
"4s2.4p3.(2P*).4d"	"3D*"	"2"	5	" 392634"	
"4s2.4p3.(2P*).4d"	"3F*"	"3"	7	" 395360"	
"4s2.4p3.(2P*).4d"	"3F*"	"2"	5	" 396711"	
"4s2.4p3.(2P*).4d"	"3D*"	"3"	7	" 402590"	
"4s2.4p3.(2P*).4d"	"3P*"	"2"	5	" 405684"	
"4s2.4p3.(2D*).4d"	"3S*"	"1"	3	" 416746"	
"4s2.4p3.(2D*).4d"	"3P*"	"2"	5	" 419123"	
"4s2.4p3.(2D*).4d"	"1P*"	"1"	3	" 420947"	
"4s2.4p3.(2P*).4d"	"1F*"	"3"	7	" 424009"	
"4s2.4p3.(4S*).4d"	"3D*"	"3"	7	" 431498"	
"4s2.4p3.(2D*).4d"	"3P*"	"1"	3	" 433445"	
"4s2.4p3.(4S*).4d"	"3D*"	"2"	5	" 441012"	
"4s2.4p3.(2P*).4d"	"3D*"	"1"	3	" 447509"	
"4s2.4p3.(2D*).4d"	"1D*"	"2"	5	" 456111"	
"4s2.4p3.(2D*).4d"	"1F*"	"3"	7	" 466718"	
"4s2.4p3.(2P*).4d"	"1P*"	"1"	3	" 487905"	
"4s2.4p3.(4S*<3/2>).5s"	"(3/2,1/2)*"	"2"	5	" 571798"	
"4s2.4p3.(4S*<3/2>).5s"	"(3/2,1/2)*"	"1"	3	" 582356"	
"4s2.4p3.(2D*<3/2>).5s"	"(3/2,1/2)*"	"2"	5	" 601678"	
"4s2.4p3.(2D*<3/2>).5s"	"(3/2,1/2)*"	"1"	3	" 602468"	
