Configuration	Term	J	g	Level (cm-1)
"2s2.2p3"	"4S*"	"3/2"	4	" 0.000"	
"2s2.2p3"	"2D*"	"5/2"	6	" 19224.464"	
"2s2.2p3"	"2D*"	"3/2"	4	" 19233.177"	
"2s2.2p3"	"2P*"	"1/2"	2	" 28838.920"	
"2s2.2p3"	"2P*"	"3/2"	4	" 28839.306"	
"2s2.2p2.(3P).3s"	"4P"	"1/2"	2	" 83284.070"	
"2s2.2p2.(3P).3s"	"4P"	"3/2"	4	" 83317.830"	
"2s2.2p2.(3P).3s"	"4P"	"5/2"	6	" 83364.620"	
"2s2.2p2.(3P).3s"	"2P"	"1/2"	2	" 86137.350"	
"2s2.2p2.(3P).3s"	"2P"	"3/2"	4	" 86220.510"	
"2s.2p4"	"4P"	"5/2"	6	" 88107.260"	
"2s.2p4"	"4P"	"3/2"	4	" 88151.170"	
"2s.2p4"	"4P"	"1/2"	2	" 88170.570"	
"2s2.2p2.(3P).3p"	"2S*"	"1/2"	2	" 93581.550"	
"2s2.2p2.(3P).3p"	"4D*"	"1/2"	2	" 94770.880"	
"2s2.2p2.(3P).3p"	"4D*"	"3/2"	4	" 94793.490"	
"2s2.2p2.(3P).3p"	"4D*"	"5/2"	6	" 94830.890"	
"2s2.2p2.(3P).3p"	"4D*"	"7/2"	8	" 94881.820"	
"2s2.2p2.(3P).3p"	"4P*"	"1/2"	2	" 95475.310"	
"2s2.2p2.(3P).3p"	"4P*"	"3/2"	4	" 95493.690"	
"2s2.2p2.(3P).3p"	"4P*"	"5/2"	6	" 95532.150"	
"2s2.2p2.(3P).3p"	"4S*"	"3/2"	4	" 96750.840"	
"2s2.2p2.(3P).3p"	"2D*"	"3/2"	4	" 96787.680"	
"2s2.2p2.(3P).3p"	"2D*"	"5/2"	6	" 96864.050"	
"2s2.2p2.(3P).3p"	"2P*"	"1/2"	2	" 97770.180"	
"2s2.2p2.(3P).3p"	"2P*"	"3/2"	4	" 97805.840"	
