Configuration	Term	J	g	Level (cm-1)
"1s2.2s2"	"1S"	"0"	1	" 0.0"	
"1s2.2s.2p"	"3P*"	"0"	1	" 67209.2"	
"1s2.2s.2p"	"3P*"	"1"	3	" 67272.3"	
"1s2.2s.2p"	"3P*"	"2"	5	" 67416.3"	
"1s2.2s.2p"	"1P*"	"1"	3	" 130693.9"	
"1s2.2p2"	"3P"	"0"	1	" 175535.4"	
"1s2.2p2"	"3P"	"1"	3	" 175608.1"	
"1s2.2p2"	"3P"	"2"	5	" 175732.9"	
"1s2.2p2"	"1D"	"2"	5	" 188882.5"	
"1s2.2p2"	"1S"	"0"	1	" 235369.3"	
"1s2.2s.3s"	"3S"	"1"	3	" 377284.8"	
"1s2.2s.3s"	"1S"	"0"	1	" 388854.6"	
"1s2.2s.3p"	"1P*"	"1"	3	" 404522.4"	
"1s2.2s.3p"	"3P*"	"0"	1	" 405971.6"	
"1s2.2s.3p"	"3P*"	"1"	3	" 405987.5"	
"1s2.2s.3p"	"3P*"	"2"	5	" 406022.8"	
"1s2.2s.3d"	"3D"	"1"	3	" 420045.8"	
"1s2.2s.3d"	"3D"	"2"	5	" 420049.6"	
"1s2.2s.3d"	"3D"	"3"	7	" 420058.0"	
"1s2.2s.3d"	"1D"	"2"	5	" 429159.6"	
"1s2.2p.(2P*).3s"	"3P*"	"0"	1	" 465291.8"	
"1s2.2p.(2P*).3s"	"3P*"	"1"	3	" 465371.0"	
"1s2.2p.(2P*).3s"	"3P*"	"2"	5	" 465536.6"	
"1s2.2p.(2P*<3/2>).3s"	"1P*"	"1"	3	" 473029.3"	
"1s2.2p.(2P*<1/2>).3p"	"1P"	"1"	3	" 480884.2"	
"1s2.2p.(2P*).3p"	"3D"	"1"	3	" 484498.2"	
"1s2.2p.(2P*).3p"	"3D"	"2"	5	" 484594.9"	
"1s2.2p.(2P*).3p"	"3D"	"3"	7	" 484746.2"	
"1s2.2s.4s"	"3S"	"1"	3	" 487607.4"	
"1s2.2p.(2P*).3p"	"3P"	"0"	1	" 494253.1"	
"1s2.2p.(2P*).3p"	"3P"	"1"	3	" 494309.2"	
"1s2.2p.(2P*).3p"	"3P"	"2"	5	" 494402.0"	
"1s2.2p.(2P*).3d"	"3F*"	"2"	5	" 495406.2"	
"1s2.2p.(2P*).3d"	"3F*"	"3"	7	" 495482.6"	
"1s2.2p.(2P*).3d"	"3F*"	"4"	9	" 495585.7"	
"1s2.2p.(2P*<3/2>).3p"	"3S"	"1"	3	" 498045.5"	
"1s2.2p.(2P*<1/2>).3d"	"1D*"	"2"	5	" 498310.3"	
"1s2.2p.(2P*<3/2>).3p"	"1D"	"2"	5	" 499705.9"	
"1s2.2s.4p"	"3P*"	"2"	5	" 503680.4"	
"1s2.2s.4p"	"3P*"	"1"	3	" 503691.9"	
"1s2.2s.4p"	"3P*"	"0"	1	" 503699.8"	
"1s2.2p.(2P*).3d"	"3D*"	"1"	3	" 505554.0"	
"1s2.2p.(2P*).3d"	"3D*"	"2"	5	" 505588.2"	
"1s2.2p.(2P*).3d"	"3D*"	"3"	7	" 505630.6"	
"1s2.2p.(2P*<3/2>).3d"	"1F*"	"3"	7	" 506284.8"	
"1s2.2s.4p"	"1P*"	"1"	3	" 507027.9"	
"1s2.2s.4d"	"3D"	"1"	3	" 511440"	
"1s2.2s.4d"	"3D"	"2"	5	" 511446"	
"1s2.2s.4d"	"3D"	"3"	7	" 511448.0"	
"1s2.2p.(2P*<3/2>).3d"	"3P*"	"2"	5	" 511509.3"	
"1s2.2p.(2P*<3/2>).3d"	"3P*"	"1"	3	" 511560.4"	
"1s2.2p.(2P*<3/2>).3d"	"3P*"	"0"	1	" 511591.2"	
"1s2.2s.4d"	"1D"	"2"	5	" 514647.7"	
"1s2.2p.(2P*<3/2>).3p"	"1S"	"0"	1	" 515569.8"	
"1s2.2s.4f"	"3F*"	"2"	5	" 516552.6"	
"1s2.2s.4f"	"3F*"	"3"	7	" 516560.8"	
"1s2.2s.4f"	"3F*"	"4"	9	" 516572.0"	
"1s2.2p.(2P*<3/2>).3d"	"1P*"	"1"	3	" 518610.5"	
"1s2.2s.4f"	"1F*"	"3"	7	" 521862.8"	
"1s2.2s.5s"	"3S"	"1"	3	" 544813.4"	
"1s2.2s.5s"	"1S"	"0"	1	" 546731.3"	
"1s2.2s.5p"	"1P*"	"1"	3	" 550232.6"	
"1s2.2s.5d"	"3D"	"1"	3	" 552789.6"	
"1s2.2s.5d"	"3D"	"2"	5	" 552789.6"	
"1s2.2s.5d"	"3D"	"3"	7	" 552790.9"	
"1s2.2s.5d"	"1D"	"2"	5	" 554300.7"	
"1s2.2s.5g"	"1G"	"4"	9	" 554339.1"	
"1s2.2s.5g"	"3G"	"3"	7	" 554339.7"	
"1s2.2s.5g"	"3G"	"4"	9	" 554339.7"	
"1s2.2s.5g"	"3G"	"5"	11	" 554339.7"	
"1s2.2s.5f"	"3F*"	"2"	5	" 554571.8"	
"1s2.2s.5f"	"3F*"	"3"	7	" 554571.8"	
"1s2.2s.5f"	"3F*"	"4"	9	" 554571.8"	
"1s2.2s.5f"	"1F*"	"3"	7	" 554995.7"	
"1s2.2s.6s"	"3S"	"1"	3	" 570381.3"	
"1s2.2s.6s"	"1S"	"0"	1	" 571172.1"	
"1s2.2s.6p"	"1P*"	"1"	3	" 572731.1"	
"1s2.2s.6d"	"3D"	"1"	3	" 575030.5"	
"1s2.2s.6g"	"1G"	"4"	9	" 575807.9"	
"1s2.2s.6g"	"3G"	"3"	7	" 575809.4"	
"1s2.2s.6g"	"3G"	"4"	9	" 575809.4"	
"1s2.2s.6g"	"3G"	"5"	11	" 575809.4"	
"1s2.2s.6d"	"1D"	"2"	5	" 575872.4"	
"1s2.2s.6f"	"1F*"	"3"	7	" 575999.3"	
"1s2.2s.6h"	"1H*"	"5"	11	" 576042.9"	
"1s2.2s.6h"	"3H*"	"4"	9	" 576042.9"	
"1s2.2s.6h"	"3H*"	"5"	11	" 576042.9"	
"1s2.2s.6h"	"3H*"	"6"	13	" 576042.9"	
"1s2.2p.(2P*).4s"	"3P*"	"0"	1	" 577957.8"	
"1s2.2p.(2P*).4s"	"3P*"	"1"	3	" 578045.4"	
"1s2.2p.(2P*).4s"	"3P*"	"2"	5	" 578210.6"	
"1s2.2p.(2P*<3/2>).4s"	"1P*"	"1"	3	" 580817.5"	
"1s2.2p.(2P*<1/2>).4p"	"1P"	"1"	3	" 584661.6"	
"1s2.2s.7s"	"3S"	"1"	3	" 584977.1"	
"1s2.2s.7s"	"1S"	"0"	1	" 584983.3"	
"1s2.2p.(2P*).4p"	"3D"	"1"	3	" 585709.5"	
"1s2.2p.(2P*).4p"	"3D"	"2"	5	" 585798.1"	
"1s2.2p.(2P*).4p"	"3D"	"3"	7	" 585929.8"	
"1s2.2s.7p"	"1P*"	"1"	3	" 587979.4"	
"1s2.2s.7d"	"3D"	"1"	3	" 588382.6"	
"1s2.2s.7d"	"3D"	"2"	5	" 588382.6"	
"1s2.2s.7d"	"3D"	"3"	7	" 588382.6"	
"1s2.2p.(2P*<1/2>).4d"	"1D*"	"2"	5	" 588689.0"	
"1s2.2p.(2P*).4p"	"3P"	"0"	1	" 588790.1"	
"1s2.2s.7d"	"1D"	"2"	5	" 588884.0"	
"1s2.2p.(2P*).4p"	"3P"	"1"	3	" 588991.2"	
"1s2.2s.7h"	"1H*"	"5"	11	" 588994.3"	
"1s2.2s.7h"	"3H*"	"4"	9	" 588994.3"	
"1s2.2s.7h"	"3H*"	"5"	11	" 588994.3"	
"1s2.2s.7h"	"3H*"	"6"	13	" 588994.3"	
"1s2.2s.7i"	"1I"	"6"	13	" 589021.4"	
"1s2.2s.7i"	"3I"	"5"	11	" 589021.4"	
"1s2.2s.7i"	"3I"	"6"	13	" 589021.4"	
