Configuration	Term	J	g	Level (cm-1)
"4d4.(5D).5s"	"a 6D"	"1/2"	2	" 0.00"	
"4d4.(5D).5s"	"a 6D"	"3/2"	4	" 154.19"	
"4d4.(5D).5s"	"a 6D"	"5/2"	6	" 391.99"	
"4d4.(5D).5s"	"a 6D"	"7/2"	8	" 695.25"	
"4d4.(5D).5s"	"a 6D"	"9/2"	10	" 1050.26"	
"4d3.5s2"	"a 4F"	"3/2"	4	" 1142.79"	
"4d3.5s2"	"a 4F"	"5/2"	6	" 1586.90"	
"4d3.5s2"	"a 4F"	"7/2"	8	" 2154.11"	
"4d3.5s2"	"a 4F"	"9/2"	10	" 2805.36"	
"4d3.5s2"	"a 4P"	"1/2"	2	" 4998.17"	
"4d3.5s2"	"a 4P"	"3/2"	4	" 5297.92"	
"4d3.5s2"	"a 4P"	"5/2"	6	" 5965.45"	
"4d4.(5D).5s"	"a 4D"	"1/2"	2	" 8410.90"	
"4d4.(5D).5s"	"a 4D"	"3/2"	4	" 8705.32"	
"4d3.5s2"	"a 2G"	"7/2"	8	" 8827.00"	
"4d4.(5D).5s"	"a 4D"	"5/2"	6	" 9043.14"	
"4d3.5s2"	"a 2G"	"9/2"	10	" 9328.88"	
"4d3.5s2"	"a 2D"	"3/2"	4	" 9439.08"	
"4d4.(5D).5s"	"a 4D"	"7/2"	8	" 9497.52"	
"4d3.5s2"	"a 2P"	"1/2"	2	" 10126.06"	
"4d3.5s2"	"a 2D"	"5/2"	6	" 10237.51"	
"4d4.(3H).5s"	"a 4H"	"7/2"	8	" 10922.74"	
"4d4.(3H).5s"	"a 4H"	"9/2"	10	" 11044.08"	
"4d4.(3H).5s"	"a 4H"	"11/2"	12	" 11247.88"	
"4d3.5s2"	"a 2P"	"3/2"	4	" 11318.09"	
"4d5"	"a 6S"	"5/2"	6	" 11344.70"	
"4d4.(3H).5s"	"a 4H"	"13/2"	14	" 11524.65"	
"4d4.(3G).5s"	"a 4G"	"5/2"	6	" 12018.25"	
"4d3.5s2"	"a 2H"	"9/2"	10	" 12102.12"	
"4d4.(3G).5s"	"a 4G"	"7/2"	8	" 12136.86"	
"4d4.(b 3F).5s"	"b 4F"	"3/2"	4	" 12288.25"	
"4d4.(3G).5s"	"a 4G"	"9/2"	10	" 12357.70"	
"4d3.5s2"	"a 2H"	"11/2"	12	" 12502.97"	
"4d4.(b 3F).5s"	"b 4F"	"5/2"	6	" 12692.12"	
"4d4.(b 3F).5s"	"b 4F"	"7/2"	8	" 12982.38"	
"4d4.(3G).5s"	"a 4G"	"11/2"	12	" 13012.20"	
"4d4.(b 3F).5s"	"b 4F"	"9/2"	10	" 13145.71"	
"4d3.5s2"	"a 2F"	"5/2"	6	" 13404.77"	
"4d3.5s2"	"a 2F"	"7/2"	8	" 13515.20"	
"4d4.(a 3P).5s"	"b 4P"	"1/2"	2	" 13629.15"	
"4d4.(a 3P).5s"	"b 4P"	"3/2"	4	" 14211.30"	
"4d4.(a 3P).5s"	"b 4P"	"5/2"	6	" 14899.26"	
"4d4.(3D).5s"	"b 4D"	"7/2"	8	" 15282.35"	
"4d4.(3D).5s"	"b 4D"	"3/2"	4	" 15439.25"	
"4d4.(3D).5s"	"b 4D"	"1/2"	2	" 15460.77"	
"4d4.(3D).5s"	"b 4D"	"5/2"	6	" 15467.08"	
"4d3.5s.(5F).5p"	"z 6G*"	"3/2"	4	" 16672.00"	
"4d4.(3H).5s"	"b 2H"	"9/2"	10	" 16828.52"	
"4d4.(3G).5s"	"b 2G"	"7/2"	8	" 16918.78"	
"4d3.5s.(5F).5p"	"z 6G*"	"5/2"	6	" 16981.01"	
"4d3.5s.(5F).5p"	"z 6G*"	"7/2"	8	" 17405.32"	
"4d4.(3H).5s"	"b 2H"	"11/2"	12	" 17476.22"	
"4d3.5s.(5F).5p"	"z 6G*"	"9/2"	10	" 17937.26"	
"4d4.(3G).5s"	"b 2G"	"9/2"	10	" 18035.97"	
""	"183"	"11/2"	12	" 18332.04"	
