Configuration	Term	J	g	Level (cm-1)
"4d4"	"5D"	"0"	1	" 0.000"	
"4d4"	"5D"	"1"	3	" 158.984"	
"4d4"	"5D"	"2"	5	" 438.361"	
"4d4"	"5D"	"3"	7	" 801.326"	
"4d4"	"5D"	"4"	9	" 1224.823"	
"4d3.(4F).5s"	"5F"	"1"	3	" 2356.816"	
"4d3.(4F).5s"	"5F"	"2"	5	" 2629.132"	
"4d3.(4F).5s"	"5F"	"3"	7	" 3029.629"	
"4d3.(4F).5s"	"5F"	"4"	9	" 3542.561"	
"4d3.(4F).5s"	"5F"	"5"	11	" 4146.037"	
"4d4"	"3P2"	"0"	1	" 5562.241"	
"4d4"	"3P2"	"1"	3	" 6192.310"	
"4d4"	"3P2"	"2"	5	" 7261.324"	
"4d4"	"3F2"	"2"	5	" 7505.765"	
"4d4"	"3F2"	"3"	7	" 7900.644"	
"4d4"	"3F2"	"4"	9	" 8320.373"	
"4d4"	"3H"	"4"	9	" 9509.604"	
"4d4"	"3H"	"5"	11	" 9812.452"	
"4d4"	"3H"	"6"	13	" 10186.390"	
"4d4"	"3G"	"3"	7	" 10246.955"	
"4d4"	"3G"	"4"	9	" 10604.229"	
"4d3.(4P).5s"	"5P"	"1"	3	" 10653.427"	
"4d3.(4P).5s"	"5P"	"2"	5	" 10835.837"	
"4d4"	"3G"	"5"	11	" 10918.474"	
"4d3.(4P).5s"	"5P"	"3"	7	" 11339.590"	
"4d4"	"1D2"	"2"	5	" 12263.221"	
"4d4"	"3D"	"2"	5	" 12805.965"	
"4d4"	"3D"	"3"	7	" 13054.696"	
"4d4"	"3D"	"1"	3	" 13118.528"	
"4d3.(4F).5s"	"3F"	"2"	5	" 13479.460"	
"4d3.(4F).5s"	"3F"	"4"	9	" 13665.686"	
"4d3.(4F).5s"	"3F"	"3"	7	" 13690.228"	
"4d3.(2P).5s"	"3P"	"1"	3	" 14626.199"	
"4d3.(2P).5s"	"3P"	"2"	5	" 14660.755"	
"4d3.(2P).5s"	"3P"	"0"	1	" 14678.318"	
"4d4"	"1G2"	"4"	9	" 14790.755"	
"4d4"	"1I"	"6"	13	" 15395.928"	
"4d3.(2G).5s"	"3G"	"3"	7	" 15551.252"	
"4d3.(2G).5s"	"3G"	"4"	9	" 15949.370"	
"4d3.(2G).5s"	"3G"	"5"	11	" 16052.672"	
"4d3.(2G).5s"	"1G"	"4"	9	" 16218.937"	
"4d4"	"1S2"	"0"	1	" 17202.476"	
"4d3.(2H).5s"	"3H"	"5"	11	" 17292.479"	
"4d3.(2H).5s"	"3H"	"6"	13	" 17424.889"	
"4d3.(2H).5s"	"3H"	"4"	9	" 17469.770"	
"4d4"	"1F"	"3"	7	" 18507.992"	
"4d3.(2D2).5s"	"3D"	"1"	3	" 18819.520"	
"4d3.(2D2).5s"	"3D"	"2"	5	" 19351.948"	
"4d3.(2D2).5s"	"3D"	"3"	7	" 19689.438"	
"4d3.(4P).5s"	"3P"	"0"	1	" 20347.497"	
"4d3.(4P).5s"	"3P"	"1"	3	" 20437.503"	
"4d2.5s2"	"3F"	"2"	5	" 20657.775"	
"4d3.(2P).5s"	"1P"	"1"	3	" 21039.529"	
"4d3.(2H).5s"	"1H"	"5"	11	" 21072.981"	
"4d2.5s2"	"3F"	"3"	7	" 21117.415"	
"4d2.5s2"	"3F"	"4"	9	" 21472.467"	
"4d3.(4P).5s"	"3P"	"2"	5	" 21511.376"	
