Configuration	Term	J	g	Level (cm-1)
"2s2.2p6"	"1S"	"0"	1	" 0.0000"	
"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	5	" 134041.8400"	
"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	3	" 134459.2871"	
"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"0"	1	" 134818.6405"	
"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	3	" 135888.7173"	
"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	3	" 148257.7898"	
"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	7	" 149657.0392"	
"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	5	" 149824.2215"	
"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	3	" 150121.5922"	
"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	5	" 150315.8612"	
"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	3	" 150772.1118"	
"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	5	" 150858.5079"	
"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"0"	1	" 150917.4307"	
"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	3	" 151038.4524"	
"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"0"	1	" 152970.7328"	
"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	5	" 158601.1152"	
"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	3	" 158795.9924"	
"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"	1	" 159379.9935"	
"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	3	" 159534.6196"	
"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"0"	1	" 161509.6305"	
"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"	3	" 161524.1739"	
"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"4"	9	" 161590.3412"	
"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"	7	" 161592.1200"	
"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	5	" 161607.2609"	
"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"	3	" 161636.6175"	
"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	5	" 161699.6613"	
"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"3"	7	" 161701.4486"	
"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"	5	" 162408.6535"	
"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"3"	7	" 162410.1736"	
"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"	5	" 162419.9818"	
"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"	3	" 162435.6780"	
"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	3	" 162517.8755"	
"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	7	" 162830.7073"	
"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	5	" 162899.1169"	
"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	3	" 163012.6247"	
"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	5	" 163038.3544"	
"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"0"	1	" 163401.3061"	
"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"	3	" 163657.2726"	
"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"	3	" 163707.7261"	
"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	5	" 163708.6029"	
"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"0"	1	" 164285.8872"	
"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	" 165828.1766"	
"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	" 165912.7861"	
"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	1	" 166606.3370"	
"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	" 166656.5114"	
"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"	1	" 166967.6752"	
"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	3	" 166975.3424"	
"2s2.2p5.(2P*<3/2>).4d"	"2[7/2]*"	"4"	9	" 167000.0317"	
"2s2.2p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	7	" 167001.1327"	
"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"	5	" 167011.5643"	
"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"	3	" 167026.9923"	
"2s2.2p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"	5	" 167047.6082"	
"2s2.2p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"	7	" 167048.6694"	
"2s2.2p5.(2P*<3/2>).4f"	"2[3/2]"	"1"	3	" 167052.6415"	
"2s2.2p5.(2P*<3/2>).4f"	"2[3/2]"	"2"	5	" 167052.6654"	
"2s2.2p5.(2P*<3/2>).4f"	"2[9/2]"	"4"	9	" 167060.3044"	
"2s2.2p5.(2P*<3/2>).4f"	"2[9/2]"	"5"	11	" 167060.3115"	
"2s2.2p5.(2P*<3/2>).4f"	"2[5/2]"	"3"	7	" 167069.0649"	
"2s2.2p5.(2P*<3/2>).4f"	"2[5/2]"	"2"	5	" 167069.0791"	
"2s2.2p5.(2P*<3/2>).4f"	"2[7/2]"	"3"	7	" 167076.9837"	
"2s2.2p5.(2P*<3/2>).4f"	"2[7/2]"	"4"	9	" 167076.9896"	
"2s2.2p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	3	" 167449.4698"	
"2s2.2p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	7	" 167559.0633"	
"2s2.2p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	5	" 167591.2335"	
