Configuration	Term	J	g	Level (cm-1)
"2s2.2p5"	"2P*"	"3/2"	4	" 0.0000"	
"2s2.2p5"	"2P*"	"1/2"	2	" 780.4240"	
"2s.2p6"	"2S"	"1/2"	2	" 217047.598"	
"2s2.2p4.(3P).3s"	"4P"	"5/2"	6	" 219130.7609"	
"2s2.2p4.(3P).3s"	"4P"	"3/2"	4	" 219648.4248"	
"2s2.2p4.(3P).3s"	"4P"	"1/2"	2	" 219947.4453"	
"2s2.2p4.(3P).3s"	"2P"	"3/2"	4	" 224087.0092"	
"2s2.2p4.(3P).3s"	"2P"	"1/2"	2	" 224699.2716"	
"2s2.2p4.(3P).3p"	"4P*"	"5/2"	6	" 246192.4130"	
"2s2.2p4.(1D).3s"	"2D"	"5/2"	6	" 246394.1202"	
"2s2.2p4.(1D).3s"	"2D"	"3/2"	4	" 246397.4810"	
"2s2.2p4.(3P).3p"	"4P*"	"3/2"	4	" 246415.0144"	
"2s2.2p4.(3P).3p"	"4P*"	"1/2"	2	" 246597.6805"	
"2s2.2p4.(3P).3p"	"4D*"	"7/2"	8	" 249108.6138"	
"2s2.2p4.(3P).3p"	"4D*"	"5/2"	6	" 249445.9632"	
"2s2.2p4.(3P).3p"	"4D*"	"3/2"	4	" 249695.5051"	
"2s2.2p4.(3P).3p"	"4D*"	"1/2"	2	" 249839.6186"	
"2s2.2p4.(3P).3p"	"2D*"	"5/2"	6	" 251011.1511"	
"2s2.2p4.(3P).3p"	"2D*"	"3/2"	4	" 251522.0967"	
"2s2.2p4.(3P).3p"	"2S*"	"1/2"	2	" 252798.4654"	
"2s2.2p4.(3P).3p"	"4S*"	"3/2"	4	" 252953.5198"	
"2s2.2p4.(3P).3p"	"2P*"	"3/2"	4	" 254164.9888"	
"2s2.2p4.(3P).3p"	"2P*"	"1/2"	2	" 254292.1683"	
"2s2.2p4.(1D).3p"	"2F*"	"5/2"	6	" 274364.5596"	
"2s2.2p4.(1D).3p"	"2F*"	"7/2"	8	" 274409.0830"	
"2s2.2p4.(1D).3p"	"2P*"	"3/2"	4	" 276276.8361"	
"2s2.2p4.(1D).3p"	"2P*"	"1/2"	2	" 276511.800"	
"2s2.2p4.(1S).3s"	"2S"	"1/2"	2	" 276677.1142"	
"2s2.2p4.(1D).3p"	"2D*"	"3/2"	4	" 277325.5757"	
"2s2.2p4.(1D).3p"	"2D*"	"5/2"	6	" 277344.2675"	
"2s2.2p4.(3P).3d"	"4D"	"7/2"	8	" 279137.6053"	
"2s2.2p4.(3P).3d"	"4D"	"5/2"	6	" 279218.6416"	
"2s2.2p4.(3P).3d"	"4D"	"3/2"	4	" 279324.8733"	
"2s2.2p4.(3P).3d"	"4D"	"1/2"	2	" 279422.869"	
"2s2.2p4.(3P).3d"	"4F"	"9/2"	10	" 280172.9854"	
"2s2.2p4.(3P).3d"	"2F"	"7/2"	8	" 280262.3163"	
"2s2.2p4.(3P).3d"	"2D"	"5/2"	6	" 280268.9453"	
"2s2.2p4.(3P).3d"	"2D"	"3/2"	4	" 280473.5550"	
"2s2.2p4.(3P).3d"	"4F"	"7/2"	8	" 280700.7426"	
"2s2.2p4.(3P).3d"	"4P"	"1/2"	2	" 280768.508"	
"2s2.2p4.(3P).3d"	"4F"	"5/2"	6	" 280797.2387"	
"2s2.2p4.(3P).3d"	"4F"	"3/2"	4	" 280947.0768"	
"2s2.2p4.(3P).3d"	"4P"	"3/2"	4	" 280989.5229"	
"2s2.2p4.(3P).3d"	"2F"	"5/2"	6	" 281025.9326"	
"2s2.2p4.(3P).3d"	"4P"	"5/2"	6	" 281171.3566"	
"2s2.2p4.(3P).3d"	"2P"	"1/2"	2	" 281332.521"	
"2s2.2p4.(3P).3d"	"2P"	"3/2"	4	" 281720.2755"	
"2s2.2p4.(3P).4s"	"4P"	"5/2"	6	" 281998.2635"	
"2s2.2p4.(3P).4s"	"4P"	"3/2"	4	" 282375.3049"	
"2s2.2p4.(3P).4s"	"4P"	"1/2"	2	" 282680.6284"	
"2s2.2p4.(3P).4s"	"2P"	"3/2"	4	" 283322.3319"	
"2s2.2p4.(3P).4s"	"2P"	"1/2"	2	" 283894.3965"	
"2s2.2p4.(3P).4p"	"4P*"	"5/2"	6	" 290371.9268"	
"2s2.2p4.(3P).4p"	"4P*"	"3/2"	4	" 290583.1503"	
