Configuration	Term	J	g	Level (cm-1)
"2s2.2p4"	"3P"	"2"	5	" 0.000"	
"2s2.2p4"	"3P"	"1"	3	" 642.876"	
"2s2.2p4"	"3P"	"0"	1	" 920.550"	
"2s2.2p4"	"1D"	"2"	5	" 25840.72"	
"2s2.2p4"	"1S"	"0"	1	" 55752.7"	
"2s.2p5"	"3P*"	"2"	5	" 204290.0"	
"2s.2p5"	"3P*"	"1"	3	" 204872.6"	
"2s.2p5"	"3P*"	"0"	1	" 205194"	
"2s.2p5"	"1P*"	"1"	3	" 289478.6"	
"2s2.2p3.(4S*).3s"	"5S*"	"2"	5	" 309881.041+x"	
"2s2.2p3.(4S*).3s"	"3S*"	"1"	3	" 319431.261"	
"2s2.2p3.(4S*).3p"	"5P"	"1"	3	" 348395.524+x"	
"2s2.2p3.(4S*).3p"	"5P"	"2"	5	" 348426.628+x"	
"2s2.2p3.(4S*).3p"	"5P"	"3"	7	" 348479.578+x"	
"2s2.2p3.(2D*).3s"	"3D*"	"3"	7	" 353133.605"	
"2s2.2p3.(2D*).3s"	"3D*"	"2"	5	" 353163.013"	
"2s2.2p3.(2D*).3s"	"3D*"	"1"	3	" 353183.152"	
"2s2.2p3.(4S*).3p"	"3P"	"1"	3	" 356751.837"	
"2s2.2p3.(4S*).3p"	"3P"	"0"	1	" 356761.864"	
"2s2.2p3.(4S*).3p"	"3P"	"2"	5	" 356762.797"	
"2s2.2p3.(2D*).3s"	"1D*"	"2"	5	" 357928.972"	
"2s2.2p3.(2P*).3s"	"3P*"	"1"	3	" 374489.507"	
"2s2.2p3.(2P*).3s"	"3P*"	"0"	1	" 374490.160"	
"2s2.2p3.(2P*).3s"	"3P*"	"2"	5	" 374496.068"	
"2s2.2p3.(2P*).3s"	"1P*"	"1"	3	" 379826.356"	
"2s2.2p3.(2D*).3p"	"1P"	"1"	3	" 387962.12"	
"2s2.2p3.(2D*).3p"	"3D"	"1"	3	" 389044.544"	
"2s2.2p3.(2D*).3p"	"3D"	"2"	5	" 389055.543"	
"2s2.2p3.(2D*).3p"	"3D"	"3"	7	" 389124.913"	
"2s2.2p3.(2D*).3p"	"3F"	"2"	5	" 391400.239"	
"2s2.2p3.(2D*).3p"	"3F"	"3"	7	" 391415.686"	
"2s2.2p3.(2D*).3p"	"3F"	"4"	9	" 391436.251"	
"2s2.2p3.(2D*).3p"	"1F"	"3"	7	" 392801.818"	
"2s2.2p3.(4S*).3d"	"5D*"	"4"	9	" 394681.481+x"	
"2s2.2p3.(4S*).3d"	"5D*"	"3"	7	" 394684.08+x"	
"2s2.2p3.(4S*).3d"	"5D*"	"2"	5	" 394687.67+x"	
"2s2.2p3.(4S*).3d"	"5D*"	"1"	3	" 394690.72+x"	
"2s2.2p3.(4S*).3d"	"5D*"	"0"	1	" 394692.40+x"	
"2s2.2p3.(4S*).3d"	"3D*"	"1"	3	" 398178.14"	
"2s2.2p3.(4S*).3d"	"3D*"	"2"	5	" 398182.766"	
"2s2.2p3.(4S*).3d"	"3D*"	"3"	7	" 398195.511"	
"2s2.2p3.(2D*).3p"	"3P"	"2"	5	" 398972.658"	
"2s2.2p3.(2D*).3p"	"3P"	"1"	3	" 399068.682"	
"2s2.2p3.(2D*).3p"	"3P"	"0"	1	" 399111.356"	
"2s2.2p3.(2D*).3p"	"1D"	"2"	5	" 406332.411"	
"2s2.2p3.(2P*).3p"	"3S"	"1"	3	" 409873.45"	
"2s2.2p3.(2P*).3p"	"3D"	"3"	7	" 412348.045"	
"2s2.2p3.(2P*).3p"	"3D"	"2"	5	" 412375.508"	
"2s2.2p3.(2P*).3p"	"3D"	"1"	3	" 412376.48"	
"2s2.2p3.(2P*).3p"	"1P"	"1"	3	" 414229.20"	
"2s2.2p3.(2P*).3p"	"3P"	"0"	1	" 416723.444"	
"2s2.2p3.(2P*).3p"	"3P"	"1"	3	" 416753.058"	
"2s2.2p3.(2P*).3p"	"3P"	"2"	5	" 416798.087"	
"2s2.2p3.(4S*).4s"	"5S*"	"2"	5	" 416914.74+x"	
"2s2.2p3.(4S*).4s"	"3S*"	"1"	3	" 419827.35"	
"2s2.2p3.(2P*).3p"	"1D"	"2"	5	" 420244.544"	
"2s2.2p3.(4S*).4p"	"5P"	"1"	3	" 430067.99+x"	
"2s2.2p3.(4S*).4p"	"5P"	"2"	5	" 430078.62+x"	
"2s2.2p3.(4S*).4p"	"5P"	"3"	7	" 430095.71+x"	
