Configuration	Term	J	g	Level (cm-1)
"2s2.2p"	"2P*"	"1/2"	2	" 0.00"	
"2s2.2p"	"2P*"	"3/2"	4	" 1306.81"	
"2s.2p2"	"4P"	"1/2"	2	" 100297.1"	
"2s.2p2"	"4P"	"3/2"	4	" 100737.1"	
"2s.2p2"	"4P"	"5/2"	6	" 101383.6"	
"2s.2p2"	"2D"	"5/2"	6	" 178988.1"	
"2s.2p2"	"2D"	"3/2"	4	" 179018.0"	
"2s.2p2"	"2S"	"1/2"	2	" 230851.2"	
"2s.2p2"	"2P"	"1/2"	2	" 249286.0"	
"2s.2p2"	"2P"	"3/2"	4	" 250099.4"	
"2p3"	"4S*"	"3/2"	4	" 321611.8"	
"2p3"	"2D*"	"5/2"	6	" 359537.1"	
"2p3"	"2D*"	"3/2"	4	" 359605.0"	
"2p3"	"2P*"	"1/2"	2	" 406007.3"	
"2p3"	"2P*"	"3/2"	4	" 406049.5"	
"2s2.3s"	"2S"	"1/2"	2	" 722582.53"	
"2s2.3p"	"2P*"	"1/2"	2	" 771206.7"	
"2s2.3p"	"2P*"	"3/2"	4	" 771529.25"	
"2s2.3d"	"2D"	"3/2"	4	"[816218]"	
"2s2.3d"	"2D"	"5/2"	6	"[816294]"	
"2s.2p.(3P*).3s"	"4P*"	"1/2"	2	" 833617.2"	
"2s.2p.(3P*).3s"	"4P*"	"3/2"	4	" 834061.1"	
"2s.2p.(3P*).3s"	"4P*"	"5/2"	6	" 834869.7"	
"2s.2p.(3P*).3s"	"2P*"	"1/2"	2	" 855720"	
"2s.2p.(3P*).3s"	"2P*"	"3/2"	4	" 856510"	
"2s.2p.(3P*).3p"	"2P"	"1/2"	2	" 876200"	
"2s.2p.(3P*).3p"	"2P"	"3/2"	4	" 876700"	
"2s.2p.(3P*).3p"	"4D"	"1/2"	2	"[877640]+x"	
"2s.2p.(3P*).3p"	"4D"	"3/2"	4	"[877880]+y"	
"2s.2p.(3P*).3p"	"4D"	"5/2"	6	" 878536.1"	
"2s.2p.(3P*).3p"	"4D"	"7/2"	8	" 879237.3"	
"2s.2p.(3P*).3p"	"4P"	"1/2"	2	" 894076.4"	
"2s.2p.(3P*).3p"	"4P"	"3/2"	4	" 894405.2"	
"2s.2p.(3P*).3p"	"4P"	"5/2"	6	" 894828.9"	
"2s.2p.(3P*).3p"	"2D"	"3/2"	4	" 900100"	
"2s.2p.(3P*).3p"	"2D"	"5/2"	6	" 901054"	
"2s.2p.(3P*).3p"	"2S"	"1/2"	2	" 914860"	
"2s.2p.(3P*).3d"	"4F*"	"3/2"	4	" 916787+x"	
"2s.2p.(3P*).3d"	"4F*"	"5/2"	6	" 917027+y"	
"2s.2p.(3P*).3d"	"4F*"	"7/2"	8	" 917638.7"	
"2s.2p.(3P*).3d"	"4F*"	"9/2"	10	" 918158.0"	
"2s.2p.(3P*).3d"	"4D*"	"3/2"	4	" 926400"	
"2s.2p.(3P*).3d"	"4D*"	"1/2"	2	" 926400"	
"2s.2p.(3P*).3d"	"4D*"	"5/2"	6	" 926510"	
"2s.2p.(3P*).3d"	"4D*"	"7/2"	8	" 926810"	
