Configuration	Term	J	g	Level (cm-1)
"3p6.3d8"	"3F"	"4"	9	" 0.0"	
"3p6.3d8"	"3F"	"3"	7	" 1360.7"	
"3p6.3d8"	"3F"	"2"	5	" 2269.6"	
"3p6.3d8"	"1D"	"2"	5	" 14031.6"	
"3p6.3d8"	"3P"	"2"	5	" 16661.6"	
"3p6.3d8"	"3P"	"1"	3	" 16977.8"	
"3p6.3d8"	"3P"	"0"	1	" 17230.7"	
"3p6.3d8"	"1G"	"4"	9	" 23108.7"	
"3p6.3d8"	"1S"	"0"	1	" 52532.0"	
"3p6.3d7.(4F).4s"	"5F"	"5"	11	" 53703.93"	
"3p6.3d7.(4F).4s"	"5F"	"4"	9	" 54657.83"	
"3p6.3d7.(4F).4s"	"5F"	"3"	7	" 55406.29"	
"3p6.3d7.(4F).4s"	"5F"	"2"	5	" 55952.21"	
"3p6.3d7.(4F).4s"	"5F"	"1"	3	" 56308.24"	
"3p6.3d7.(4F).4s"	"3F"	"4"	9	" 61338.58"	
"3p6.3d7.(4F).4s"	"3F"	"3"	7	" 62605.58"	
"3p6.3d7.(4F).4s"	"3F"	"2"	5	" 63471.93"	
"3p6.3d7.(4P).4s"	"5P"	"3"	7	" 71067.35"	
"3p6.3d7.(4P).4s"	"5P"	"2"	5	" 71384.10"	
"3p6.3d7.(4P).4s"	"5P"	"1"	3	" 71842.42"	
"3p6.3d7.(2G).4s"	"3G"	"5"	11	" 75123.65"	
"3p6.3d7.(2G).4s"	"3G"	"4"	9	" 75646.61"	
"3p6.3d7.(2G).4s"	"3G"	"3"	7	" 76237.25"	
"3p6.3d7.(4P).4s"	"3P"	"2"	5	" 78303.54"	
"3p6.3d7.(4P).4s"	"3P"	"1"	3	" 78482.43"	
"3p6.3d7.(4P).4s"	"3P"	"0"	1	" 78657.55"	
"3p6.3d7.(2P).4s"	"3P"	"2"	5	" 79143.01"	
"3p6.3d7.(2G).4s"	"1G"	"4"	9	" 79250.11"	
"3p6.3d7.(2P).4s"	"3P"	"1"	3	" 79749.22"	
"3p6.3d7.(2P).4s"	"3P"	"0"	1	" 80621.10"	
"3p6.3d7.(2H).4s"	"3H"	"6"	13	" 81686.80"	
"3p6.3d7.(a 2D).4s"	"3D"	"3"	7	" 82172.60"	
