Configuration	Term	J	g	Level (cm-1)
"2s2.2p4"	"3P"	"2"	5	" 0.000"	
"2s2.2p4"	"3P"	"1"	3	" 158.265"	
"2s2.2p4"	"3P"	"0"	1	" 226.977"	
"2s2.2p4"	"1D"	"2"	5	" 15867.862"	
"2s2.2p4"	"1S"	"0"	1	" 33792.583"	
"2s2.2p3.(4S*).3s"	"5S*"	"2"	5	" 73768.200"	
"2s2.2p3.(4S*).3s"	"3S*"	"1"	3	" 76794.978"	
"2s2.2p3.(4S*).3p"	"5P"	"1"	3	" 86625.757"	
"2s2.2p3.(4S*).3p"	"5P"	"2"	5	" 86627.778"	
"2s2.2p3.(4S*).3p"	"5P"	"3"	7	" 86631.454"	
"2s2.2p3.(4S*).3p"	"3P"	"1"	3	" 88630.587"	
"2s2.2p3.(4S*).3p"	"3P"	"2"	5	" 88631.146"	
"2s2.2p3.(4S*).3p"	"3P"	"0"	1	" 88631.303"	
"2s2.2p3.(4S*).4s"	"5S*"	"2"	5	" 95476.728"	
"2s2.2p3.(4S*).4s"	"3S*"	"1"	3	" 96225.049"	
"2s2.2p3.(4S*).3d"	"5D*"	"4"	9	" 97420.630"	
"2s2.2p3.(4S*).3d"	"5D*"	"3"	7	" 97420.716"	
"2s2.2p3.(4S*).3d"	"5D*"	"2"	5	" 97420.839"	
"2s2.2p3.(4S*).3d"	"5D*"	"1"	3	" 97420.942"	
"2s2.2p3.(4S*).3d"	"5D*"	"0"	1	" 97420.991"	
"2s2.2p3.(4S*).3d"	"3D*"	"1"	3	" 97488.378"	
"2s2.2p3.(4S*).3d"	"3D*"	"2"	5	" 97488.448"	
"2s2.2p3.(4S*).3d"	"3D*"	"3"	7	" 97488.538"	
"2s2.2p3.(4S*).4p"	"5P"	"1"	3	" 99092.968"	
"2s2.2p3.(4S*).4p"	"5P"	"2"	5	" 99093.641"	
"2s2.2p3.(4S*).4p"	"5P"	"3"	7	" 99094.837"	
"2s2.2p3.(4S*).4p"	"3P"	"1"	3	" 99680.968"	
"2s2.2p3.(4S*).4p"	"3P"	"2"	5	" 99681.049"	
"2s2.2p3.(4S*).4p"	"3P"	"0"	1	" 99681.309"	
"2s2.2p3.(2D*).3s"	"3D*"	"3"	7	" 101135.407"	
"2s2.2p3.(2D*).3s"	"3D*"	"2"	5	" 101147.526"	
"2s2.2p3.(2D*).3s"	"3D*"	"1"	3	" 101155.422"	
"2s2.2p3.(4S*).5s"	"5S*"	"2"	5	" 102116.698"	
"2s2.2p3.(4S*).5s"	"3S*"	"1"	3	" 102411.995"	
"2s2.2p3.(2D*).3s"	"1D*"	"2"	5	" 102662.026"	
"2s2.2p3.(4S*).4d"	"5D*"	"4"	9	" 102865.506"	
"2s2.2p3.(4S*).4d"	"5D*"	"3"	7	" 102865.547"	
"2s2.2p3.(4S*).4d"	"5D*"	"2"	5	" 102865.606"	
"2s2.2p3.(4S*).4d"	"5D*"	"1"	3	" 102865.655"	
"2s2.2p3.(4S*).4d"	"5D*"	"0"	1	" 102865.679"	
"2s2.2p3.(4S*).4d"	"3D*"	"3"	7	" 102908.374"	
"2s2.2p3.(4S*).4d"	"3D*"	"2"	5	" 102908.443"	
"2s2.2p3.(4S*).4d"	"3D*"	"1"	3	" 102908.489"	
"2s2.2p3.(4S*).4f"	"5F"	"5"	11	" 102968.249"	
"2s2.2p3.(4S*).4f"	"5F"	"4"	9	" 102968.249"	
"2s2.2p3.(4S*).4f"	"5F"	"3"	7	" 102968.249"	
"2s2.2p3.(4S*).4f"	"5F"	"2"	5	" 102968.249"	
"2s2.2p3.(4S*).4f"	"5F"	"1"	3	" 102968.249"	
"2s2.2p3.(4S*).4f"	"3F"	"4"	9	" 102968.343"	
"2s2.2p3.(4S*).4f"	"3F"	"3"	7	" 102968.343"	
"2s2.2p3.(4S*).4f"	"3F"	"2"	5	" 102968.343"	
"2s2.2p3.(4S*).5p"	"5P"	"1"	3	" 103625.754"	
"2s2.2p3.(4S*).5p"	"5P"	"2"	5	" 103626.111"	
"2s2.2p3.(4S*).5p"	"5P"	"3"	7	" 103626.611"	
"2s2.2p3.(4S*).5p"	"3P"	"2"	5	" 103869.968"	
"2s2.2p3.(4S*).5p"	"3P"	"1"	3	" 103870.028"	
"2s2.2p3.(4S*).5p"	"3P"	"0"	1	" 103870.252"	
"2s2.2p3.(4S*).6s"	"5S*"	"2"	5	" 105019.307"	
"2s2.2p3.(4S*).6s"	"3S*"	"1"	3	" 105165.232"	
"2s2.2p3.(4S*).5d"	"5D*"	"4"	9	" 105385.354"	
"2s2.2p3.(4S*).5d"	"5D*"	"3"	7	" 105385.377"	
"2s2.2p3.(4S*).5d"	"5D*"	"2"	5	" 105385.409"	
"2s2.2p3.(4S*).5d"	"5D*"	"1"	3	" 105385.436"	
"2s2.2p3.(4S*).5d"	"5D*"	"0"	1	" 105385.449"	
"2s2.2p3.(4S*).5d"	"3D*"	"3"	7	" 105409.008"	
"2s2.2p3.(4S*).5d"	"3D*"	"2"	5	" 105409.008"	
"2s2.2p3.(4S*).5d"	"3D*"	"1"	3	" 105409.008"	
"2s2.2p3.(4S*).5f"	"5F"	"5"	11	" 105441.645"	
"2s2.2p3.(4S*).5f"	"5F"	"4"	9	" 105441.645"	
"2s2.2p3.(4S*).5f"	"5F"	"3"	7	" 105441.645"	
"2s2.2p3.(4S*).5f"	"5F"	"2"	5	" 105441.645"	
"2s2.2p3.(4S*).5f"	"5F"	"1"	3	" 105441.645"	
"2s2.2p3.(4S*).5f"	"3F"	"4"	9	" 105441.724"	
"2s2.2p3.(4S*).5f"	"3F"	"3"	7	" 105441.724"	
"2s2.2p3.(4S*).5f"	"3F"	"2"	5	" 105441.724"	
"2s2.2p3.(4S*).6p"	"5P"	"1"	3	" 105788.431"	
"2s2.2p3.(4S*).6p"	"5P"	"2"	5	" 105788.595"	
"2s2.2p3.(4S*).6p"	"5P"	"3"	7	" 105788.856"	
"2s2.2p3.(4S*).6p"	"3P"	"2"	5	" 105912.031"	
"2s2.2p3.(4S*).6p"	"3P"	"1"	3	" 105912.031"	
"2s2.2p3.(4S*).6p"	"3P"	"0"	1	" 105912.031"	
"2s2.2p3.(4S*).7s"	"5S*"	"2"	5	" 106545.354"	
"2s2.2p3.(4S*).7s"	"3S*"	"1"	3	" 106627.934"	
"2s2.2p3.(4S*).6d"	"5D*"	"4"	9	" 106751.447"	
"2s2.2p3.(4S*).6d"	"5D*"	"3"	7	" 106751.458"	
"2s2.2p3.(4S*).6d"	"5D*"	"2"	5	" 106751.474"	
"2s2.2p3.(4S*).6d"	"5D*"	"1"	3	" 106751.487"	
"2s2.2p3.(4S*).6d"	"5D*"	"0"	1	" 106751.494"	
"2s2.2p3.(4S*).6d"	"3D*"	"3"	7	" 106765.803"	
"2s2.2p3.(4S*).6d"	"3D*"	"2"	5	" 106765.803"	
"2s2.2p3.(4S*).6d"	"3D*"	"1"	3	" 106765.803"	
"2s2.2p3.(4S*).6f"	"5F"	"5"	11	" 106785.160"	
"2s2.2p3.(4S*).6f"	"5F"	"4"	9	" 106785.160"	
"2s2.2p3.(4S*).6f"	"5F"	"3"	7	" 106785.160"	
"2s2.2p3.(4S*).6f"	"5F"	"2"	5	" 106785.160"	
"2s2.2p3.(4S*).6f"	"5F"	"1"	3	" 106785.160"	
"2s2.2p3.(4S*).6f"	"3F"	"4"	9	" 106785.201"	
"2s2.2p3.(4S*).6f"	"3F"	"3"	7	" 106785.201"	
"2s2.2p3.(4S*).6f"	"3F"	"2"	5	" 106785.201"	
"2s2.2p3.(4S*).6g"	"3G*"	"5"	11	" 106787.903"	
"2s2.2p3.(4S*).6g"	"5G*"	"6"	13	" 106787.903"	
"2s2.2p3.(4S*).6g"	"3G*"	"4"	9	" 106787.903"	
"2s2.2p3.(4S*).6g"	"3G*"	"3"	7	" 106787.903"	
"2s2.2p3.(4S*).6g"	"5G*"	"5"	11	" 106787.903"	
"2s2.2p3.(4S*).6g"	"5G*"	"4"	9	" 106787.903"	
"2s2.2p3.(4S*).6g"	"5G*"	"3"	7	" 106787.903"	
"2s2.2p3.(4S*).6g"	"5G*"	"2"	5	" 106787.903"	
"2s2.2p3.(4S*).8s"	"5S*"	"2"	5	" 107446.036"	
"2s2.2p3.(4S*).8s"	"3S*"	"1"	3	" 107497.224"	
"2s2.2p3.(4S*).7d"	"5D*"	"4"	9	" 107573.476"	
"2s2.2p3.(4S*).7d"	"5D*"	"3"	7	" 107573.484"	
"2s2.2p3.(4S*).7d"	"5D*"	"2"	5	" 107573.495"	
"2s2.2p3.(4S*).7d"	"5D*"	"1"	3	" 107573.504"	
"2s2.2p3.(4S*).7d"	"5D*"	"0"	1	" 107573.508"	
"2s2.2p3.(4S*).7d"	"3D*"	"3"	7	" 107582.777"	
"2s2.2p3.(4S*).7d"	"3D*"	"2"	5	" 107582.777"	
"2s2.2p3.(4S*).7d"	"3D*"	"1"	3	" 107582.777"	
"2s2.2p3.(4S*).7f"	"5F"	"5"	11	" 107595.140"	
"2s2.2p3.(4S*).7f"	"5F"	"4"	9	" 107595.140"	
"2s2.2p3.(4S*).7f"	"5F"	"3"	7	" 107595.140"	
"2s2.2p3.(4S*).7f"	"5F"	"2"	5	" 107595.140"	
"2s2.2p3.(4S*).7f"	"5F"	"1"	3	" 107595.140"	
"2s2.2p3.(4S*).7f"	"3F"	"4"	9	" 107595.147"	
"2s2.2p3.(4S*).7f"	"3F"	"3"	7	" 107595.147"	
"2s2.2p3.(4S*).7f"	"3F"	"2"	5	" 107595.147"	
"2s2.2p3.(4S*).9s"	"5S*"	"2"	5	" 108021.400"	
"2s2.2p3.(4S*).9s"	"3S*"	"1"	3	" 108056.000"	
"2s2.2p3.(4S*).8d"	"5D*"	"4"	9	" 108106.072"	
"2s2.2p3.(4S*).8d"	"5D*"	"3"	7	" 108106.077"	
"2s2.2p3.(4S*).8d"	"5D*"	"2"	5	" 108106.085"	
"2s2.2p3.(4S*).8d"	"5D*"	"1"	3	" 108106.091"	
"2s2.2p3.(4S*).8d"	"5D*"	"0"	1	" 108106.094"	
"2s2.2p3.(4S*).8d"	"3D*"	"3"	7	" 108114.0"	
"2s2.2p3.(4S*).8d"	"3D*"	"2"	5	" 108114.0"	
"2s2.2p3.(4S*).8d"	"3D*"	"1"	3	" 108114.0"	
"2s2.2p3.(4S*).10s"	"5S*"	"2"	5	" 108412.0"	
"2s2.2p3.(4S*).10s"	"3S*"	"1"	3	" 108436.3"	
"2s2.2p3.(4S*).9d"	"5D*"	"4"	9	" 108470.23"	
"2s2.2p3.(4S*).9d"	"5D*"	"3"	7	" 108470.23"	
"2s2.2p3.(4S*).9d"	"5D*"	"2"	5	" 108470.23"	
"2s2.2p3.(4S*).9d"	"5D*"	"1"	3	" 108470.23"	
