Configuration	Term	J	g	Level (cm-1)
"2s2.2p2"	"3P"	"0"	1	" 0.000"	
"2s2.2p2"	"3P"	"1"	3	" 113.178"	
"2s2.2p2"	"3P"	"2"	5	" 306.174"	
"2s2.2p2"	"1D"	"2"	5	" 20273.27"	
"2s2.2p2"	"1S"	"0"	1	" 43185.74"	
"2s.2p3"	"5S*"	"2"	5	" 60324.79"	
"2s.2p3"	"3D*"	"3"	7	" 120025.2"	
"2s.2p3"	"3D*"	"2"	5	" 120053.4"	
"2s.2p3"	"3D*"	"1"	3	" 120058.2"	
"2s.2p3"	"3P*"	"2"	5	" 142381.0"	
"2s.2p3"	"3P*"	"1"	3	" 142381.8"	
"2s.2p3"	"3P*"	"0"	1	" 142393.5"	
"2s.2p3"	"1D*"	"2"	5	" 187054.0"	
"2s.2p3"	"3S*"	"1"	3	" 197087.7"	
"2s.2p3"	"1P*"	"1"	3	" 210461.8"	
"2s2.2p.(2P*).3s"	"3P*"	"0"	1	" 267258.71"	
"2s2.2p.(2P*).3s"	"3P*"	"1"	3	" 267377.11"	
"2s2.2p.(2P*).3s"	"3P*"	"2"	5	" 267634.00"	
"2s2.2p.(2P*).3s"	"1P*"	"1"	3	" 273081.33"	
"2p4"	"3P"	"2"	5	" 283759.70"	
"2p4"	"3P"	"1"	3	" 283977.40"	
"2p4"	"3P"	"0"	1	" 284071.90"	
"2s2.2p.(2P*).3p"	"1P"	"1"	3	" 290958.25"	
"2s2.2p.(2P*).3p"	"3D"	"1"	3	" 293866.49"	
"2s2.2p.(2P*).3p"	"3D"	"2"	5	" 294002.86"	
"2s2.2p.(2P*).3p"	"3D"	"3"	7	" 294223.07"	
"2s2.2p.(2P*).3p"	"3S"	"1"	3	" 297558.66"	
"2p4"	"1D"	"2"	5	" 298294.0"	
"2s2.2p.(2P*).3p"	"3P"	"0"	1	" 300229.93"	
"2s2.2p.(2P*).3p"	"3P"	"1"	3	" 300311.96"	
"2s2.2p.(2P*).3p"	"3P"	"2"	5	" 300442.55"	
"2s2.2p.(2P*).3p"	"1D"	"2"	5	" 306586.08"	
"2s2.2p.(2P*).3p"	"1S"	"0"	1	" 313802.77"	
"2s2.2p.(2P*).3d"	"3F*"	"2"	5	" 324464.88"	
"2s2.2p.(2P*).3d"	"3F*"	"3"	7	" 324660.80"	
"2s2.2p.(2P*).3d"	"1D*"	"2"	5	" 324735.65"	
"2s2.2p.(2P*).3d"	"3F*"	"4"	9	" 324839.03"	
"2s2.2p.(2P*).3d"	"3D*"	"1"	3	" 327229.25"	
"2s2.2p.(2P*).3d"	"3D*"	"2"	5	" 327278.30"	
"2s2.2p.(2P*).3d"	"3D*"	"3"	7	" 327352.17"	
"2s2.2p.(2P*).3d"	"3P*"	"2"	5	" 329469.80"	
"2s2.2p.(2P*).3d"	"3P*"	"1"	3	" 329583.89"	
"2s2.2p.(2P*).3d"	"3P*"	"0"	1	" 329645.14"	
"2s2.2p.(2P*).3d"	"1F*"	"3"	7	" 331821.44"	
"2s2.2p.(2P*).3d"	"1P*"	"1"	3	" 332778.94"	
"2s.2p2.(4P).3s"	"5P"	"1"	3	" 338577.25"	
