Configuration	Term	J	g	Level (cm-1)
"2s2.2p"	"2P*"	"1/2"	2	" 0.0"	
"2s2.2p"	"2P*"	"3/2"	4	" 385.9"	
"2s.2p2"	"4P"	"1/2"	2	" 71439.8"	
"2s.2p2"	"4P"	"3/2"	4	" 71570.1"	
"2s.2p2"	"4P"	"5/2"	6	" 71755.5"	
"2s.2p2"	"2D"	"5/2"	6	" 126936.3"	
"2s.2p2"	"2D"	"3/2"	4	" 126950.2"	
"2s.2p2"	"2S"	"1/2"	2	" 164366.4"	
"2s.2p2"	"2P"	"1/2"	2	" 180480.8"	
"2s.2p2"	"2P"	"3/2"	4	" 180724.2"	
"2p3"	"4S*"	"3/2"	4	" 231537.5"	
"2p3"	"2D*"	"5/2"	6	" 255155.9"	
"2p3"	"2D*"	"3/2"	4	" 255184.9"	
"2p3"	"2P*"	"1/2"	2	" 289015.4"	
"2p3"	"2P*"	"3/2"	4	" 289023.5"	
"2s2.3s"	"2S"	"1/2"	2	" 357614.3"	
"2s2.3p"	"2P*"	"1/2"	2	" 390161.2"	
"2s2.3p"	"2P*"	"3/2"	4	" 390248.0"	
"2s2.3d"	"2D"	"3/2"	4	" 419533.9"	
"2s2.3d"	"2D"	"5/2"	6	" 419550.6"	
"2s.2p.(3P*).3s"	"4P*"	"1/2"	2	" 438849.0"	
"2s.2p.(3P*).3s"	"4P*"	"3/2"	4	" 438983.9"	
"2s.2p.(3P*).3s"	"4P*"	"5/2"	6	" 439230.9"	
"2s.2p.(3P*).3s"	"2P*"	"1/2"	2	" 452806.6"	
"2s.2p.(3P*).3s"	"2P*"	"3/2"	4	" 453071.5"	
"2s.2p.(3P*).3p"	"2P"	"1/2"	2	" 467229.3"	
"2s.2p.(3P*).3p"	"2P"	"3/2"	4	" 467344.9"	
"2s.2p.(3P*).3p"	"4D"	"1/2"	2	" 468337.4"	
"2s.2p.(3P*).3p"	"4D"	"3/2"	4	" 468414.9"	
"2s.2p.(3P*).3p"	"4D"	"5/2"	6	" 468550.6"	
"2s.2p.(3P*).3p"	"4D"	"7/2"	8	" 468760.0"	
"2s.2p.(3P*).3p"	"4S"	"3/2"	4	" 474478.1"	
"2s.2p.(3P*).3p"	"4P"	"1/2"	2	" 478848.6"	
"2s.2p.(3P*).3p"	"4P"	"3/2"	4	" 478942.9"	
"2s.2p.(3P*).3p"	"4P"	"5/2"	6	" 479072.0"	
"2s.2p.(3P*).3p"	"2D"	"3/2"	4	" 482666.1"	
"2s.2p.(3P*).3p"	"2D"	"5/2"	6	" 482921.6"	
"2s2.4s"	"2S"	"1/2"	2	" 485821.7"	
"2s.2p.(3P*).3p"	"2S"	"1/2"	2	" 492890.9"	
"2s.2p.(3P*).3d"	"4F*"	"3/2"	4	" 495169"	
"2s.2p.(3P*).3d"	"4F*"	"5/2"	6	" 495246.1"	
"2s.2p.(3P*).3d"	"4F*"	"7/2"	8	" 495359.6"	
"2s.2p.(3P*).3d"	"4F*"	"9/2"	10	" 495512.9"	
"2s.2p.(3P*).3d"	"4D*"	"1/2"	2	" 499767.2"	
"2s.2p.(3P*).3d"	"4D*"	"3/2"	4	" 499795.7"	
"2s.2p.(3P*).3d"	"4D*"	"5/2"	6	" 499842.6"	
"2s.2p.(3P*).3d"	"4D*"	"7/2"	8	" 499907.0"	
"2s2.4p"	"2P*"	"1/2"	2	" 499994.9"	
"2s2.4p"	"2P*"	"3/2"	4	" 500037.8"	
"2s.2p.(3P*).3d"	"2D*"	"3/2"	4	" 501509.2"	
"2s.2p.(3P*).3d"	"2D*"	"5/2"	6	" 501564.4"	
"2s.2p.(3P*).3d"	"4P*"	"5/2"	6	" 504095.7"	
"2s.2p.(3P*).3d"	"4P*"	"3/2"	4	" 504208.9"	
"2s.2p.(3P*).3d"	"4P*"	"1/2"	2	" 504282.3"	
"2s2.4d"	"2D"	"3/2"	4	" 510569.7"	
"2s2.4d"	"2D"	"5/2"	6	" 510574.1"	
"2s.2p.(3P*).3d"	"2F*"	"5/2"	6	" 510744.9"	
"2s.2p.(3P*).3d"	"2F*"	"7/2"	8	" 510977.2"	
"2s2.4f"	"2F*"	"5/2"	6	" 513187.2"	
"2s2.4f"	"2F*"	"7/2"	8	" 513198.3"	
"2s.2p.(3P*).3d"	"2P*"	"3/2"	4	" 514220.4"	
"2s.2p.(3P*).3d"	"2P*"	"1/2"	2	" 514371.3"	
"2s.2p.(1P*).3s"	"2P*"	"1/2"	2	" 518699"	
"2s.2p.(1P*).3s"	"2P*"	"3/2"	4	" 518709"	
"2s2.5s"	"2S"	"1/2"	2	" 539368"	
"2s2.5p"	"2P*"	"1/2"	2	" 546803.4"	
"2s2.5p"	"2P*"	"3/2"	4	" 546818.7"	
"2s.2p.(1P*).3p"	"2D"	"3/2"	4	" 547326"	
"2s.2p.(1P*).3p"	"2D"	"5/2"	6	" 547355"	
"2s.2p.(1P*).3p"	"2P"	"1/2"	2	" 549792"	
"2s.2p.(1P*).3p"	"2P"	"3/2"	4	" 549855"	
"2s2.5d"	"2D"	"3/2"	4	" 552029.6"	
"2s2.5d"	"2D"	"5/2"	6	" 552032.3"	
"2s2.5f"	"2F*"	"5/2"	6	" 552495.1"	
"2s2.5f"	"2F*"	"7/2"	8	" 552495.1"	
"2s2.5g"	"2G"	"7/2"	8	" 554001.6"	
"2s2.5g"	"2G"	"9/2"	10	" 554001.6"	
"2s.2p.(1P*).3p"	"2S"	"1/2"	2	" 554464"	
"2s.2p.(3P*).4s"	"4P*"	"1/2"	2	" 568901"	
"2s.2p.(3P*).4s"	"4P*"	"3/2"	4	" 569036"	
