Configuration	Term	J	g	Level (cm-1)
"5d6.6s2"	"a 5D"	"4"	9	" 0.00"	
"5d6.6s2"	"a 5D"	"2"	5	" 2740.49"	
"5d6.6s2"	"a 5D"	"3"	7	" 4159.32"	
"5d7.(4F).6s"	"a 5F"	"5"	11	" 5143.92"	
"5d6.6s2"	"a 5D"	"1"	3	" 5766.14"	
"5d6.6s2"	"a 5D"	"0"	1	" 6092.79"	
"5d7.(4F).6s"	"a 5F"	"4"	9	" 8742.83"	
"5d7.(4F).6s"	"a 5F"	"2"	5	" 10165.98"	
"5d7.(4F).6s"	"a 3F"	"4"	9	" 11030.58"	
"5d7.(4F).6s"	"a 5F"	"3"	7	" 11378.00"	
"5d7.(4F).6s"	"a 3F"	"2"	5	" 12774.38"	
"5d7.(4F).6s"	"a 5F"	"1"	3	" 13020.07"	
""	"1336"	"2"	5	" 13364.83"	
"5d7.(4F).6s"	"a 3F"	"3"	7	" 14091.37"	
"5d6.6s2"	"a 3H"	"5"	11	" 14338.99"	
"5d6.6s2"	"a 3H"	"4"	9	" 14848.05"	
"5d6.6s2"	"a 3H"	"6"	13	" 14852.33"	
""	"1522"	"2"	5	" 15222.57"	
"5d7.(4P).6s"	"a 5P"	"3"	7	" 15390.76"	
""	"1621"	"1"	3	" 16212.41"	
""	"1766"	"1"	3	" 17667.34"	
"5d7.(4P).6s"	"a 3P"	"0"	1	" 18301.40"	
""	"1890"	"3"	7	" 18901.94"	
""	"1904"	"0"	1	" 19048.91"	
""	"1910"	"4"	9	" 19108.87"	
""	"1941"	"2"	5	" 19410.66"	
""	"1989"	"4"	9	" 19893.07"	
""	"2103"	"1"	3	" 21033.45"	
""	"2112"	"3"	7	" 21123.66"	
""	"2130"	"2"	5	" 21303.36"	
""	"2256"	"1"	3	" 22563.65"	
"5d6.6s.(6D).6p"	"z 7D*"	"4"	9	" 22615.69"	
""	"2331"	"2"	5	" 23317.60"	
""	"2332"	"4"	9	" 23322.66"	
"5d6.6s.(6D).6p"	"z 7D*"	"5"	11	" 23462.90"	
""	"2398"	"3"	7	" 23984.58"	
""	"2429"	"5"	11	" 24291.97"	
"5d6.6s.(6D).6p"	"z 7D*"	"3"	7	" 25012.93"	
""	"2506"	"2"	5	" 25069.71"	
"5d6.6s.(6D).6p"	"z 7D*"	"2"	5	" 25275.42"	
""	"2559"	"3"	7	" 25593.94"	
""	"2560"	"4"	9	" 25601.55"	
""	"2795*"	"2"	5	" 27954.32"	
""	"2813"	"3"	7	" 28139.52"	
"5d6.6s.(6D).6p"	"z 7P*"	"4"	9	" 28331.77"	
"5d6.6s.(6D).6p"	"z 7P*"	"3"	7	" 28371.68"	
""	"2841"	"2"	5	" 28411.95"	
""	"2860*"	"2"	5	" 28609.97"	
"5d6.6s.(6D).6p"	"z 7F*"	"6"	13	" 29099.41"	
""	"2938*"	"3"	7	" 29381.65"	
""	"2939"	"4"	9	" 29394.30"	
""	"3005"	"2"	5	" 30056.79"	
""	"3007*"	"2"	5	" 30078.28"	
""	"3027*"	"5"	11	" 30279.95"	
""	"3052*"	"1"	3	" 30524.92"	
""	"3059*"	"4"	9	" 30591.45"	
""	"3245*"	"2"	5	" 32457.44"	
""	"3268*"	"4"	9	" 32684.61"	
""	"3312*"	"3"	7	" 33124.48"	
""	"3412*"	"3"	7	" 34125.40"	
""	"3436*"	"5"	11	" 34365.33"	
""	"3480*"	"4"	9	" 34803.82"	
""	"3509*"	"2"	5	" 35090.50"	
""	"3561*"	"3"	7	" 35615.92"	
""	"3591*"	"1"	3	" 35919.55"	
""	"3634*"	"2"	5	" 36345.81"	
""	"3663*"	"2"	5	" 36634.54"	
""	"3680*"	"3"	7	" 36806.27"	
""	"3681*"	"5"	11	" 36817.94"	
""	"3682*"	"4"	9	" 36826.39"	
""	"3697*"	"1"	3	" 36979.51"	
""	"3780*"	"3"	7	" 37808.58"	
""	"3790*"	"4"	9	" 37908.77"	
""	"3792*"	"2"	5	" 37921.71"	
""	"3813*"	"4"	9	" 38130.09"	
""	"3824*"	"1"	3	" 38244.20"	
""	"3826*"	"3"	7	" 38264.16"	
""	"3833*"	"2"	5	" 38330.75"	
