Configuration	Term	J	g	Level (cm-1)
"5d6.(5D).6s"	"a 6D"	"9/2"	10	" 0.00"	
"5d6.(5D).6s"	"a 6D"	"7/2"	8	" 3593.15"	
"5d6.(5D).6s"	"a 6D"	"5/2"	6	" 3928.94"	
"5d6.(5D).6s"	"a 6D"	"3/2"	4	" 5592.05"	
"5d6.(5D).6s"	"a 6D"	"1/2"	2	" 6636.57"	
""	"7891"	"5/2"	6	" 7891.93"	
""	"1145"	"7/2"	8	" 11459.90"	
""	"1165"	"5/2"	6	" 11654.08"	
""	"1313"	"3/2"	4	" 13136.61"	
""	"1320"	"7/2"	8	" 13203.88"	
""	"1341"	"5/2"	6	" 13414.80"	
""	"1560"	"9/2"	10	" 15605.58"	
""	"1724"	"7/2"	8	" 17242.26"	
""	"1742"	"3/2"	4	" 17424.39"	
""	"1756"	"5/2"	6	" 17569.40"	
""	"1768"	"11/2"	12	" 17688.64"	
""	"1959"	"5/2"	6	" 19590.91"	
""	"1998"	"7/2"	8	" 19985.93"	
""	"2159"	"9/2"	10	" 21590.81"	
""	"2446"	"5/2"	6	" 24465.66"	
""	"2498"	"7/2"	8	" 24980.73"	
""	"2545"	"5/2"	6	" 25452.13"	
""	"3732*"	"5/2"	6	" 37321.53"	
""	"3938*"	"7/2"	8	" 39389.49"	
"5d6.(5D).6p"	"z 6D*"	"7/2"	8	" 43802.36"	
"5d6.(5D).6p"	"z 6D*"	"9/2"	10	" 44315.40"	
"5d6.(5D).6p"	"z 6D*"	"3/2"	4	" 46157.19"	
"5d6.(5D).6p"	"z 6D*"	"5/2"	6	" 46373.51"	
"5d6.(5D).6p"	"z 6D*"	"1/2"	2	" 48128.08"	
""	"4879*"	"5/2"	6	" 48798.70"	
""	"4914*"	"7/2"	8	" 49149.39"	
""	"5195*"	"9/2"	10	" 51951.61"	
""	"5220*"	"7/2"	8	" 52206.48"	
""	"5437*"	"7/2"	8	" 54379.27"	
""	"5444*"	"5/2"	6	" 54445.19"	
""	"5553*"	"5/2"	6	" 55538.65"	
""	"5563*"	"3/2"	4	" 55635.92"	
""	"5679*"	"7/2"	8	" 56791.35"	
""	"5740*"	"7/2"	8	" 57402.59"	
"Os III (5d6 5D<4>)"	"Limit"	"---"		"[137000]"	
