Configuration	Term	J	g	Level (cm-1)
"5d6"	"5D"	"4"	9	" 0.00"	
"5d6"	"5D"	"3"	7	" 3849.26"	
"5d6"	"5D"	"2"	5	" 3993.38"	
"5d5.(6S).6s"	"7S"	"3"	7	" 4578.41"	
"5d6"	"5D"	"1"	3	" 6154.41"	
"5d6"	"5D"	"0"	1	" 6316.98"	
"5d6"	"12535"	"4"	9	" 12535.51"	
"5d6"	"3P2"	"2"	5	" 15131.09"	
"5d6"	"3G"	"5"	11	" 15780.66"	
"5d6"	"3H"	"6"	13	" 16720.70"	
"5d6"	"17073"	"3"	7	" 17073.05"	
"5d6"	"3F2"	"2"	5	" 18322.35"	
"5d6"	"3D"	"1"	3	" 20060.69"	
"5d6"	"3D"	"2"	5	" 21136.37"	
"5d6"	"3H"	"4"	9	" 21444.35"	
"5d6"	"3D"	"3"	7	" 21745.01"	
"5d6"	"3G"	"4"	9	" 22487.18"	
"5d5.(6S).6s"	"5S"	"2"	5	" 22948.90"	
"5d6"	"3H"	"5"	11	" 23408.63"	
"5d6"	"24097"	"3"	7	" 24097.17"	
"5d5.6s"	"25936"	"3"	7	" 25936.28"	
"5d5.(4G).6s"	"5G"	"2"	5	" 26118.50"	
"5d5.(4G).6s"	"5G"	"4"	9	" 27662.82"	
"5d6"	"1I"	"6"	13	" 27885.00"	
"5d5.6s"	"28512"	"3"	7	" 28512.63"	
"5d5.(4G).6s"	"5G"	"6"	13	" 28637.57"	
"5d5.(4G).6s"	"5G"	"5"	11	" 28702.51"	
"5d5.6s"	"29237"	"2"	5	" 29237.90"	
"5d6"	"1G2"	"4"	9	" 29793.58"	
"5d6"	"1F"	"3"	7	" 29817.03"	
"5d5.(4P).6s"	"5P"	"1"	3	" 30196.40"	
"5d5.(4D).6s"	"5D"	"4"	9	" 32857.75"	
"5d5.(4D).6s"	"5D"	"3"	7	" 35710.22"	
"5d5.6s"	"36473"	"2"	5	" 36473.90"	
"5d6"	"3F1"	"4"	9	" 36856.04"	
"5d5.(2I).6s"	"3I"	"5"	11	" 38705.98"	
"5d5.(4G).6s"	"3G"	"3"	7	" 38847.26"	
""	"39842"	"2"	5	" 39842.60"	
"5d5.(4G).6s"	"3G"	"4"	9	" 40611.66"	
"5d5.(2I).6s"	"3I"	"6"	13	" 40782.99"	
""	"41049"	"3"	7	" 41049.90"	
"5d5.(4F).6s"	"5F"	"5"	11	" 41236.86"	
"5d5.(2I).6s"	"3I"	"7"	15	" 42871.88"	
"5d5.(4F).6s"	"5F"	"4"	9	" 43501.91"	
"5d5.(4G).6s"	"3G"	"5"	11	" 43997.75"	
""	"44000"	"3"	7	" 44000.29"	
"5d5.(4D).6s"	"3D"	"3"	7	" 45223.77"	
"5d5.6s"	"45225"	"2"	5	" 45225.11"	
"5d5.6s"	"47303"	"4"	9	" 47303.54"	
"5d5.(2I).6s"	"1I"	"6"	13	" 47785.16"	
"5d5.(2G2).6s"	"3G"	"5"	11	" 48302.11"	
"5d5.(2G2).6s"	"3G"	"3"	7	" 49019.74"	
"5d5.6s"	"50499"	"4"	9	" 50499.32"	
"5d5.6s"	"51319"	"4"	9	" 51319.29"	
"5d5.6s"	"53663"	"4"	9	" 53663.39"	
"5d5.(2H).6s"	"3H"	"5"	11	" 55059.33"	
"5d5.(2H).6s"	"3H"	"6"	13	" 55868.27"	
"5d5.(6S).6p"	"7P*"	"2"	5	" 60018.00"	
"5d5.(2H).6s"	"1H"	"5"	11	" 60064.09"	
"5d5.(6S).6p"	"7P*"	"3"	7	" 61695.61"	
"5d5.(6S).6p"	"7P*"	"4"	9	" 70560.93"	
"5d5.6p"	"73443*"	"2"	5	" 73443.16"	
"5d5.6p"	"74171*"	"3"	7	" 74171.84"	
"5d5.(6S).6p"	"5P*"	"1"	3	" 74933.05"	
"5d5.(6S).6p"	"5P*"	"2"	5	" 75474.02"	
"5d5.6p"	"76620*"	"3"	7	" 76620.91"	
"5d5.6p"	"79104*"	"2"	5	" 79104.54"	
"5d5.6p"	"79161*"	"1"	3	" 79161.38"	
"5d5.6p"	"79532*"	"4"	9	" 79532.25"	
"5d5.(4P).6p"	"5D*"	"0"	1	" 79939.2"	
"5d5.6p"	"80017*"	"3"	7	" 80017.62"	
"5d5.6p"	"80620*"	"2"	5	" 80620.07"	
"5d5.6p"	"80888*"	"5"	11	" 80888.73"	
"5d5.(4G).6p"	"5G*"	"6"	13	" 81206.61"	
"5d5.6p"	"81267*"	"3"	7	" 81267.77"	
"5d5.6p"	"83322*"	"4"	9	" 83322.22"	
"5d5.(4G).6p"	"5F*"	"5"	11	" 84223.56"	
""	"84387*"	"1"	3	" 84387.74"	
"5d5.6p"	"85558*"	"4"	9	" 85558.35"	
"5d5.6p"	"85974*"	"3"	7	" 85974.17"	
"5d5.6p"	"86429*"	"3"	7	" 86429.10"	
"5d5.6p"	"87512*"	"2"	5	" 87512.60"	
"5d5.6p"	"87906*"	"4"	9	" 87906.35"	
"5d5.6p"	"88264*"	"2"	5	" 88264.64"	
