Configuration	Term	J	g	Level (cm-1)
"3s2.3p"	"2P*"	"1/2"	2	" 0.00"	
"3s2.3p"	"2P*"	"3/2"	4	" 559.14"	
"3s.3p2"	"4P"	"1/2"	2	" 56921.67"	
"3s.3p2"	"4P"	"3/2"	4	" 57125.98"	
"3s.3p2"	"4P"	"5/2"	6	" 57454.00"	
"3s.3p2"	"2D"	"3/2"	4	" 74916.85"	
"3s.3p2"	"2D"	"5/2"	6	" 74945.86"	
"3s.3p2"	"2S"	"1/2"	2	" 100200.44"	
"3s.3p2"	"2P"	"1/2"	2	" 109037.25"	
"3s.3p2"	"2P"	"3/2"	4	" 109412.98"	
"3s2.3d"	"2D"	"3/2"	4	" 116874.56"	
"3s2.3d"	"2D"	"5/2"	6	" 116885.87"	
"3s2.4s"	"2S"	"1/2"	2	" 117835.95"	
"3s2.4p"	"2P*"	"1/2"	2	" 141376.91"	
"3s2.4p"	"2P*"	"3/2"	4	" 141513.63"	
"3s.3p.(3P*).3d"	"2D*"	"3/2"	4	" 147323.19"	
"3s.3p.(3P*).3d"	"2D*"	"5/2"	6	" 147385.26"	
"3s.3p.(3P*).3d"	"4F*"	"3/2"	4	" 159124.77"	
"3s.3p.(3P*).3d"	"4F*"	"5/2"	6	" 159238.72"	
"3s.3p.(3P*).3d"	"4F*"	"7/2"	8	" 159401.12"	
"3s.3p.(3P*).3d"	"4F*"	"9/2"	10	" 159613.67"	
"3p3"	"4S*"	"3/2"	4	" 159715.35"	
"3p3"	"2P*"	"3/2"	4	" 170110.47"	
"3p3"	"2P*"	"1/2"	2	" 170170.65"	
"3s2.4d"	"2D"	"5/2"	6	" 172429.81"	
"3s2.4d"	"2D"	"3/2"	4	" 172430.49"	
"3s.3p.(3P*).3d"	"4P*"	"5/2"	6	" 173813.17"	
"3s.3p.(3P*).3d"	"4P*"	"3/2"	4	" 173985.69"	
"3s.3p.(3P*).3d"	"4P*"	"1/2"	2	" 174106.20"	
"3s.3p.(3P*).3d"	"4D*"	"1/2"	2	" 175259.73"	
"3s.3p.(3P*).3d"	"4D*"	"3/2"	4	" 175314.07"	
"3s.3p.(3P*).3d"	"4D*"	"5/2"	6	" 175376.40"	
"3s.3p.(3P*).3d"	"4D*"	"7/2"	8	" 175425.36"	
"3s2.5s"	"2S"	"1/2"	2	" 176042.87"	
"3s2.4f"	"2F*"	"5/2"	6	" 178655.23"	
"3s2.4f"	"2F*"	"7/2"	8	" 178655.78"	
"3s.3p.(3P*).4s"	"4P*"	"1/2"	2	" 184453.79"	
"3s.3p.(3P*).4s"	"4P*"	"3/2"	4	" 184639.75"	
"3s2.5p"	"2P*"	"1/2"	2	" 184740.77"	
"3s2.5p"	"2P*"	"3/2"	4	" 184858.12"	
"3s.3p.(3P*).4s"	"4P*"	"5/2"	6	" 185045.62"	
"3p3"	"2D*"	"5/2"	6	" 185074.34"	
"3p3"	"2D*"	"3/2"	4	" 185098.48"	
"3s.3p.(3P*).3d"	"2F*"	"5/2"	6	" 188215.25"	
"3s.3p.(3P*).3d"	"2F*"	"7/2"	8	" 188677.37"	
"3s.3p.(3P*).4s"	"2P*"	"1/2"	2	" 191281.97"	
"3s.3p.(3P*).4s"	"2P*"	"3/2"	4	" 191641.09"	
"3s2.5d"	"2D"	"5/2"	6	" 199154.83"	
"3s2.5d"	"2D"	"3/2"	4	" 199154.89"	
"3s2.5f"	"2F*"	"7/2"	8	" 200538.96"	
"3s2.5f"	"2F*"	"5/2"	6	" 200571.27"	
"3s2.6s"	"2S"	"1/2"	2	" 201291.73"	
"3s2.5g"	"2G"	"7/2"	8	" 203784.58"	
"3s2.5g"	"2G"	"9/2"	10	" 203784.78"	
"3s2.6p?"	"2P*"	"3/2"	4	" 206003.36"	
"3s2.6p?"	"2P*"	"1/2"	2	" 206020.84"	
"3s.3p.(3P*).4p"	"4D"	"1/2"	2	" 206553.77"	
"3s.3p.(3P*).3d?"	"2P*"	"3/2"	4	" 206613.72"	
"3s.3p.(3P*).3d?"	"2P*"	"1/2"	2	" 206631.65"	
"3s.3p.(3P*).4p"	"4D"	"3/2"	4	" 206742.62"	
"3s.3p.(3P*).4p"	"2P"	"1/2"	2	" 206950.34"	
"3s.3p.(3P*).4p"	"4D"	"5/2"	6	" 207036.54"	
"3s.3p.(3P*).4p"	"2P"	"3/2"	4	" 207053.78"	
"3s.3p.(3P*).4p"	"4D"	"7/2"	8	" 207361.92"	
"3s.3p.(3P*).4p"	"4P"	"1/2"	2	" 209939.20"	
"3s.3p.(1P*).3d"	"2F*"	"7/2"	8	" 210048.82"	
"3s.3p.(3P*).4p"	"4P"	"3/2"	4	" 210055.97"	
