Configuration	Term	J	g	Level (cm-1)
"4d8"	"a 3F"	"4"	9	" 0.0"	
"4d8"	"a 3F"	"3"	7	" 3229.3"	
"4d8"	"a 3F"	"2"	5	" 4686.6"	
"4d8"	"a 3P"	"2"	5	" 10230.0"	
"4d8"	"a 3P"	"1"	3	" 13469.0"	
"4d8"	"a 3P"	"0"	1	" 13698.3"	
"4d8"	"a 1D"	"2"	5	" 14634.4"	
"4d8"	"a 1G"	"4"	9	" 17880.0"	
"4d8"	"a 1S"	"0"	1	" 41697.7"	
"4d7.(4F).5s"	"a 5F"	"5"	11	" 52916.0"	
"4d7.(4F).5s"	"a 5F"	"4"	9	" 55088.6"	
"4d7.(4F).5s"	"a 5F"	"3"	7	" 56741.64"	
"4d7.(4F).5s"	"a 5F"	"2"	5	" 57844.93"	
"4d7.(4F).5s"	"a 5F"	"1"	3	" 58527.3"	
"4d7.(4F).5s"	"b 3F"	"4"	9	" 62560.75"	
"4d7.(4F).5s"	"b 3F"	"3"	7	" 65255.08"	
"4d7.(4P).5s"	"a 5P"	"3"	7	" 65707.92"	
"4d7.(4P).5s"	"a 5P"	"2"	5	" 65787.75"	
"4d7.(4F).5s"	"b 3F"	"2"	5	" 67078.93"	
"4d7.(4P).5s"	"a 5P"	"1"	3	" 67151.03"	
"4d7.(2G).5s"	"a 3G"	"5"	11	" 69985.44"	
"4d7.(2G).5s"	"a 3G"	"4"	9	" 71047.05"	
"4d7.(2P).5s"	"b 3P"	"2"	5	" 72744.82"	
"4d7.(2G).5s"	"a 3G"	"3"	7	" 72785.64"	
"4d7.(2P).5s"	"b 3P"	"1"	3	" 73002.81"	
"4d7.(2P).5s"	"b 3P"	"0"	1	" 74280.92"	
"4d7.(2H).5s"	"a 3H"	"6"	13	" 74673.57"	
"4d7.(2G).5s"	"b 1G"	"4"	9	" 75402.52"	
"4d7.(4P).5s"	"c 3P"	"2"	5	" 75454.65"	
"4d7.(2H).5s"	"a 3H"	"5"	11	" 75967.39"	
"4d7.(4P).5s"	"c 3P"	"1"	3	" 76055.46"	
"4d7.(2D2).5s"	"a 3D"	"3"	7	" 76231.26"	
