Configuration	Term	J	g	Level (cm-1)
"4f3.6s2"	"4I*"	"9/2"	10	" 0.00"	
"4f3.6s2"	"4I*"	"11/2"	12	" 1376.60"	
"4f3.6s2"	"4I*"	"13/2"	14	" 2846.75"	
"4f3.6s2"	"4I*"	"15/2"	16	" 4381.10"	
"4f2.(3H).5d.6s2"	"4I"	"9/2"	10	" 4432.22"	
"4f2.(3H).5d.6s2"	"4K"	"11/2"	12	" 4866.54"	
"4f2.(3H).5d.6s2"	"2H"	"9/2"	10	" 5822.87"	
"4f2.(3H).5d.6s2"	"4I"	"11/2"	12	" 6313.23"	
"4f2.(3H).5d.6s2"	"4H"	"7/2"	8	" 6535.51"	
"4f2.(3H).5d.6s2"	"4K"	"13/2"	14	" 6603.60"	
"4f2.(3H).5d2.(3F) (5L).6s"	"6L"	"11/2"	12	" 6714.22"	
"4f2.(3H).5d.6s2"	"2H"	"11/2"	12	" 6892.95"	
"4f2.5d.6s2"	"4G"	"7/2"	8	" 7617.44"	
"4f2.(3H).5d2.(3F) (5L).6s"	"6L"	"13/2"	14	" 7630.16"	
"4f2.(3H).5d.6s2"	"4I"	"13/2"	14	" 7951.31"	
"4f2.5d2.6s"	"6I"	"7/2"	8	" 8013.14"	
"4f2.(3H).5d.6s2"	"4H"	"9/2"	10	" 8029.24"	
"4f3.(4I*).5d.6s.(3D)"	"6L*"	"11/2"	12	" 8080.49"	
"4f3.(4I*).5d.6s.(3D)"	"6K*"	"9/2"	10	" 8250.22"	
"4f2.(3H).5d2.(3F) (5K).6s"	"6K"	"9/2"	10	" 8320.27"	
"4f2.(3H).5d.6s2"	"4K"	"15/2"	16	" 8363.91&dagger;"	
"4f2.5d2.6s"	"6I"	"9/2"	10	" 8643.83"	
"4f3.(4I*).5d.6s.(3D)"	"6L*"	"13/2"	14	" 8733.50"	
"4f2.(3H).5d2.(3F) (5K).6s"	"6K"	"11/2"	12	" 8829.06"	
"4f3.(4I*).5d.6s.(3D)"	"6K*"	"11/2"	12	" 8835.42"	
"4f2.5d2.6s"	"6I"	"11/2"	12	" 9268.75"	
"4f2.(3H).5d2.(3F) (5K).6s"	"6K"	"13/2"	14	" 9464.43"	
""	""	"11/2"	12	" 9483.50"	
"4f3.(4I*).5d.6s.(3D)"	"6L*"	"15/2"	16	" 9646.90"	
"4f2.(3H).5d.6s2"	"4H"	"11/2"	12	" 9675.01"	
"4f3.(4I*).5d.6s.(3D)"	"6K*"	"13/2"	14	" 9684.24"	
"4f2.(3F).5d.6s2"	"4H"	"7/2"	8	" 9918.17"	
""	""	"13/2"	14	" 10266.51"	
""	""	"9/2"	10	" 10356.71"	
"4f3.(4I*).5d.6s.(3D)"	"4L*"	"13/2"	14	" 10410.80"	
""	""	"13/2"	14	" 10423.68"	
"4f3.(4I*).5d.6s.(3D)"	"4K*"	"11/2"	12	" 10431.75"	
"4f2.(3H).5d2.(3F) (5K).6s"	"6K"	"15/2"	16	" 10466.73"	
"4f3.(4I*).5d.6s.(3D)"	"6K*"	"15/2"	16	" 10669.00"	
"4f3.(4I*).5d.6s.(3D)"	"6L*"	"17/2"	18	" 10720.45"	
""	""	"11/2"	12	" 10904.07"	
"4f2.(3F).5d.6s2"	"4H"	"9/2"	10	" 10920.40"	
"4f3.(4I*).5d.6s.(3D)"	"6I*"	"9/2"	10	" 10936.67"	
""	""	"5/2"	6	" 11107.69"	
""	""	"9/2"	10	" 11184.41"	
""	""	"11/2"	12	" 11282.89"	
"4f3.(4I*).5d.6s.(3D)"	"6I*"	"11/2"	12	" 11322.46"	
""	""	"13/2"	14	" 11562.79"	
""	""	"9/2"	10	" 11713.25"	
"4f3.(4I*).5d.6s.(3D)"	"4K*"	"13/2"	14	" 11746.36"	
"4f3.(4I*).5d.6s.(3D)"	"6K*"	"17/2"	18	" 11764.29"	
"4f3.(4I*).5d.6s.(3D)"	"4L*"	"15/2"	16	" 11814.70"	
"4f3.(4I*).5d.6s.(3D)"	"6L*"	"19/2"	20	" 11913.21"	
""	""	"11/2"	12	" 11944.19"	
""	""	"13/2"	14	" 12041.67"	
""	""	"11/2"	12	" 12180.13"	
"4f3.(4I*).5d.6s.(3D)"	"6I*"	"13/2"	14	" 12222.10"	
""	""	"11/2"	12	" 12234.62"	
""	""	"9/2"	10	" 12746.10"	
"4f3.(4I*).5d.6s.(3D)"	"6K*"	"19/2"	20	" 12945.56"	
"4f3.(4I*).5d.6s.(3D)"	"4K*"	"15/2"	16	" 13002.05"	
""	""	"11/2"	12	" 13035.75"	
""	""	"13/2"	14	" 13146.60"	
"4f3.(4I*).5d.6s.(3D)"	"6L*"	"21/2"	22	" 13198.74"	
""	""	"13/2"	14	" 13250.71"	
""	""	"9/2"	10	" 13272.65"	
"4f3.(4I*).5d.6s.(3D)"	"4L*"	"17/2"	18	" 13280.47"	
