Configuration	Term	J	g	Level (cm-1)
"5d9"	"2D"	"5/2"	6	" 0.000"	
"5d8.6s"	"4F"	"9/2"	10	" 4786.6527"	
"5d9"	"2D"	"3/2"	4	" 8419.840"	
"5d8.6s"	"4F"	"7/2"	8	" 9356.3167"	
"5d8.6s"	"4P"	"5/2"	6	" 13329.277"	
"5d9"	"2D"	"3/2"	4	" 15791.309"	
"5d8.6s"	"4F"	"5/2"	6	" 16820.9342"	
"5d8.6s"	"2F"	"7/2"	8	" 18097.764"	
"5d8.6s"	"4F"	"3/2"	4	" 21168.729"	
"5d8.6s"	"4P"	"1/2"	2	" 21717.305"	
"5d8.6s"	"2F"	"5/2"	6	" 23461.548"	
"5d8.6s"	"4P"	"3/2"	4	" 23875.570"	
"5d7.6s2"	"4F"	"9/2"	10	" 24879.522"	
"5d8.6s"	"2P"	"1/2"	2	" 27255.720"	
"5d8.6s"	"2G"	"7/2"	8	" 29030.529"	
"5d8.6s"	"2G"	"9/2"	10	" 29262.0099"	
"5d8.6s"	"2D"	"3/2"	4	" 32237.050"	
"5d8.6s"	"2D"	"5/2"	6	" 32918.605"	
"5d7.6s2"	"4F"	"7/2"	8	" 34647.266"	
"5d7.6s2"	"4F"	"5/2"	6	" 36484.069"	
"5d7.6s2"	"4F"	"3/2"	4	" 37877.855"	
"5d7.6s2"	"4P"	"5/2"	6	" 41434.119"	
"5d7.6s2"	"4P"	"3/2"	4	" 42031.892"	
"5d7.6s2"	"2G"	"9/2"	10	" 43737.431"	
"5d7.6s2"	"4P"	"1/2"	2	" 46046.461"	
"5d7.6s2"	"2H"	"11/2"	12	" 48591.109"	
"5d7.6s2"	"2G"	"7/2"	8	" 50564.651"	
"5d8.(3F).6p"	"(4,1/2)*"	"7/2"	8	" 51408.413"	
"5d8.6s"	"2S"	"1/2"	2	" 53610.08"	
"5d7.6s2"	"4P"	"3/2"	4	" 53749.652"	
"5d8.(3F).6p"	"(4,1/2)*"	"9/2"	10	" 53875.543"	
"5d7.6s2"	"2D3"	"5/2"	6	" 54373.519"	
"5d8.(3P).6p"	"(2,1/2)*"	"3/2"	4	" 56587.977"	
"5d8.(3P).6p"	"(2,1/2)*"	"5/2"	6	" 57018.176"	
"5d7.6s2"	"2F"	"5/2"	6	" 58062.098"	
"5d7.6s2"	"2H"	"9/2"	10	" 58491.285"	
"5d8.(3F).6p"	"(4,3/2)*"	"9/2"	10	" 60907.720"	
"5d7.6s2"	"2P"	"1/2"	2	" 60986.85"	
"5d8.(3F).6p"	"(4,3/2)*"	"11/2"	12	" 61058.522"	
"5d8.(3F).6p"	"(4,3/2)*"	"5/2"	6	" 61190.0708"	
"5d8.(3F).6p"	"(4,3/2)*"	"7/2"	8	" 61665.5284"	
"5d8.(3P).6p"	"(2,3/2)*"	"1/2"	2	" 62781.7116"	
"5d7.(4F).6s.6p.(3P*)"	"(9/2,0)*"	"9/2"	10	" 62820.534"	
"5d8.(3F).6p"	"(3,1/2)*"	"7/2"	8	" 63738.884"	
"5d7.6s2"	"2F"	"7/2"	8	" 64003.938"	
"5d8.(3F).6p"	"(2,1/2)*"	"3/2"	4	" 64388.657"	
"5d8.(3F).6p"	"(3,1/2)*"	"5/2"	6	" 64757.383"	
"5d7.(4F).6s.6p.(3P*)"	"(9/2,1)*"	"11/2"	12	" 65046.245"	
"5d8.(3P).6p"	"(2,3/2)*"	"5/2"	6	" 65351.117"	
"5d8.(3P).6p"	"(0,1/2)*"	"1/2"	2	" 65587.156"	
"5d8.(3P).6p"	"(2,3/2)*"	"3/2"	4	" 66028.059"	
"5d8.(3P).6p"	"(2,3/2)*"	"7/2"	8	" 66434.382"	
"5d7.(4F).6s.6p.(3P*)"	"(9/2,1)*"	"7/2"	8	" 67780.470"	
"5d8.(3P).6p"	"(1,1/2)*"	"1/2"	2	" 69235.707"	
"5d8.(3F).6p"	"(3,3/2)*"	"5/2"	6	" 69953.370"	
"5d7.(4F).6s.6p.(3P*)"	"(9/2,1)*"	"9/2"	10	" 70181.323"	
"5d8.(3P).6p"	"(1,3/2)*"	"5/2"	6	" 70379.088"	
"5d8.(3F).6p"	"(3,3/2)*"	"9/2"	10	" 71021.175"	
"5d8.(3F).6p"	"(3,3/2)*"	"7/2"	8	" 71314.622"	
"5d8.(3F).6p"	"(3,3/2)*"	"3/2"	4	" 71364.741"	
"5d7.(4F).6s.6p.(3P*)"	"71948*"	"5/2"	6	" 71948.954"	
"5d8.(3F).6p"	"(2,3/2)*"	"3/2"	4	" 73026.417"	
"5d8.(1G).6p"	"(4,1/2)*"	"9/2"	10	" 73431.392"	
"5d7.6s.6p"	"73761*"	"7/2"	8	" 73761.781"	
"5d7.6s.6p"	"73999*"	"5/2"	6	" 73999.874"	
"5d7.6s.6p"	"74241*"	"3/2"	4	" 74241.517"	
"5d7.(4F).6s.6p.(3P*)"	"(9/2,2)*"	"11/2"	12	" 74409.511"	
"5d8.6p"	"74619*"	"5/2"	6	" 74619.157"	
"5d8.6p"	"74745*"	"7/2"	8	" 74745.974"	
"5d8.(3F).6p"	"(2,3/2)*"	"1/2"	2	" 74754.886"	
"5d8.(1G).6p"	"(4,1/2)*"	"7/2"	8	" 75184.933"	
"5d7.6s.6p"	"75365*"	"5/2"	6	" 75365.892"	
"5d8.6p"	"75581*"	"3/2"	4	" 75581.466"	
"5d7.6s.6p"	"76461*"	"5/2"	6	" 76461.582"	
"5d8.6p"	"76610*"	"3/2"	4	" 76610.092"	
"5d7.6s.6p"	"76908*"	"1/2"	2	" 76908.06"	
"5d7.6s.6p"	"77519*"	"9/2"	10	" 77519.775"	
"5d7.(4F).6s.6p.(3P*)"	"77538*"	"3/2"	4	" 77538.29"	
"5d8.(3P).6p"	"77763*"	"1/2"	2	" 77763.611"	
"5d7.6s.6p"	"78043*"	"7/2"	8	" 78043.083"	
"5d8.6p"	"78254*"	"5/2"	6	" 78254.830"	
"5d7.6s.6p"	"78452*"	"3/2"	4	" 78452.536"	
"5d7.(4F).6s.6p.(3P*)"	"(9/2,2)*"	"9/2"	10	" 78906.53"	
"5d8.(3P).6p"	"79092*"	"3/2"	4	" 79092.198"	
"5d7.6s.6p"	"79607*"	"5/2"	6	" 79607.522"	
"5d7.(4P).6s.6p.(3P*)"	"79683*"	"1/2"	2	" 79683.43"	
"5d8.(1G).6p"	"(4,3/2)*"	"7/2"	8	" 80197.371"	
"5d7.6s.6p"	"80858*"	"5/2"	6	" 80858.512"	
"5d8.(1G).6p"	"(4,3/2)*"	"11/2"	12	" 81083.9686"	
"5d7.6s.6p"	"81897*"	"7/2"	8	" 81897.754"	
"5d7.6s.6p"	"82535*"	"5/2"	6	" 82535.842"	
"5d7.6s.6p"	"82692*"	"9/2"	10	" 82692.28"	
"5d8.(3F).6p"	"82824*"	"3/2"	4	" 82824.016"	
"5d7.6s.6p"	"82972*"	"3/2"	4	" 82972.777"	
"5d7.6s.6p"	"83352*"	"7/2"	8	" 83352.33"	
"5d7.(4F).6s.6p.(3P*)"	"83538*"	"11/2"	12	" 83538.58"	
"5d8.6p"	"84030*"	"3/2"	4	" 84030.32"	
"5d8.(1G).6p"	"84182*"	"9/2"	10	" 84182.738"	
"5d7.(4F).6s.6p.(3P*)"	"84226*"	"5/2"	6	" 84226.67"	
"5d8.(1D).6p"	"85292*"	"7/2"	8	" 85292.77"	
"5d7.6s.6p"	"85700*"	"9/2"	10	" 85700.33"	
"5d7.6s.6p"	"85701*"	"5/2"	6	" 85701.61"	
"5d7.6s.6p"	"85775*"	"11/2"	12	" 85775.68"	
"5d7.6s.6p"	"85826*"	"7/2"	8	" 85826.635"	
"5d7.6s.6p"	"85866*"	"3/2"	4	" 85866.64"	
"5d7.6s.6p"	"86489*"	"5/2"	6	" 86489.79"	
"5d7.(4P).6s.6p.(3P*)"	"86544*"	"9/2"	10	" 86544.70"	
"5d7.6s.6p"	"86624*"	"1/2"	2	" 86624.52"	
"5d7.6s.6p"	"86786*"	"7/2"	8	" 86786.70"	
"5d7.6s.6p"	"87204*"	"3/2"	4	" 87204.39"	
"5d7.6s.6p"	"88029*"	"1/2"	2	" 88029.12"	
"5d7.6s.6p"	"88110*"	"3/2"	4	" 88110.30"	
"5d7.6s.6p"	"88173*"	"7/2"	8	" 88173.38"	
"5d7.6s.6p"	"88341*"	"1/2"	2	" 88341.63"	
"5d7.6s.6p"	"88359*"	"9/2"	10	" 88359.32"	
"5d7.(4P).6s.6p.(3P*)"	"88589*"	"7/2"	8	" 88589.58"	
"5d7.6s.6p"	"89095*"	"3/2"	4	" 89095.09"	
"5d7.6s.6p"	"89607*"	"5/2"	6	" 89607.98"	
"5d7.6s.6p"	"89863*"	"9/2"	10	" 89863.29"	
"5d7.6s.6p"	"90173*"	"7/2"	8	" 90173.30"	
"5d7.(2H).6s.6p.(3P*)"	"90384*"	"11/2"	12	" 90383.96"	
"5d7.6s.6p"	"90746*"	"5/2"	6	" 90746.68"	
"5d7.6s.6p"	"91016*"	"1/2"	2	" 91016.67"	
"5d7.6s.6p"	"91271*"	"5/2"	6	" 91271.24"	
"5d7.6s.6p"	"91669*"	"7/2"	8	" 91669.99"	
"5d7.(2H).6s.6p.(3P*)"	"92526*"	"11/2"	12	" 92526.98"	
"5d7.6s.6p"	"92537*"	"9/2"	10	" 92537.11"	
"5d7.6s.6p"	"92749*"	"3/2"	4	" 92749.08"	
"5d7.6s.6p"	"92767*"	"3/2"	4	" 92767.98"	
"5d7.6s.6p"	"93197*"	"5/2"	6	" 93197.54"	
"5d7.(4F).6s.6p"	"93322*"	"11/2"	12	" 93322.215"	
"5d7.6s.6p"	"93336*"	"7/2"	8	" 93336.37"	
"5d7.6s.6p"	"93482*"	"7/2"	8	" 93482.030"	
"5d7.6s.6p"	"94022*"	"9/2"	10	" 94022.425"	
"5d7.6s.6p"	"94271*"	"5/2"	6	" 94271.54"	
"5d7.6s.6p"	"94330*"	"3/2"	4	" 94329.96"	
"5d7.6s.6p"	"94633*"	"5/2"	6	" 94633.282"	
"5d7.6s.6p"	"94829*"	"1/2"	2	" 94829.77"	
"5d7.6s.6p"	"94842*"	"7/2"	8	" 94842.54"	
"5d7.6s.6p"	"95226*"	"9/2"	10	" 95226.05"	
"5d7.6s.6p"	"95557*"	"3/2"	4	" 95557.72"	
"5d7.6s.6p"	"95617*"	"7/2"	8	" 95617.09"	
"5d7.6s.6p"	"95754*"	"5/2"	6	" 95754.09"	
"5d8.(3F).7s"	"(4,1/2)"	"9/2"	10	" 95803.401"	
"5d7.(4F).6s.6p"	"96109*"	"11/2"	12	" 96109.74"	
"5d7.(2H).6s.6p.(3P*)"	"96131*"	"9/2"	10	" 96131.29"	
"5d7.6s.6p"	"96403*"	"5/2"	6	" 96403.39"	
"5d7.6s.6p"	"96443*"	"1/2"	2	" 96443.96"	
"5d8.(3F).7s"	"(4,1/2)"	"7/2"	8	" 96614.398"	
"5d7.6s.6p"	"97183*"	"3/2"	4	" 97183.42"	
"5d7.6s.6p"	"97630*"	"7/2"	8	" 97630.608"	
"5d7.6s.6p"	"97786*"	"3/2"	4	" 97786.57"	
"5d7.6s.6p"	"97792*"	"5/2"	6	" 97792.836"	
