Configuration	Term	J	g	Level (cm-1)
"5d4"	"5D"	"0"	1	" 0.0"	
"5d4"	"5D"	"1"	3	" 7686.5"	
"5d4"	"5D"	"2"	5	" 13534.1"	
"5d4"	"5D"	"3"	7	" 17548.2"	
"5d4"	"5D"	"4"	9	" 19256.0"	
"5d4"	"3P2"	"0"	1	" 26647.3"	
"5d4"	"3H"	"4"	9	" 28527.2"	
"5d4"	"3G"	"3"	7	" 32691.0"	
"5d4"	"3F2"	"2"	5	" 33418.1"	
"5d4"	"3H"	"5"	11	" 35217.2"	
"5d4"	"3P2"	"1"	3	" 35465.6"	
"5d4"	"3H"	"6"	13	" 38225.6"	
"5d4"	"3G"	"4"	9	" 41310.5"	
"5d4"	"3D"	"2"	5	" 41861.0"	
"5d4"	"3D"	"3"	7	" 43373.7"	
"5d4"	"3F2"	"4"	9	" 44936.1"	
"5d4"	"3F2"	"3"	7	" 48837.7"	
"5d4"	"3F1"	"2"	5	" 50713.3"	
"5d4"	"3G"	"5"	11	" 52325.6"	
"5d4"	"3D"	"1"	3	" 53460.2"	
"5d4"	"1I"	"6"	13	" 54668.3"	
"5d4"	"1G2"	"4"	9	" 59277.7"	
"5d4"	"3P2"	"2"	5	" 59968.7"	
"5d4"	"1S2"	"0"	1	" 60798"	
"5d4"	"1F"	"3"	7	" 63259.1"	
"5d4"	"3P1"	"2"	5	" 66159.0"	
"5d4"	"3F1"	"4"	9	" 73208.2"	
"5d4"	"3F1"	"3"	7	" 74681.2"	
"5d4"	"1D2"	"2"	5	" 74807.5"	
"5d4"	"3P1"	"1"	3	" 75009.3"	
"5d4"	"3P1"	"0"	1	" 78710"	
"5d4"	"1G1"	"4"	9	" 79220.1"	
"5d4"	"1D1"	"2"	5	" 94582.8"	
"5d4"	"1S1"	"0"	1	" 118065.3"	
"5d3.(4F).6s"	"5F"	"1"	3	" 145974.1"	
"5d3.(4F).6s"	"5F"	"2"	5	" 149508.10"	
"5d3.(4F).6s"	"5F"	"3"	7	" 156906.2"	
"5d3.(4F).6s"	"5F"	"4"	9	" 162941.82"	
"5d3.6s"	"163201"	"2"	5	" 163201.2"	
"5d3.(4P).6s"	"5P"	"1"	3	" 166707.8"	
"5d3.6s"	"167142"	"5"	11	" 167142.1"	
"5d3.6s"	"168135"	"2"	5	" 168135.6"	
"5d3.6s"	"171982"	"3"	7	" 171982.98"	
"5d3.(2H).6s"	"3H"	"4"	9	" 174177.03"	
"5d3.6s"	"174979"	"1"	3	" 174979.7"	
"5d3.(4P).6s"	"5P"	"3"	7	" 177735.70"	
"5d3.6s"	"181012"	"5"	11	" 181012.0"	
"5d3.(2G).6s"	"3G"	"4"	9	" 181525.2"	
"5d3.6s"	"182794"	"3"	7	" 182794.00"	
"5d3.6s"	"185850"	"2"	5	" 185850.2"	
"5d3.(4F).6s"	"3F"	"4"	9	" 186969.0"	
"5d3.6s"	"187627"	"1"	3	" 187627.2"	
"5d3.(2H).6s"	"3H"	"6"	13	" 190702.4"	
"5d3.(4P).6s"	"3P"	"2"	5	" 190916.0"	
"5d3.(2D2).6s"	"3D"	"3"	7	" 194359.7"	
"5d3.6s"	"194818"	"5"	11	" 194818.9"	
"5d3.(2F).6s"	"3F"	"3"	7	" 198686.5"	
"5d3.6s"	"198978"	"2"	5	" 198978.5"	
"5d3.(2F).6s"	"3F"	"4"	9	" 200232.2"	
"5d3.6s"	"200408"	"2"	5	" 200408.5"	
"5d3.6s"	"200913"	"5"	11	" 200913.7"	
"5d3.(2G).6s"	"1G"	"4"	9	" 204650.0"	
"5d3.6s"	"205419"	"2"	5	" 205419.6"	
"5d3.(2F).6s"	"1F"	"3"	7	" 206633.4"	
"5d3.6s"	"208593"	"1"	3	" 208593.9"	
"5d3.(2D1).6s"	"3D"	"1"	3	" 223218.8"	
"5d3.(2D1).6s"	"3D"	"2"	5	" 224298.2"	
"5d3.(2D1).6s"	"3D"	"3"	7	" 226268.3"	
"5d3.(2D1).6s"	"1D"	"2"	5	" 232119.8"	
"5d3.6p"	"232549*"	"2"	5	" 232549.8"	
"5d3.6p"	"236923*"	"1"	3	" 236923.3"	
"5d3.(4F).6p"	"5G*"	"3"	7	" 243618.6"	
"5d3.6p"	"245050*"	"2"	5	" 245050.8"	
"5d3.6p"	"250538*"	"4"	9	" 250538.4"	
"5d3.6p"	"251642*"	"1"	3	" 251642.1"	
"5d3.6p"	"252816*"	"0"	1	" 252816.5"	
"5d3.6p"	"253130*"	"2"	5	" 253130.7"	
"5d3.6p"	"253844*"	"3"	7	" 253844.9"	
"5d3.6p"	"253913*"	"5"	11	" 253913.1"	
"5d3.6p"	"258474*"	"4"	9	" 258474.4"	
"5d3.6p"	"258770*"	"1"	3	" 258770.9"	
"5d3.6p"	"261981*"	"0"	1	" 261981.4"	
"5d3.6p"	"263916*"	"1"	3	" 263916.0"	
"5d3.6p"	"264652*"	"3"	7	" 264652.3"	
"5d3.6p"	"264918*"	"4"	9	" 264918.4"	
"5d3.6p"	"265626*"	"2"	5	" 265626.64"	
"5d3.6p"	"266744*"	"3"	7	" 266744.59"	
"5d3.6p"	"267174*"	"2"	5	" 267174.3"	
"5d3.6p"	"268319*"	"5"	11	" 268319.2"	
"5d3.6p"	"269388*"	"3"	7	" 269388.1"	
"5d3.6p"	"270058*"	"4"	9	" 270058.6"	
"5d3.6p"	"271908*"	"2"	5	" 271908.1"	
"5d3.6p"	"272020*"	"1"	3	" 272020.7"	
"5d3.6p"	"272468*"	"0"	1	" 272468.9"	
"5d3.6p"	"273778*"	"1"	3	" 273778.9"	
"5d3.6p"	"274469*"	"4"	9	" 274469.2"	
"5d3.6p"	"275916*"	"3"	7	" 275916.1"	
"5d3.6p"	"277286*"	"6"	13	" 277286.1"	
"5d3.6p"	"277846*"	"2"	5	" 277846.2"	
"5d3.6p"	"277866*"	"5"	11	" 277866.7"	
"5d3.6p"	"277925*"	"1"	3	" 277925.6"	
"5d3.6p"	"279379*"	"2"	5	" 279379.9"	
"5d3.6p"	"279778*"	"3"	7	" 279778.4"	
"5d3.6p"	"280361*"	"0"	1	" 280361.3"	
"5d3.6p"	"280802*"	"5"	11	" 280802.3"	
"5d3.6p"	"280852*"	"2"	5	" 280852.9"	
"5d3.6p"	"281307*"	"3"	7	" 281307.0"	
