Configuration	Term	J	g	Level (cm-1)
"4p6"	"1S"	"0"	1	" 0.000"	
"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	" 133341.607"	
"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	" 134869.751"	
"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	1	" 138794.380"	
"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	" 140610.047"	
"4p5.4d"	"3P*"	"0"	1	" 143022.335"	
"4p5.4d"	"3P*"	"1"	3	" 143461.977"	
"4p5.4d"	"3P*"	"2"	5	" 143955.871"	
"4p5.4d"	"3F*"	"4"	9	" 145276.118"	
"4p5.4d"	"3F*"	"3"	7	" 146832.593"	
"4p5.4d"	"3F*"	"2"	5	" 148686.714"	
"4p5.4d"	"3D*"	"3"	7	" 151877.03"	
"4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	3	" 154273.980"	
"4p5.4d"	"1D*"	"2"	5	" 155063.53"	
"4p5.4d"	"3D*"	"1"	3	" 155308.820"	
"4p5.4d"	"3D*"	"2"	5	" 156561.61"	
"4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	5	" 156737.011"	
"4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	7	" 156895.486"	
"4p5.4d"	"1F*"	"3"	7	" 157136.88"	
"4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	3	" 158151.666"	
"4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	5	" 158711.854"	
"4p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	1	" 161200.171"	
"4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	3	" 163924.55"	
"4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	5	" 164968.007"	
"4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	3	" 165089.580"	
"4p5.(2P*<1/2>).5p"	"2[1/2]"	"0"	1	" 167632.436"	
"4p5.4d"	"1P*"	"1"	3	" 169658.536"	
"4p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	5	" 179735.123"	
"4p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	3	" 180168.372"	
"4p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	1	" 183737.59"	
"4p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	3	" 184200.524"	
"4p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	9	" 184660.39"	
