Configuration	Term	J	g	Level (cm-1)
"4s2.4p5"	"2P*"	"3/2"	4	" 0.0"	
"4s2.4p5"	"2P*"	"1/2"	2	" 7374.5"	
"4s.4p6"	"2S"	"1/2"	2	" 130032.2"	
"4s2.4p4.(3P).4d"	"4D"	"7/2"	8	" 154721.27"	
"4s2.4p4.(3P).4d"	"4D"	"5/2"	6	" 154877.27"	
"4s2.4p4.(3P).4d"	"4D"	"3/2"	4	" 155564.24"	
"4s2.4p4.(3P).4d"	"4D"	"1/2"	2	" 156393.46"	
"4s2.4p4.(3P).4d"	"4F"	"9/2"	10	" 162918.68"	
"4s2.4p4.(3P).4d"	"4F"	"7/2"	8	" 165541.48"	
"4s2.4p4.(1D).4d"	"2P"	"1/2"	2	" 166088.20"	
"4s2.4p4.(3P<2>).5s"	"(2,1/2)"	"5/2"	6	" 167086.06"	
"4s2.4p4.(3P).4d"	"4F"	"5/2"	6	" 167819.74"	
"4s2.4p4.(3P).4d"	"4P"	"3/2"	4	" 168085.32"	
"4s2.4p4.(3P).4d"	"4P"	"1/2"	2	" 168449.92"	
"4s2.4p4.(3P).4d"	"4F"	"3/2"	4	" 168750.71"	
"4s2.4p4.(1D).4d"	"2D"	"3/2"	4	" 170423.82"	
"4s2.4p4.(3P).4d"	"2F"	"7/2"	8	" 171159.30"	
"4s2.4p4.(1D).4d"	"2P"	"3/2"	4	" 172041.74"	
"4s2.4p4.(3P<2>).5s"	"(2,1/2)"	"3/2"	4	" 172525.74"	
"4s2.4p4.(3P).4d"	"4P"	"5/2"	6	" 173415.56"	
"4s2.4p4.(1D).4d"	"2D"	"5/2"	6	" 174575.13"	
"4s2.4p4.(3P<0>).5s"	"(0,1/2)"	"1/2"	2	" 175434.49"	
"4s2.4p4.(3P<1>).5s"	"(1,1/2)"	"3/2"	4	" 176458.02"	
"4s2.4p4.(3P).4d"	"2F"	"5/2"	6	" 177062.82"	
"4s2.4p4.(1D).4d"	"2G"	"9/2"	10	" 178239.98"	
