Configuration	Term	J	g	Level (cm-1)
"5d5.(6S).6s"	"a 7S"	"3"	7	" 0.0"	
"5d4.6s2"	"a 5D"	"0"	1	" 13777.3"	
"5d4.6s2"	"a 5D"	"2"	5	" 14352.2"	
"5d4.6s2"	"a 5D"	"1"	3	" 14824.0"	
"5d4.6s2"	"a 5D"	"4"	9	" 14882.6"	
"5d4.6s2"	"a 5D"	"3"	7	" 14930.5"	
"5d5.(6S).6s"	"a 5S"	"2"	5	" 17223.5"	
"5d5.(4G).6s"	"a 5G"	"2"	5	" 18845.8"	
"5d5.(4G).6s"	"a 5G"	"3"	7	" 19139.7"	
"5d5.(4G).6s"	"a 5G"	"4"	9	" 20463.2"	
"5d5.(4G).6s"	"a 5G"	"5"	11	" 20976.4"	
"5d5.(4P).6s"	"a 5P"	"3"	7	" 21629.1"	
"5d5.(4G).6s"	"a 5G"	"6"	13	" 22031.1"	
""	"225"	"2"	5	" 22544.7"	
""	"231"	"1"	3	" 23146.2"	
"5d5.(4P).6s"	"a 5P"	"2"	5	" 23340.8"	
""	"233"	"5"	11	" 23381.2"	
"5d5.(4P).6s"	"a 5P"	"1"	3	" 23722.4"	
""	"238"	"4"	9	" 23893.5"	
""	"247"	"3"	7	" 24763.1"	
"5d5.(4G).6s"	"a 3G?"	"3"	7	" 25321.2"	
"5d5.(4G).6s"	"a 3G?"	"5"	11	" 25987.5"	
"5d5.(4G).6s"	"a 3G?"	"4"	9	" 26237.3"	
""	"266"	"1"	3	" 26664.3"	
""	"267"	"2"	5	" 26767.6"	
""	"276"	"3"	7	" 27627.7"	
""	"277"	"3"	7	" 27746.0"	
""	"280"	"4"	9	" 28095.3"	
""	"290"	"2"	5	" 29077.3"	
""	"294"	"1"	3	" 29427.2"	
""	"296"	"4"	9	" 29638.9"	
""	"297"	"2"	5	" 29728.1"	
""	"297"	"0"	1	" 29773.2"	
""	"302"	"3"	7	" 30224.8"	
""	"307"	"3"	7	" 30717.5"	
""	"309"	"4"	9	" 30982.5"	
""	"310"	"2"	5	" 31012.8"	
""	"322"	"4"	9	" 32206.5"	
""	"322"	"3"	7	" 32257.8"	
""	"323"	"5"	11	" 32344.7"	
""	"328"	"2"	5	" 32875.8"	
""	"329"	"4"	9	" 32957.3"	
""	"331"	"4"	9	" 33169.3"	
""	"339"	"3"	7	" 33989.8"	
""	"349"	"2"	5	" 34937.2"	
""	"360"	"5"	11	" 36063.5"	
""	"369"	"3"	7	" 36993.4"	
""	"373"	"3"	7	" 37318.5"	
""	"373"	"2"	5	" 37382.0"	
"5d5.(6S).6p"	"z 7P*"	"2"	5	" 43937.7"	
"5d5.(6S).6p"	"z 7P*"	"3"	7	" 45147.5"	
"5d5.(6S).6p"	"z 5P*"	"1"	3	" 49439.3"	
"5d5.(6S).6p"	"z 7P*"	"4"	9	" 50680.9"	
"5d5.(6S).6p"	"z 5P*"	"2"	5	" 52677.0"	
"5d5.(6S).6p"	"z 5P*"	"3"	7	" 53802.1"	
"5d5.(4F).6p"	"z 5D*"	"0"	1	" 54468.0"	
"5d5.(4P).6p"	"y 5P*"	"2"	5	" 55059.2"	
"5d5.(4P).6p"	"y 5P*"	"1"	3	" 55150.8"	
"5d5.(4F).6p"	"z 5F*"	"2"	5	" 55444.0"	
"5d5.(4F).6p"	"z 5D*"	"1"	3	" 56372.1"	
"5d5.(4F).6p"	"z 5F*"	"3"	7	" 57050.2"	
"5d5.(4F).6p"	"z 5D*"	"2"	5	" 57138.6"	
"5d5.(4F).6p"	"z 5G*?"	"3"	7	" 57429.4"	
"5d5.(4F).6p"	"z 5G*?"	"4"	9	" 59281.8"	
"5d5.(4F).6p"	"z 5D*"	"3"	7	" 59329.9"	
"5d5.(4P).6p"	"z 3P*"	"2"	5	" 59388.3"	
"5d5.(4F).6p"	"z 5F*"	"4"	9	" 59596.1"	
""	"596*"	"3"	7	" 59665.8"	
""	"604*"	"1"	3	" 60487.2"	
""	"605*"	"3"	7	" 60525.0"	
"5d5.(4F).6p"	"z 5G*?"	"5"	11	" 60926.8"	
""	"620*"	"2"	5	" 62057.3"	
""	"627*"	"1"	3	" 62717.8"	
"5d5.(4F).6p"	"z 5D*"	"4"	9	" 62859.0"	
""	"629*"	"3"	7	" 62914.9"	
""	"630*"	"3"	7	" 63043.3"	
""	"631*"	"4"	9	" 63127.7"	
""	"634*"	"2"	5	" 63464.2"	
"5d5.(4F).6p"	"z 5F*"	"5"	11	" 64282.3"	
""	"644*"	"4"	9	" 64407.2"	
""	"644*"	"2"	5	" 64411.4"	
""	"6494*"	"3"	7	" 64942.2"	
""	"6496*"	"3"	7	" 64966.9"	
""	"650*"	"1"	3	" 65011.0"	
""	"655*"	"3"	7	" 65572.3"	
""	"656*"	"2"	5	" 65674.0"	
""	"661*"	"3"	7	" 66100.3"	
""	"662*"	"3"	7	" 66248.1"	
""	"663*"	"4"	9	" 66371.2"	
""	"664*"	"4"	9	" 66476.2"	
""	"6651*"	"5"	11	" 66514.6"	
""	"6653*"	"5"	11	" 66536.7"	
""	"6673*"	"2"	5	" 66730.5"	
""	"6678*"	"2"	5	" 66782.6"	
""	"670*"	"5"	11	" 67049.1"	
""	"672*"	"1"	3	" 67276.1"	
""	"673*"	"3"	7	" 67314.0"	
""	"673*"	"4"	9	" 67328.1"	
""	"682*"	"5"	11	" 68259.5"	
""	"683*"	"3"	7	" 68354.3"	
""	"686*"	"2"	5	" 68629.4"	
""	"688*"	"3"	7	" 68868.0"	
""	"688*"	"4"	9	" 68876.7"	
""	"691*"	"3"	7	" 69142.5"	
""	"691*"	"2"	5	" 69170.0"	
""	"692*"	"4"	9	" 69283.6"	
""	"693*"	"3"	7	" 69302.8"	
""	"6972*"	"3"	7	" 69729.2"	
""	"6977*"	"4"	9	" 69776.3"	
""	"6979*"	"4"	9	" 69796.2"	
""	"701*"	"1"	3	" 70137.8"	
""	"708*"	"3"	7	" 70811.0"	
""	"710*"	"1"	3	" 71088.7"	
""	"711*"	"4"	9	" 71128.5"	
""	"713*"	"2"	5	" 71396.8"	
""	"717*"	"2"	5	" 71732.0"	
""	"719*"	"2"	5	" 71949.0"	
""	"721*"	"2"	5	" 72134.3"	
""	"725*"	"2"	5	" 72536.3"	
""	"728*"	"3"	7	" 72846.6"	
""	"735*"	"3"	7	" 73553.9"	
""	"740*"	"4"	9	" 74064.4"	
""	"740*"	"3"	7	" 74070.8"	
""	"743*"	"2"	5	" 74323.3"	
""	"744*"	"3"	7	" 74469.2"	
""	"746*"	"3"	7	" 74633.0"	
""	"751*"	"3"	7	" 75117.0"	
""	"752*"	"2"	5	" 75237.1"	
""	"761*"	"4"	9	" 76137.1"	
""	"763*"	"3"	7	" 76367.2"	
""	"771*"	"3"	7	" 77190.7"	
""	"772*"	"3"	7	" 77223.4"	
""	"779*"	"3"	7	" 77975.9"	
"Re III (5d5 6S<5/2>)"	"Limit"	"---"		"[134000]"	
